[Header]
TITLE,H parra C RuCl3 9T HC, I removeed the 190th line to make it plot nicely as it had no sample coupling for that point
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (�J/K)
8319388.27,Error: Warning: Current field is 90000.391 Oe;
8319388.42,Error: but addenda was obtained at 0.021 Oe.
8319472.19,Error: Temperature of platform does not match the system temperature : System = 15.003 K;  Platform = 14.376 K
8319690.88,,5905,,15.003,90000.391,9E-6,14.566205,0.28913355,3.2969036,0.01164,38.230983,0.04276,562.73476,0.9513,0.1658558,26.485431,0.0066202169,99.604104,193.70518,0.3156,1,,,,2.1320338E-5,47.584194,212.17434,0.22633922,0
8319903.05,,5905,,14.998,90000.391,9E-6,14.586473,0.30479785,3.3109843,0.01089,38.343594,0.0429,565.08747,0.6742,5.9093113,26.155053,0.0050066786,99.696676,193.69683,0.2809,1,,,,2.1662415E-5,52.970863,212.76519,0.22699006,0
8320085.73,,5905,,14.998,90000.391,9.1E-6,14.593644,0.30283978,3.3113477,0.01075,38.389207,0.04295,565.19089,0.6155,7.5875369,26.129616,0.0047500365,99.712246,193.7849,0.2738,1,,,,2.1684519E-5,52.310106,212.97445,0.22690341,0
8320560,,5905,,15.7818,90000.391,9E-6,15.314132,0.31685115,3.5960447,0.01238,42.896035,0.04719,614.99012,0.9336,0.25733315,27.563438,0.0060492111,99.660925,197.78137,0.3109,1,,,,2.2377512E-5,52.259231,234.52264,0.23481871,0
8320751.41,,5905,,15.7817,90000.391,9.1E-6,15.344197,0.32780271,3.6134003,0.01236,43.082531,0.04734,617.93771,0.9113,0.45979769,27.363214,0.0058336843,99.670501,197.84818,0.308,1,,,,2.2647413E-5,55.126877,235.44437,0.2354897,0
8320968.13,,5905,,15.7817,90000.391,9.1E-6,15.355974,0.32589008,3.6297315,0.01216,43.160896,0.04741,620.6142,0.823,22.023252,27.373505,0.0068045264,99.61476,197.69915,0.2971,1,,,,2.2748004E-5,54.726428,235.80593,0.2363726,0
8321427.2,,5905,,16.606,90000.391,9E-6,16.114063,0.34271098,3.9456537,0.01379,48.173325,0.05234,675.88664,1.092,0.89319518,28.797974,0.0085240779,99.551375,201.69292,0.3254,1,,,,2.3561191E-5,54.74701,259.66301,0.24485779,0
