[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_110-180K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7803812.73,,5905,,130.004,0.316,9.1E-6,129.57584,2.6755718,68.418991,0.2159,3109.9363,2.502,13994.701,9.597,9.8311308,125.85666,0.14832527,99.317144,370.86022,2.09,1,,,,0.00011165859,192.3246,16789.899,0.52802274,0
7804850.59,,5905,,130.004,0.316,9.1E-6,129.80393,3.1325085,68.68698,0.221,3118.7377,2.506,14046.136,11.81,3.9029016,125.63029,0.15063067,99.304841,369.42282,2.209,1,,,,0.0001122796,251.71331,16849.061,0.52915947,0
7805886.44,,5905,,130.005,0.316,9.1E-6,129.79857,3.1221286,68.653151,0.2183,3118.4496,2.506,14040.467,10.55,3.5732993,125.13075,0.14238198,99.340484,369.67139,2.146,1,,,,0.00011265765,251.26058,16847.668,0.52892072,0
7806973.59,,5905,,131.373,0.316,9E-6,131.0434,3.0902223,69.390299,0.2474,3172.0736,2.533,14211.363,20.74,1.0507516,129.19232,0.20981815,99.061449,367.41145,2.692,1,,,,0.00011063152,250.2615,17172.373,0.52952151,0
7808035.44,,5905,,131.414,0.316,9.1E-6,131.20814,3.2170744,69.222138,0.2275,3178.9544,2.536,14191.491,14,2.0113457,126.66018,0.16656737,99.242259,369.19953,2.356,1,,,,0.00011255966,258.38463,17215.577,0.52757501,0
7808951.03,,5905,,131.373,0.316,9.1E-6,131.20348,3.1828499,69.118284,0.2225,3178.7906,2.536,14174.806,11.93,4.7348796,126.05037,0.15344889,99.29921,370.00534,2.25,1,,,,0.00011293168,253.32036,17214.353,0.52680222,0
7810048.58,,5905,,132.761,0.316,9.1E-6,132.45146,3.1037618,69.282085,0.2151,3231.3777,2.56,14253.452,7.433,0.62064236,122.20277,0.10711135,99.499533,372.2208,2.05,1,,,,0.00011698884,252.10073,17543.389,0.52307528,0
7810932.61,,5905,,132.761,0.316,9.1E-6,132.54192,3.1243095,69.140878,0.2152,3235.5845,2.562,14235.194,7.835,8.0767561,121.31136,0.089648264,99.578889,373.59989,2.068,1,,,,0.00011764079,244.40553,17567.361,0.5216529,0
7811809.25,,5905,,132.757,0.316,9E-6,132.52368,3.1348215,69.511246,0.2211,3235.4824,2.562,14294.014,10.69,6.6542898,125.12882,0.15004102,99.314318,370.59826,2.221,1,,,,0.00011470701,242.62272,17562.527,0.52451942,0
7812902.45,,5905,,134.115,0.316,9.1E-6,133.81332,3.1392194,70.295499,0.2296,3290.3091,2.586,14473.607,13.62,0.9916806,125.65779,0.16923691,99.232084,367.89329,2.412,1,,,,0.0001157156,250.25763,17906.005,0.52532512,0
