[Header]
TITLE,RuCl3_TB001_9T_HparraC_Heat_Capacity
BYAPP,HeatCapacity,3.9.6,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
8150581.58,Error: Warning: Current field is 90000.328 Oe;
8150581.78,Error: but addenda was obtained at 0.021 Oe.
8150601,Error: Temperature of platform does not match the system temperature : System = 3.0076 K;  Platform = 2.8635 K
8150694.88,,5905,,2.9945,90000.328,9.1E-6,2.8787231,0.031047132,18.471378,0.1745,0.51694587,0.001798,18.988324,0.1745,0.65275115,6.6058284,,,,,1,,,,2.8744804E-6,16.206902,8.2870466,6.4165179,0
8151602.64,,5905,,3.0065,90000.328,9.1E-6,2.8758339,0.026824862,19.126592,0.2052,0.51545776,0.001799,19.64205,0.2052,0.23289592,6.717251,,,,,1,,,,2.9241203E-6,13.211657,8.2704205,6.6507987,0
8152443.47,,5905,,3.0134,90000.328,9E-6,2.8754185,0.027652924,18.27633,0.1561,0.51520601,0.001799,18.791536,0.1561,0.79254076,6.3741736,,,,,1,,,,2.9480741E-6,13.434502,8.2680318,6.3560591,0
8152671.41,,5905,,3.2209,90000.328,9E-6,3.0740728,0.027900865,22.798265,0.226,0.62512037,0.002065,23.423385,0.226,0.27906736,8.0070482,0.001804184,99.125706,,,1,,,,2.9497943E-6,12.748347,9.4499234,7.4163061,0
8153112.77,,5905,,3.22,90000.328,9E-6,3.0767318,0.031095563,23.314532,0.1738,0.62635736,0.002071,23.940889,0.1738,0.73165774,7.6299447,0.00048960754,99.747569,,,1,,,,3.1452851E-6,16.014096,9.4662785,7.5776939,0
8153184.36,,5905,,3.2039,90000.328,9.1E-6,3.0763006,0.030545146,23.299029,0.1783,0.62613086,0.00207,23.92516,0.1783,0.32592832,7.7824389,0.0012022406,99.390513,,,1,,,,3.0921307E-6,15.259889,9.4636253,7.5737168,0
8153387.8,,5905,,3.4472,90000.328,9E-6,3.277819,0.030882635,28.197946,0.2631,0.74245463,0.003041,28.940401,0.2631,0.33150455,8.5651211,1.6264315E-6,99.99924,,,1,,,,3.3788909E-6,15.564878,10.744097,8.6026551,0
8153708.83,,5905,,3.4165,90000.328,9.1E-6,3.2780933,0.032509917,27.8182,0.2113,0.74254371,0.003042,28.560744,0.2113,0.2118584,8.236444,0.00045640232,99.780744,,,1,,,,3.4748351E-6,17.130242,10.745895,8.4860917,0
8153792.98,,5905,,3.4218,90000.328,9.1E-6,3.278025,0.032460068,27.971441,0.2574,0.74269226,0.003044,28.714133,0.2574,0.2534248,8.9119843,0.0028289103,98.725556,,,1,,,,3.2614498E-6,16.472888,10.745448,8.5330163,0
8154084.28,,5905,,3.6505,90000.328,9.2E-6,3.4761263,0.032137727,33.609543,0.2506,0.86791757,0.004184,34.47746,0.2506,0.48997958,8.9943151,,,,,1,,,,3.8332502E-6,17.823969,12.083454,9.6686773,0
8154164.27,,5905,,3.6265,90000.328,9.1E-6,3.4762761,0.032647117,33.491181,0.2115,0.86806805,0.004185,34.359249,0.2115,0.40785703,9.0455571,,,,,1,,,,3.7984668E-6,17.98863,12.084495,9.634212,0
8154253.91,,5905,,3.6578,90000.328,9.1E-6,3.4764809,0.033479863,32.840308,0.2463,0.86828219,0.004186,33.70859,0.2462,0.49940902,9.1043036,,,,,1,,,,3.7024897E-6,18.091114,12.08592,9.4464225,0
8154488.47,,5905,,3.8681,90000.328,9.1E-6,3.682682,0.033142172,39.718229,0.2276,1.0168968,0.004248,40.735126,0.2276,0.9873681,10.024137,0.0013341529,99.450474,,,1,,,,4.0850542E-6,18.208607,13.562147,10.785137,0
8154574.73,,5905,,3.8563,90000.328,9.2E-6,3.6835321,0.036266471,39.434128,0.1852,1.0176133,0.004246,40.451741,0.1852,0.24882015,10.341074,0.0011696174,99.536858,,,1,,,,3.9290534E-6,20.048274,13.568408,10.705521,0
8154663.31,,5905,,3.8658,90000.328,9.2E-6,3.6837875,0.035454766,40.114948,0.2169,1.0178846,0.004245,41.132833,0.2169,0.81666295,10.149053,,,,,1,,,,4.0528741E-6,20.682148,13.57029,10.889593,0
8154869.06,,5905,,4.0866,90000.328,9.2E-6,3.8861648,0.035005142,47.937866,0.2913,1.1910571,0.004143,49.128923,0.2913,0.344987,11.199429,0.00099204296,99.624269,,,1,,,,4.4024881E-6,20.298105,15.102277,12.335521,0
8154962.73,,5905,,4.0798,90000.328,9.1E-6,3.8863549,0.037344269,47.102912,0.223,1.191547,0.004145,48.294459,0.223,0.091809477,11.15102,,,,,1,,,,4.3309454E-6,22.398857,15.103755,12.120075,0
8155054.88,,5905,,4.0847,90000.328,9.1E-6,3.8874775,0.037991332,47.577244,0.2765,1.1924098,0.004148,48.769654,0.2765,0.36562577,11.611762,0.0017253314,99.373507,,,1,,,,4.2252253E-6,22.30204,15.112481,12.23859,0
8155276.31,,5905,,4.2734,90000.328,9.1E-6,4.0921848,0.039188033,53.823263,0.2178,1.4046809,0.006564,55.227944,0.2178,0.29870528,11.866154,0.00050472688,99.828135,,,1,,,,4.661852E-6,23.223524,16.745977,13.152696,0
8155374.11,,5905,,4.2853,90000.328,9.1E-6,4.0923414,0.039436091,53.817321,0.2458,1.4052961,0.006574,55.222617,0.2457,0.23241563,12.02018,,,,,1,,,,4.5941591E-6,23.732308,16.747258,13.150741,0
8155471.86,,5905,,4.2718,90000.328,9.1E-6,4.0921457,0.040939343,53.355025,0.2137,1.4048694,0.006567,54.759895,0.2137,0.33356435,12.303552,0.0025397107,99.167984,,,1,,,,4.4861961E-6,24.040359,16.745657,13.038398,0
8155699.7,,5905,,4.493,90000.328,9.1E-6,4.2934706,0.040650384,61.176598,0.2156,1.6454917,0.01029,62.822089,0.2154,0.42116266,12.847023,,,,,1,,,,4.8900115E-6,24.607104,18.433889,14.248752,0
8155803.14,,5905,,4.5053,90000.328,9.1E-6,4.2946476,0.043033663,61.641742,0.3443,1.64668,0.0103,63.288422,0.3443,0.56500384,13.379292,0.001610702,99.522898,,,1,,,,4.7518412E-6,25.694046,18.443998,14.353155,0
8155909.5,,5905,,4.4996,90000.328,9E-6,4.2947429,0.043995555,61.772439,0.3709,1.6468008,0.0103,63.41924,0.3709,0.61000501,13.493992,0.0028427988,99.160733,,,1,,,,4.7375599E-6,26.758585,18.444817,14.383268,0
8156147.33,,5905,,4.726,90000.328,9E-6,4.493432,0.043876218,68.057096,0.2874,1.8999493,0.0115,69.957045,0.2872,0.39115365,13.451264,,,,,1,,,,5.2007787E-6,26.987984,20.190931,15.145906,0
8156254.77,,5905,,4.6983,90000.328,9.1E-6,4.4940918,0.044353704,69.395206,0.1649,1.9002891,0.01149,71.295495,0.1649,0.20911107,13.702081,0.0011875041,99.664936,,,1,,,,5.2198346E-6,26.902527,20.196862,15.44143,0
8156362.2,,5905,,4.7208,90000.328,9.2E-6,4.4942879,0.044896158,69.682931,0.167,1.9006267,0.01149,71.583558,0.167,0.31238253,13.799693,0.00047218092,99.867457,,,1,,,,5.1938538E-6,27.404162,20.198624,15.504777,0
8156596.09,,5905,,4.9259,90000.328,9.1E-6,4.6953858,0.046510535,76.578522,0.2026,2.1621345,0.009715,78.740657,0.2026,0.19043533,14.960839,0.0026609188,99.329977,,,1,,,,5.2967026E-6,27.599386,22.046648,16.309314,0
8156711.31,,5905,,4.9431,90000.328,9.1E-6,4.6970921,0.048551687,76.774668,0.2321,2.1637247,0.009703,78.938392,0.2321,0.23825046,14.438891,0.0011905073,99.68986,,,1,,,,5.4831576E-6,29.921679,22.062674,16.345148,0
8156825.58,,5905,,4.9408,90000.328,9.1E-6,4.6960735,0.045960771,78.076322,0.2594,2.1629928,0.009709,80.239314,0.2592,0.39381905,14.44039,,,,,1,,,,5.5565892E-6,28.877782,22.053106,16.625873,0
8157066.36,,5905,,5.1439,90000.328,9.2E-6,4.8990499,0.047990608,85.663334,0.2754,2.4272392,0.009176,88.090574,0.2754,0.27468509,15.262909,0.00047381586,99.884023,,,1,,,,5.7778831E-6,28.880779,24.00069,17.485703,0
8157183.72,,5905,,5.1464,90000.328,9.1E-6,4.8998825,0.049944289,85.880432,0.3144,2.4284845,0.009184,88.308916,0.3144,0.53628039,15.450537,0.001640881,99.601471,,,1,,,,5.73722E-6,30.525817,24.008848,17.527039,0
8157303.22,,5905,,5.1256,90000.328,9.1E-6,4.8996167,0.04915204,86.145276,0.2047,2.428528,0.009184,88.573804,0.2045,0.16582259,15.319248,,,,,1,,,,5.7818637E-6,30.901074,24.006244,17.582044,0
8157549.02,,5905,,5.3536,90000.328,9.1E-6,5.1027867,0.050531081,94.596535,0.196,2.6933554,0.01323,97.28989,0.196,0.24989362,16.041951,0.00054781942,99.87299,,,1,,,,6.0720084E-6,30.638496,26.038432,18.538211,0
