[Header]
TITLE,RuCl3_TB001_9T_HparraC_Heat_Capacity
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
8239076.48,Error: Warning: Current field is 90000.219 Oe;
8239076.63,Error: but addenda was obtained at 0.021 Oe.
8239371.45,Error: Temperature of platform does not match the system temperature : System = 2.9906 K;  Platform = 2.8614 K
8239542.98,,5905,,3.0008,90000.219,9.2E-6,2.8764585,0.028742355,0.11520482,0.001062,0.51577102,0.001799,18.843685,0.1596,0.20792625,6.5455479,,,117.11214,0.456,1,,,,2.8788552E-6,14.182561,8.2740134,0.040050925,0
8239671.13,,5905,,3.0129,90000.219,9E-6,2.8751431,0.026339502,0.12277741,0.001341,0.51507578,0.001799,20.047711,0.2049,0.21841619,6.8560175,,,114.60072,0.5135,1,,,,2.9241045E-6,13.091096,8.2664477,0.042703062,0
8240275.05,,5905,,2.9824,90000.219,9E-6,2.8760886,0.028933343,0.115881,0.001078,0.51555176,0.001799,18.951038,0.1621,0.10680695,6.7668229,0.00076887627,99.568991,116.86888,0.4584,1,,,,2.8120551E-6,13.712035,8.2718857,0.040291179,0
8240825.38,,5905,,3.2049,90000.219,9.1E-6,3.0745947,0.027782409,0.14201721,0.001439,0.62528382,0.002065,23.218776,0.2184,0.32518437,7.1594811,,,116.74587,0.4915,1,,,,3.2430808E-6,13.533646,9.4531328,0.046190547,0
8241117.05,,5905,,3.2253,90000.219,9.2E-6,3.0749679,0.029341279,0.14652105,0.001779,0.62543358,0.002066,23.93544,0.2741,0.13178215,7.8329671,0.0010089438,99.491505,115.55122,0.5658,1,,,,3.070545E-6,14.318962,9.4554277,0.047649619,0
8241189.94,,5905,,3.2287,90000.219,9.1E-6,3.0761547,0.030262043,0.1456906,0.001457,0.62617099,0.00207,23.804061,0.2209,0.46752378,7.518594,,,115.81504,0.4823,1,,,,3.1660256E-6,15.665934,9.4627278,0.047361271,0
8241381.31,,5905,,3.4316,90000.219,9.1E-6,3.2770769,0.030580738,0.17328385,0.001633,0.7421535,0.003038,28.309849,0.246,0.44973187,8.5770208,0.0019533503,99.100615,116.44868,0.4617,1,,,,3.3290739E-6,15.037188,10.739233,0.052877567,0
