[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,COOLING
FILEOPENTIME,35865140.28,02/20/2026,9:50 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB001x2 single crystal,SAMPLE_COMMENT
INFO,0.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,207.43 g/mol,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,single crystal,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,35865182.16,299.9352417,999.840454101562,,,2,,,,19.3559996560812,,,,,,,299.9352417,299.9352417,999.840454101562,999.840454101562,,,8.138669,,,,-99999999,4373,299.9148,999.840454101562,,,,,,,,,,,,,,,,,,,,,,,299.9352417,,,,
,35865272.305,299.887146,999.840454101562,5.90528268338285E-6,2.11845484976431E-7,1,2.99776006220938,40.0298881530762,1.99119699601652,19.3499997258186,6.74573812554324E-5,8.85266597292136E-6,0.25,-2.29280155897341E-7,5.90528367758265E-6,-2.25354836689977E-7,299.8867798,299.8875122,999.840454101562,999.840454101562,60.352664483891,20.6561483152093,8.138669,0,0,0,120,4369,300.1001,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.887146,,,,
,35865281.42,299.8858032,999.840454101562,5.65784980690899E-6,2.19669874635714E-7,1,2.99776006220938,40.0298881530762,1.99122015824398,19.3399991840124,6.36644862253663E-5,1.41398612198523E-5,0.25,2.78916319923928E-7,5.6575199373721E-6,2.82665743724097E-7,299.8858032,299.8858032,999.840454101562,999.840454101562,60.3565726264872,20.6588883854577,8.138669,0,0,0,120,4370,300.0103,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.8858032,,,,
,35865282.155,299.88531495,999.840454101562,5.56511718445694E-6,1.83480997194628E-7,1,2.99776006220938,40.0298881530762,1.99113674732993,19.3399991840124,6.32745989831238E-5,1.00692927289903E-5,0.25,-6.38990905479468E-8,5.56501745287639E-6,-6.02031067091879E-8,299.8848267,299.8858032,999.840454101562,999.840454101562,60.1869592378141,20.6583856162684,8.511729,0,0,0,120,4370,300.05375,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.88531495,,,,
,35865284.32,299.88468935,999.840454101562,5.4954196543886E-6,2.21153086132938E-7,1,2.99776006220938,40.0298881530762,1.9911920263998,19.3399991840124,6.18240610107735E-5,1.38031417852058E-5,0.25,2.77024891801025E-7,5.49509541705691E-6,2.80666591242929E-7,299.884552,299.8848267,999.840454101562,999.840454101562,60.2776281460448,20.6584915749232,8.511729,0,0,0,120,4370,300.006,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.88468935,,,,
,35865287.295,299.88323975,999.840454101562,5.70129801865573E-6,2.05455994766078E-7,1,2.99776006220938,40.0298881530762,1.99117478196551,19.3399991840124,6.48751026569745E-5,1.00177299406646E-5,0.25,-9.17387320871366E-8,5.7012135829523E-6,-8.79495595613589E-8,299.8819275,299.884552,999.840454101562,999.840454101562,60.2119713504295,20.6595090064813,8.138669,0,0,0,120,4370,299.9148,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.88323975,,,,
,35865290.29,299.8805847,999.840454101562,5.75003099153953E-6,2.12770735014966E-7,1,2.99776006220938,40.0298881530762,1.99119481518375,19.3399991840124,6.48882055966892E-5,1.32746905487711E-5,0.25,1.86931920064188E-7,5.74976071005027E-6,1.90747072956753E-7,299.8792419,299.8819275,999.840454101562,999.840454101562,60.3002953731025,20.659803049498,8.511729,0,0,0,120,4370,299.86845,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.8805847,,,,
,35865293.305,299.875473,999.840454101562,5.72804548324005E-6,2.12987922844544E-7,1,2.99776006220938,40.0298881530762,1.99121832397576,19.3399991840124,6.46648221990149E-5,1.30837852189604E-5,0.25,1.73852414581195E-7,5.72778538858044E-6,1.77654717881627E-7,299.8717041,299.8792419,999.840454101562,999.840454101562,60.3456298272179,20.6604497971477,8.138669,0,0,0,120,4370,299.7759,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.875473,,,,
,35865296.31,299.8680725,999.840454101562,5.79863188972031E-6,1.96275564073294E-7,1,2.99776006220938,40.0298881530762,1.99112294838245,19.3399991840124,6.62188378212798E-5,8.79745744773728E-6,0.25,-2.15894733621104E-7,5.79863057615269E-6,-2.12034329468039E-7,299.8644409,299.8717041,999.840454101562,999.840454101562,60.2893525738333,20.6602785443846,8.138669,0,0,0,120,4370,299.68345,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.8680725,,,,
,35865299.305,299.8595581,999.840454101562,5.73291757241502E-6,1.9553211368121E-7,1,2.99776006220938,40.0298881530762,1.99118533758469,19.3399991840124,6.48887783713457E-5,1.21005167205164E-5,0.25,8.638716344097E-8,5.73271871140047E-6,9.01970549235345E-8,299.8546753,299.8644409,999.840454101562,999.840454101562,60.3776765965064,20.6597409130001,8.511729,0,0,0,120,4370,299.6372,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.8595581,,,,
,35865302.3,299.849411,999.840454101562,6.00342040897225E-6,2.01010383614183E-7,1,2.99776006220938,40.0298881530762,1.99122040074697,19.3499997258186,6.76338241446183E-5,1.4531148628397E-5,0.25,2.54319875673451E-7,6.00310541740453E-6,2.58306318071411E-7,299.8441467,299.8546753,999.840454101562,999.840454101562,60.4300457072948,20.6597527369999,8.138669,0,0,0,120,4370,299.591,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.849411,,,,
,35865305.285,299.8339386,999.840454101562,5.69646081367665E-6,1.88070643093229E-7,1,2.99776006220938,40.0298881530762,1.99118198111091,19.3399991840124,6.47239465166886E-5,1.05735562535354E-5,0.25,-4.19420038436391E-8,5.69635352900799E-6,-3.81511453881189E-8,299.8237305,299.8441467,999.840454101562,999.840454101562,60.3589175120449,20.6595042161553,8.511729,0,0,0,120,4374,299.49865,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.8339386,,,,
,35865308.27,299.81622315,999.840454101562,5.58152707277565E-6,1.97481762807635E-7,1,2.99776006220938,40.0298881530762,1.99112259678916,19.3399991840124,6.27357566214854E-5,1.43412451434344E-5,0.25,3.09755467086385E-7,5.58119207189591E-6,3.13463074555938E-7,299.8087158,299.8237305,999.840454101562,999.840454101562,60.3315605138718,20.6584529908101,8.511729,0,0,0,120,4374,299.40635,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.81622315,,,,
,35865311.26,299.8006897,999.840454101562,5.75440225154013E-6,2.11438201306744E-7,1,2.99776006220938,40.0298881530762,1.99107370775656,19.3399991840124,6.55418630328234E-5,9.72763644374698E-6,0.25,-1.26349309161581E-7,5.75435683822855E-6,-1.22515926523735E-7,299.7926636,299.8087158,999.840454101562,999.840454101562,60.3862745102179,20.6595736805687,8.511729,0,0,0,120,4374,299.35875,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.8006897,,,,
,35865314.28,299.7801819,999.840454101562,5.91676357096535E-6,1.80272793913033E-7,1,2.99776006220938,40.0298881530762,1.99115431187207,19.3399991840124,6.71657706004055E-5,1.13364587961534E-5,0.25,-1.23617138795267E-8,5.9166431501085E-6,-8.42210442013154E-9,299.7677002,299.7926636,999.840454101562,999.840454101562,60.3940907954102,20.6582482093003,8.511729,0,0,0,120,4374,299.31265,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.7801819,,,,
,35865317.29,299.75749205,999.840454101562,6.03637365390707E-6,1.86359708340559E-7,1,2.99776006220938,40.0298881530762,1.99104969010286,19.3399991840124,6.77831855611134E-5,1.5876675452865E-5,0.25,3.67359830729908E-7,6.03600277689396E-6,3.71372576064789E-7,299.7472839,299.7677002,999.840454101562,999.840454101562,60.5449450996218,20.6584796264302,8.138669,0,0,0,120,4374,299.2219,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.75749205,,,,
,35865320.27,299.7371063,999.840454101562,5.77685441369089E-6,1.90573852539326E-7,1,2.99776006220938,40.0298881530762,1.99115149034976,19.3399991840124,6.50613572407026E-5,1.40883615808337E-5,0.25,2.54058006600388E-7,5.77656878131031E-6,2.57901193007378E-7,299.7269287,299.7472839,999.840454101562,999.840454101562,60.3542277409295,20.659539926536,8.138669,0,0,0,120,4374,299.1744,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.7371063,,,,
,35865323.27,299.714386,999.840454101562,6.04140759024282E-6,1.879578887234E-7,1,2.99776006220938,40.0298881530762,1.99108368829021,19.3399991840124,6.81365197583134E-5,1.41608913909824E-5,0.25,2.15266678439544E-7,6.04114747739971E-6,2.19288511210012E-7,299.7018433,299.7269287,999.840454101562,999.840454101562,60.4011254520833,20.6608603615972,8.138669,0,0,0,120,4374,299.0838,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.714386,,,,
,35865326.275,299.6856995,999.840454101562,5.82718545697048E-6,2.13006172814115E-7,1,2.99776006220938,40.0298881530762,1.99117560324562,19.3399991840124,6.55911355867823E-5,1.44333242480387E-5,0.25,2.75834151141447E-7,5.82689524466656E-6,2.79713772864163E-7,299.6695557,299.7018433,999.840454101562,999.840454101562,60.4613108480641,20.6625465513673,8.138669,0,0,0,120,4374,298.99175,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.6856995,,,,
,35865329.275,299.6560364,999.840454101562,5.88632442957591E-6,1.95432268698201E-7,1,2.99776006220938,40.0298881530762,1.99111347093516,19.3399991840124,6.69517226674963E-5,1.05028781417726E-5,0.25,-8.06092328063035E-8,5.88627725222377E-6,-7.66823341604673E-8,299.6425171,299.6695557,999.840454101562,999.840454101562,60.454276191391,20.6612080911291,8.511729,0,0,0,120,4374,298.8998,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.6560364,,,,
,35865332.25,299.6289673,999.840454101562,5.7417961558424E-6,2.18522834407348E-7,1,2.99776006220938,40.0298881530762,1.99106377957599,19.3499997258186,6.52812723957975E-5,1.03914967944733E-5,0.25,-6.57004327209007E-8,5.74174728176832E-6,-6.18688373406921E-8,299.6154175,299.6425171,999.840454101562,999.840454101562,60.3487563412948,20.6615383406934,8.511729,0,0,0,120,4374,298.80785,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.6289673,,,,
,35865335.25,299.601532,999.840454101562,5.77275715384893E-6,2.03339652255641E-7,1,2.99776006220938,40.0298881530762,1.99102174229751,19.3399991840124,6.61498354611564E-5,7.41806183120089E-6,0.25,-3.3302082347115E-7,5.77289206164911E-6,-3.29163186506857E-7,299.5876465,299.6154175,999.840454101562,999.840454101562,60.4089417372756,20.6600220583896,8.511729,0,0,0,120,4374,298.71605,999.840454101562,,,,,,,,,,,,,0,,,,26.1347828,,,,,,299.601532,,,,
,35865338.26,299.57022095,999.840454101562,5.94330671452412E-6,1.99122054500995E-7,1,2.99776006220938,40.0298881530762,1.99103921446663,19.3499997258186,6.73143026260157E-5,1.22618918880943E-5,0.25,6.46938349520238E-8,5.94318050788913E-6,6.86608022361386E-8,299.5527954,299.5876465,999.840454101562,999.840454101562,60.2924790879102,20.6616179359548,8.511729,0,0,0,120,4374,298.62425,999.840454101562,,,,,,,,,,,,,0,,,,26.3984909,,,,,,299.57022095,,,,
,35865341.24,299.53189085,999.840454101562,5.69357289958483E-6,1.93381821757722E-7,1,2.99776006220938,40.0298881530762,1.99107566718433,19.3399991840124,6.44904500724327E-5,1.1726795137937E-5,0.25,6.02043217229091E-8,5.69346129219123E-6,6.40061010630409E-8,299.5109863,299.5527954,999.840454101562,999.840454101562,60.1736715529871,20.6597815550622,8.511729,0,0,0,120,4374,298.5326,999.840454101562,,,,,,,,,,,,,0,,,,26.3984909,,,,,,299.53189085,,,,
,35865344.24,299.49311825,999.840454101562,5.64348250544331E-6,1.95686398360052E-7,1,2.99776006220938,40.0298881530762,1.99102550759758,19.3399991840124,6.32745426092614E-5,1.54089889801509E-5,0.25,3.93292621085192E-7,5.64315712362111E-6,3.97058717435258E-7,299.4752502,299.5109863,999.840454101562,999.840454101562,60.4464599061987,20.6617483501393,8.138669,0,0,0,120,4374,298.44095,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.49311825,,,,
,35865347.265,299.45721435,999.840454101562,5.87300211238571E-6,1.86469086424258E-7,1,2.99776006220938,40.0298881530762,1.99102497947929,19.3399991840124,6.641302352962E-5,1.27300866117247E-5,0.25,1.1797083828798E-7,5.87286594320758E-6,1.21894948595839E-7,299.4391785,299.4752502,999.840454101562,999.840454101562,60.4761617899295,20.6606871897913,8.138669,0,0,0,120,4374,298.34795,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.45721435,,,,
,35865350.28,299.4198151,999.840454101562,5.45549801656692E-6,2.37825735393008E-7,1,2.99776006220938,40.0298881530762,1.99100332357111,19.3399991840124,6.0621797432152E-5,1.80814807172616E-5,0.25,6.60955699325422E-7,5.45501017697921E-6,6.6459899449487E-7,299.4004517,299.4391785,999.840454101562,999.840454101562,60.4620924765833,20.6614263096046,8.511729,0,0,0,120,4374,298.16785,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.4198151,,,,
,35865353.255,299.37913515,999.840454101562,5.99183743886343E-6,2.118424474579E-7,1,2.99776006220938,40.0298881530762,1.99114019268055,19.3399991840124,6.78910973199553E-5,1.22259723029546E-5,0.25,5.31635847323917E-8,5.99176061508323E-6,5.71729771776454E-8,299.3578186,299.4004517,999.840454101562,999.840454101562,60.3096749153333,20.6625568765983,8.138669,0,0,0,120,4374,298.0308,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.37913515,,,,
,35865356.225,299.3329468,999.840454101562,5.61644923353945E-6,1.76953313880528E-7,1,2.99776006220938,40.0298881530762,1.99101248459508,19.3399991840124,6.3947646981453E-5,9.62413434382764E-6,0.25,-1.11901046649821E-7,5.61649516968519E-6,-1.08140525947873E-7,299.308075,299.3578186,999.840454101562,999.840454101562,60.4378619924872,20.6627476008086,8.511729,0,0,0,120,4374,297.93805,999.840454101562,,,,,,,,,,,,,0,,,,26.26596545,,,,,,299.3329468,,,,
,35865359.225,299.2878571,999.840454101562,5.77094998376163E-6,2.02090814159704E-7,1,2.99776006220938,40.0298881530762,1.99107764238208,19.3399991840124,6.54072462891522E-5,1.16540245572391E-5,0.25,4.0544067410874E-8,5.77090277109931E-6,4.44087345429483E-8,299.2676392,299.308075,999.840454101562,999.840454101562,60.3495379698141,20.6622073055753,8.511729,0,0,0,120,4374,297.8454,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.2878571,,,,
,35865362.23,299.2416687,999.840454101562,5.73438589640974E-6,1.85641859836788E-7,1,2.99776006220938,40.0298881530762,1.99105824271527,19.3399991840124,6.52471580226653E-5,1.00893930783364E-5,0.25,-9.10844416286817E-8,5.73443682435921E-6,-8.72418589099757E-8,299.2156982,299.2676392,999.840454101562,999.840454101562,60.3956540524487,20.6633032368628,8.138669,0,0,0,120,4374,297.7087,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.2416687,,,,
,35865365.265,299.182724,999.840454101562,5.84170484547041E-6,2.2317856431514E-7,1,2.99776006220938,40.0298881530762,1.99100589080298,19.3399991840124,6.60941990638927E-5,1.24573632447549E-5,0.25,9.92722330408538E-8,5.84164075307535E-6,1.03189440915527E-7,299.1497498,299.2156982,999.840454101562,999.840454101562,60.4284824502564,20.6631583003782,8.138669,0,0,0,120,4374,297.528,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.182724,,,,
,35865368.285,299.12158205,999.840454101562,5.44803658809689E-6,1.94442798571288E-7,1,2.99776006220938,40.0298881530762,1.99105515310419,19.3399991840124,6.14606364735477E-5,1.26777082058707E-5,0.25,1.85951994493686E-7,5.44792647674315E-6,1.89608327639462E-7,299.0934143,299.1497498,999.840454101562,999.840454101562,60.4214477935833,20.6624550275157,8.138669,0,0,0,120,4374,297.3476,999.840454101562,,,,,,,,,,,,,0,,,,26.3971481,,,,,,299.12158205,,,,
,35865371.245,299.06588745,999.840454101562,5.82159602712971E-6,1.90128424920342E-7,1,2.99776006220938,40.0298881530762,1.99100925484952,19.3499997258186,6.61910089547593E-5,1.05195209208475E-5,0.25,-6.80793152903445E-8,5.82166942827632E-6,-6.41703123694898E-8,299.0383606,299.0934143,999.840454101562,999.840454101562,60.2596506901025,20.6621025437537,8.511729,0,0,0,120,4374,297.16745,999.840454101562,,,,,,,,,,,,,0,,,,26.52967355,,,,,,299.06588745,,,,
