[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,38305497.92,03/20/2026,3:44 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB003X2,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,207.43,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,heart,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,38305572.53,300.0437,1000.13549804688,,,1,1.99850670813958,40.0298881530762,2.0021939012129,13.9100002124906,-0.00390400948389605,0.00570196126639983,2.5,,,,300.0437,300.0437,1000.13549804688,1000.13549804688,60.1572573540833,20.7054353327238,6.273368,1,0,,80,4881,300.0437,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38305578.075,299.996,1000.13549804688,0.000348753319513542,0.000683185685602941,1,1.99850670813958,40.0298881530762,2.0021410633571,13.9100002124906,0.0050368309326696,-0.00550059428621294,25,-0.00054157226695319,0.000349102545100316,-0.000541324590854682,299.9483,299.9483,1000.13549804688,1000.13549804688,60.129118727391,20.7060469801747,6.646428,0,0,0,80,4881,299.996,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38305602.945,299.9483,1000.13549804688,,,1,1.99850670813958,40.0298881530762,2.00210641301709,13.9199998229742,0,0,0.25,,,,299.9483,299.9483,1000.13549804688,1000.13549804688,60.2049366937564,20.7102640554409,6.646428,1,0,,80,4882,299.9483,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38305608.19,299.89915,1000.13549804688,,,1,1.99850670813958,40.0298881530762,2.00214932356247,13.9100002124906,0.00145515845334878,-0.00153173477265136,2.5,,,,299.9453,299.9453,1000.13549804688,1000.13549804688,60.0900373014294,20.7070389686043,6.646428,1,0,,80,4882,299.89915,1000.13549804688,,,,,,,,,,,,,0,,,,4.13774015,,,,,,,,,,
,38305667.25,299.0958,1000.13549804688,,,2,,,,13.9260002744794,,,,,,,299.0958,299.0958,1000.13549804688,1000.13549804688,,,6.273368,,,,-99999999,4886,299.0958,1000.13549804688,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38305711.625,297.899,1000.13549804688,-0.000368453903631954,0.000719947826950876,1,1.99850670813958,40.0298881530762,1.99036597832047,13.9199998229742,-0.00582522114122251,0.00889868569546354,25,0.000847014090742084,-0.000369039146203068,0.000846808958585715,297.899,297.899,1000.13549804688,1000.13549804688,60.3034218871795,20.7219265207319,6.273368,0,0,0,80,4886,297.899,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38305717.28,297.6176,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99047238897183,13.9100002124906,0,0,0.25,,,,297.6176,297.6176,1000.13549804688,1000.13549804688,60.4417701350833,20.7244273856675,6.273368,1,0,,80,4886,297.6176,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38305745.11,295.9417,1000.13549804688,8.67255147928365E-5,0.000611349633566386,1,1.99850670813958,40.0298881530762,1.99037452058257,13.9199998229742,-0.00144060335934477,0.0143543960755298,25,0.00124979298702461,8.58926630586724E-5,0.00125000491431756,295.9417,295.9417,1000.13549804688,1000.13549804688,60.5441634711026,20.726610552996,6.273368,0,0,0,80,4882,295.9417,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38305750.57,295.725,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99042152623522,13.9100002124906,0,0,0.25,,,,295.725,295.725,1000.13549804688,1000.13549804688,60.4824148180833,20.7266764088707,6.646428,1,0,,80,4882,295.725,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38305840.775,293.9276,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99028736944801,13.9100002124906,0.0017276998565275,0.000693536582117235,2.5,,,,293.9276,293.9276,1000.13549804688,1000.13549804688,60.5769918689103,20.728115808022,6.646428,1,0,,80,4882,293.9276,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38305846.29,293.834,1000.13549804688,0.000301594655842478,0.000687793250574021,1,1.99850670813958,40.0298881530762,1.99030143907826,13.9100002124906,0.00572175556906009,-0.0128590450192074,25,-0.00118438593027667,0.000302461851427131,-0.0011844199882057,293.834,293.834,1000.13549804688,1000.13549804688,60.5003922740256,20.7282358917878,6.273368,0,0,0,80,4882,293.834,1000.13549804688,,,,,,,,,,,,,0,,,,4.13774015,,,,,,,,,,
,38305923.11,291.854,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99017252811829,13.9100002124906,0.00193438747196494,-0.00420301114792585,2.5,,,,291.8568,291.8568,1000.13549804688,1000.13549804688,60.7888131976218,20.7311118425928,6.646428,1,0,,80,4882,291.854,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38305928.74,291.678,1000.13549804688,7.3218581007722E-5,0.000700224138588329,1,1.99850670813958,40.0298881530762,1.9902914905217,13.9100002124906,0.00266209762291865,-0.0105678560031575,25,-0.000943431404848976,7.38872573710237E-5,-0.000943648421433946,291.678,291.678,1000.13549804688,1000.13549804688,60.8693209351026,20.7302908323524,6.273368,0,0,0,80,4882,291.678,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38305999.99,289.91435,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99030488274605,13.9199998229742,0,0,0.25,,,,289.9571,289.9571,1000.13549804688,1000.13549804688,60.6098202667179,20.7336069328406,6.273368,1,0,,80,4882,289.91435,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
,38306005.56,289.8234,1000.13549804688,,,1,1.99850670813958,40.0298881530762,1.99017004233468,13.9199998229742,-0.00360211053332039,-0.00812205297954037,2.5,,,,289.8661,289.8661,1000.13549804688,1000.13549804688,60.7536399142564,20.7320086171004,6.646428,1,0,,80,4882,289.8234,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38306054.92,288.553,1000.13549804688,,,2,,,,13.935999884963,,,,,,,288.553,288.553,1000.13549804688,1000.13549804688,,,6.273368,,,,-99999999,4882,288.553,1000.13549804688,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38306076.68,287.9461,1000.13549804688,0.00073357937104766,0.000632320337174837,1,1.99850670813958,40.0298881530762,2.00154324620922,13.9199998229742,0.00825961880532914,0.00209886781321023,25,5.84552319448653E-5,0.00073384965752016,5.89916970918345E-5,287.9461,287.9461,1000.13549804688,1000.13549804688,60.698144289391,20.7233167035497,6.273368,0,0,0,80,4882,287.9461,1000.13549804688,,,,,,,,,,,,,0,,,,4.13774015,,,,,,,,,,
,38306082.365,287.9406,1000.13549804688,,,1,1.99850670813958,40.0298881530762,2.00163357372489,13.9199998229742,0,0,0.25,,,,287.9406,287.9406,1000.13549804688,1000.13549804688,60.555887898891,20.7248084354752,6.273368,1,0,,80,4882,287.9406,1000.13549804688,,,,,,,,,,,,,0,,,,4.1584077,,,,,,,,,,
,38306161.24,285.9023,1000.13549804688,0.000214346610474443,0.00056004156064298,1,1.99850670813958,40.0298881530762,2.00138316845839,13.9199998229742,0.00133591035624018,0.00691545457862865,25,0.000569182752591965,0.000214053592379391,0.000569618778271666,285.9023,285.9023,1000.13549804688,1000.13549804688,60.8826086199295,20.7300768905012,6.273368,0,0,0,80,4882,285.9023,1000.13549804688,,,,,,,,,,,,,0,,,,4.13774015,,,,,,,,,,
,38306166.9,285.734,1000.13549804688,,,1,1.99850670813958,40.0298881530762,2.00151983206188,13.9300003647804,0,0,0.25,,,,285.734,285.734,1000.13549804688,1000.13549804688,60.7325359442372,20.7276202502553,6.273368,1,0,,80,4882,285.734,1000.13549804688,,,,,,,,,,,,,0,,,,4.1170726,,,,,,,,,,
