[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,38390166.25,03/21/2026,3:15 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB003X2,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,207.43,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,heart,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,38390203.41,150.4705,999.671875,,,2,,,,14.6059998643994,,,,,,,150.4705,150.4705,999.671875,999.671875,,,7.019488,,,,-99999999,4914,150.4705,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390251.13,164.5432,999.671875,,,2,,,,14.5659995598197,,,,,,,164.5432,164.5432,999.671875,999.671875,,,7.392549,,,,-99999999,4886,164.5432,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390305.2,176.4272,999.671875,,,2,,,,14.5159996447563,,,,,,,176.4272,176.4272,999.671875,999.671875,,,7.392549,,,,-99999999,4886,176.4272,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390368.16,188.7391,999.671875,,,2,,,,14.4760002714992,,,,,,,188.7391,188.7391,999.671875,999.671875,,,7.019488,,,,-99999999,4886,188.7391,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390431.98,200.2423,999.671875,,,2,,,,14.4260003564358,,,,,,,200.2423,200.2423,999.671875,999.671875,,,7.019488,,,,-99999999,4886,200.2423,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390501.92,212.4099,999.671875,,,2,,,,14.3760004413724,,,,,,,212.4099,212.4099,999.671875,999.671875,,,7.019488,,,,-99999999,4886,212.4099,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390567,223.3173,999.671875,,,2,,,,14.3360001367927,,,,,,,223.3173,223.3173,999.671875,999.671875,,,7.392549,,,,-99999999,4886,223.3173,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390636.86,234.5522,999.671875,,,2,,,,14.2959998322129,,,,,,,234.5522,234.5522,999.671875,999.671875,,,7.392549,,,,-99999999,4886,234.5522,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390711.88,246.0533,999.671875,,,2,,,,14.2560004589558,,,,,,,246.0533,246.0533,999.671875,999.671875,,,7.392549,,,,-99999999,4886,246.0533,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390785.91,257.0197,999.671875,,,2,,,,14.2059996125698,,,,,,,257.0197,257.0197,999.671875,999.671875,,,7.392549,,,,-99999999,4886,257.0197,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38390859.56,267.6112,999.671875,,,2,,,,14.1660002393126,,,,,,,267.6112,267.6112,999.671875,999.671875,,,7.019488,,,,-99999999,4886,267.6112,999.671875,,,,,,,,,,,,,,,,,,,,,,,,,,,
