[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,TB003X2 H PARRA AB PLANE 0.1T
FILEOPENTIME,38651945.67,03/24/2026,3:58 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB003X2,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,207.43,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,38652096.675,299.8829651,999.713989257812,1.67897682240683E-5,2.60072408896188E-7,1,1.99850670813958,40.0298881530762,1.99150332680852,14.8600004613399,0.000189663264519082,3.77996353363721E-5,0.25,4.6060025831518E-7,1.67890352678247E-5,4.71732741483671E-7,299.8826294,299.8833008,999.713989257812,999.713989257812,60.4527129343526,20.7032748445711,8.884789,0,0,0,80,4369,300.0885,999.713989257812,,,,,,,,,,,,,0,,,,32.3968449,,,,,,299.8829651,,,,
,38652098.69,299.88267515,999.713989257812,1.67661872770431E-5,2.44334897850962E-7,1,1.99850670813958,40.0298881530762,1.99149156230593,14.8600004613399,0.000189681832117903,3.60730935555645E-5,0.25,3.12526923558236E-7,1.6765553603562E-5,3.23645551588162E-7,299.8826294,299.8827209,999.713989257812,999.713989257812,60.6317058652564,20.7028546293359,8.884789,0,0,0,80,4369,300.1335,999.713989257812,,,,,,,,,,,,,0,,,,32.5586777,,,,,,299.88267515,,,,
,38652106.33,299.8840332,999.713989257812,1.69207790704533E-5,2.36330124536345E-7,1,1.99850670813958,40.0298881530762,1.99148969942441,14.8600004613399,0.000191371443189487,3.67517465023485E-5,0.25,3.45897353193291E-7,1.69201180101409E-5,3.57121692412416E-7,299.8840332,299.8840332,999.713989257812,999.713989257812,60.6356140078526,20.7042553070822,8.511729,0,0,0,80,4370,300.0435,999.713989257812,,,,,,,,,,,,,0,,,,32.3968449,,,,,,299.8840332,,,,
,38652107.16,299.88423155,999.713989257812,1.64888629995731E-5,2.5041025294628E-7,1,1.99850670813958,40.0298881530762,1.99142209701661,14.8700000718236,0.000186435583084813,3.60752663429208E-5,0.25,3.60223563119277E-7,1.64882033104426E-5,3.71160861745886E-7,299.8840332,299.8844299,999.713989257812,999.713989257812,60.6379588934103,20.7049977646082,8.511729,0,0,0,80,4370,300.04205,999.713989257812,,,,,,,,,,,,,0,,,,32.2350121,,,,,,299.88423155,,,,
,38652236.545,297.94599915,999.713989257812,1.68484305918974E-5,2.40161770236972E-7,1,1.99850670813958,40.0298881530762,1.99119697539008,14.8700000718236,0.000190687824322944,3.57282865937126E-5,0.25,2.68055833809208E-7,1.68490320274941E-5,2.79500818772589E-7,297.9094238,297.9825745,999.713989257812,999.713989257812,60.8036641394872,20.7121713001674,8.511729,0,0,0,80,4374,294.58695,999.713989257812,,,,,,,,,,,,,0,,,,32.3968449,,,,,,297.94599915,,,,
,38652238.545,297.87690735,999.713989257812,1.68082724920962E-5,2.6670848084898E-7,1,1.99850670813958,40.0298881530762,1.99113628685657,14.8700000718236,0.000190699592666797,3.28851605897007E-5,0.25,2.44709379753441E-8,1.68090811075999E-5,3.58795529669805E-8,297.8443909,297.9094238,999.713989257812,999.713989257812,60.7989743683718,20.7120724750494,8.511729,0,0,0,80,4374,294.54115,999.713989257812,,,,,,,,,,,,,0,,,,32.3968449,,,,,,297.87690735,,,,
,38652308.56,295.9905548,999.713989257812,1.69177384765576E-5,2.85477275331135E-7,1,1.99850670813958,40.0298881530762,1.99118460343708,14.8600004613399,0.000191526583407403,3.56357224152148E-5,0.25,2.4778517412678E-7,1.69196039631699E-5,2.59348905456019E-7,295.9663391,296.0147705,999.713989257812,999.713989257812,60.8013192539295,20.7144787595468,8.511729,0,0,0,80,4374,293.438,999.713989257812,,,,,,,,,,,,,0,,,,32.8855324,,,,,,295.9905548,,,,
,38652310.53,295.9451599,999.713989257812,1.68804916595574E-5,2.69784564224356E-7,1,1.99850670813958,40.0298881530762,1.99112995406387,14.8600004613399,0.000190646007231007,3.82135159665395E-5,0.25,4.81363670297596E-7,1.68822224380374E-5,4.92931072455207E-7,295.9239807,295.9663391,999.713989257812,999.713989257812,60.8654127925064,20.7152274681052,8.511729,0,0,0,80,4374,293.43525,999.713989257812,,,,,,,,,,,,,0,,,,32.72210505,,,,,,295.9451599,,,,
,38652392.475,293.96809385,999.713989257812,1.73533998155091E-5,1.99181848782933E-7,1,1.99850670813958,40.0298881530762,1.99119270002625,14.8600004613399,0.000196011691594218,3.92630565151902E-5,0.25,4.92533218850638E-7,1.7356468480834E-5,5.0456557028263E-7,293.9456787,293.990509,999.713989257812,999.713989257812,60.8310211376603,20.7176839020412,8.511729,0,0,0,80,4374,291.295,999.713989257812,,,,,,,,,,,,,0,,,,32.8855324,,,,,,293.96809385,,,,
,38652394.46,293.9323883,999.713989257812,1.72833673030858E-5,2.37768476664035E-7,1,1.99850670813958,40.0298881530762,1.99121766482269,14.8700000718236,0.000196197107646734,3.3408555069536E-5,0.25,-1.13341441408334E-8,1.72867919808462E-5,5.53212054853155E-10,293.9190979,293.9456787,999.713989257812,999.713989257812,60.6872014901218,20.7185747472567,8.884789,0,0,0,80,4374,291.25165,999.713989257812,,,,,,,,,,,,,0,,,,32.8855324,,,,,,293.9323883,,,,
