[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,27-01-2025_RUCL3_TB001_0.1T H PARA C
FILEOPENTIME,2346874.94,01/28/2025,10:59 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,33,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (�A),Bridge 2 Resistance (ohms),Bridge 2 Excitation (�A),Bridge 3 Resistance (ohms),Bridge 3 Excitation (�A),Bridge 4 Resistance (ohms),Bridge 4 Excitation (�A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2354117.83,2.995997,999.777282714844,,,2,,,,20.4160001713634,,,,,,,2.995997,2.995997,999.777282714844,999.777282714844,,,5.154188,,,,-99999999,4885,2.9846,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,2.995997,,,,
,2354733.58,2.8148241,999.777282714844,,,2,,,,20.3759998667836,,,,,,,2.8148241,2.8148241,999.777282714844,999.777282714844,,,4.781127,,,,-99999999,4886,2.8261,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,2.8148241,,,,
,2354952.135,3.02695335,999.777282714844,0.00346038418339934,1.69150381018324E-7,1,1.99850670813958,40.0298881530762,2.00760795133542,20.3600004315376,0.0392962603776117,0.00713693497100006,0.25,2.1232451507424E-5,0.00344188048461891,3.79639169732426E-5,3.0261464,3.0277603,999.777282714844,999.777282714844,61.974543661295,20.8165010334231,4.781127,0,0,0,80,4881,2.63635,999.777282714844,,,,,,,,,,,,,0,,,,0.1700566,,,,,,3.02695335,,,,
,2354954.12,3.02545525,999.777282714844,0.0034603088389475,1.87027340754215E-7,1,1.99850670813958,40.0298881530762,2.00762614703099,20.3600004315376,0.0392960997498876,0.00713481054761686,0.25,2.10533702802962E-5,0.00344180641124265,3.77854212237479E-5,3.0231502,3.0277603,999.777282714844,999.777282714844,61.7502162762758,20.8160288058198,5.154188,0,0,0,80,4881,2.64145,999.777282714844,,,,,,,,,,,,,0,,,,0.1700566,,,,,,3.02545525,,,,
,2354962.64,3.3748515,999.777282714844,0.00346181936279116,2.62610738068618E-7,1,1.99850670813958,40.0298881530762,2.00760737514388,20.3600004315376,0.0393109116312365,0.0071492423179911,0.25,2.20636155224841E-5,0.0034433042288505,3.87976501913342E-5,3.3748515,3.3748515,999.777282714844,999.777282714844,61.9260826931027,20.8150695932616,5.154188,0,0,0,80,4886,3.0528,999.777282714844,,,,,,,,,,,,,0,,,,0.1752303,,,,,,3.3748515,,,,
,2354963.695,3.3776802,999.777282714844,0.00346387766341939,2.03991619606008E-7,1,1.99850670813958,40.0298881530762,2.00758170342337,20.3600004315376,0.0393342553968712,0.00715084201755873,0.25,2.18511947772491E-5,0.00344535262027475,3.85963783226845E-5,3.3748515,3.3805089,999.777282714844,999.777282714844,61.8768400963912,20.8169623701323,4.781127,0,0,0,80,4886,3.03305,999.777282714844,,,,,,,,,,,,,0,,,,0.1752303,,,,,,3.3776802,,,,
,2355349.77,3.3019257,999.777282714844,,,2,,,,20.3359995622039,,,,,,,3.3019257,3.3019257,999.777282714844,999.777282714844,,,5.154188,,,,-99999999,4882,3.2875,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,3.3019257,,,,
,2355385.85,3.51862455,999.777282714844,0.00347320447110766,2.52174368344089E-7,1,1.99850670813958,40.0298881530762,1.98323386774017,20.3200001269579,0.0389835937962517,0.00709110585144769,0.25,2.22561339875239E-5,0.00345462792824002,3.90445658589308E-5,3.507895,3.5293541,999.777282714844,999.777282714844,62.0011190309489,20.8220254868224,4.781127,0,0,0,80,4886,3.2187,999.777282714844,,,,,,,,,,,,,0,,,,0.1879226,,,,,,3.51862455,,,,
,2355387.78,3.5258012,999.777282714844,0.00347286782915313,2.12935320546764E-7,1,1.99850670813958,40.0298881530762,1.98313513434416,20.3200001269579,0.0389779912330384,0.00708992994483629,0.25,2.22404529370942E-5,0.00345429315548272,3.90273295248527E-5,3.5222483,3.5293541,999.777282714844,999.777282714844,62.0058088020643,20.8212974097084,4.781127,0,0,0,80,4886,3.21165,999.777282714844,,,,,,,,,,,,,0,,,,0.1879226,,,,,,3.5258012,,,,
,2355493.735,3.68812085,999.777282714844,0.00347570522425773,2.19780880359177E-7,1,1.99850670813958,40.0298881530762,1.9830609253031,20.3200001269579,0.0390084415750548,0.00709549093934618,0.25,2.22605392099162E-5,0.00345711541635106,3.90611213664249E-5,3.686851,3.6893907,999.777282714844,999.777282714844,62.3122071816028,20.8268406330314,5.154188,0,0,0,80,4886,3.41235,999.777282714844,,,,,,,,,,,,,0,,,,0.1955839,,,,,,3.68812085,,,,
