[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,2377377.33,01/28/2025,7:27 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,33,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2377576.52,299.67774965,999.777282714844,0.000398361366249218,2.42883757149843E-7,1,1.99850670813958,40.0298881530762,1.99801697737297,18.9599990844727,0.00453619043191677,0.000770370194141802,0.25,-4.26754254859168E-7,0.000398354631263915,-1.62634556660517E-7,299.6772461,299.6782532,999.777282714844,999.777282714844,62.7038030697374,20.8089957454843,4.781127,0,0,0,80,4881,300.37805,999.777282714844,,,,,,,,,,,,,0,,,,1.6178562,,,,,,299.67774965,,,,
,2377578.52,299.6773529,999.777282714844,0.00039789964831255,2.21197364392748E-7,1,1.99850670813958,40.0298881530762,1.99798140697369,18.9599990844727,0.00453041881454136,0.000772022061891491,0.25,-2.01592578023342E-7,0.000397892778164335,6.22168809319903E-8,299.6772461,299.6774597,999.777282714844,999.777282714844,62.1394672788527,20.8086885597848,5.154188,0,0,0,80,4881,300.3782,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,299.6773529,,,,
,2377588.52,299.6785889,999.777282714844,0.000398433690180478,2.2171220070515E-7,1,1.99850670813958,40.0298881530762,1.99808842173565,18.9599990844727,0.00453708539812218,0.000771020162886617,0.25,-3.84603639924044E-7,0.000398426888690839,-1.20160399589486E-7,299.6785889,299.6785889,999.777282714844,999.777282714844,62.3989679472374,20.8080452823062,5.154188,0,0,0,80,4882,300.11325,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,299.6785889,,,,
,2377589.55,299.6786499,999.777282714844,0.000398382152093267,2.35516313379267E-7,1,1.99850670813958,40.0298881530762,1.99804101468126,18.9599990844727,0.00453568405615759,0.000775066892033961,0.25,-1.89955162857976E-8,0.000398375092308532,2.45580485806774E-7,299.6785889,299.6787109,999.777282714844,999.777282714844,62.3653579209105,20.8087502403186,4.781127,0,0,0,80,4882,299.9473,999.777282714844,,,,,,,,,,,,,0,,,,1.6178562,,,,,,299.6786499,,,,
,2377634.39,299.2880249,999.777282714844,,,2,,,,18.9459996882677,,,,,,,299.2880249,299.2880249,999.777282714844,999.777282714844,,,5.154188,,,,-99999999,4886,297.5872,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,299.2880249,,,,
,2377694.355,297.9701538,999.777282714844,0.000399313869737638,2.71850440170193E-7,1,1.99850670813958,40.0298881530762,1.99792431236624,18.9299993216991,0.00454691219047573,0.000773470255354607,0.25,-3.23406617045316E-7,0.000399332414505408,-5.38415531719897E-8,297.9701538,297.9701538,999.777282714844,999.777282714844,62.7874373212951,20.8060833589023,5.154188,0,0,0,80,4886,295.8492,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,297.9701538,,,,
,2377695.55,297.9439697,999.777282714844,0.000399523186561233,2.18489781786026E-7,1,1.99850670813958,40.0298881530762,1.99789790914598,18.9299993216991,0.00454838396846645,0.000778890971532615,0.25,1.17674550323897E-7,0.000399541834540444,3.87451542026851E-7,297.9177856,297.9701538,999.777282714844,999.777282714844,62.4177270316989,20.805774961296,5.154188,0,0,0,80,4886,295.8031,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,297.9439697,,,,
,2377781.04,295.97062685,999.777282714844,0.000402612614586707,2.29380167544505E-7,1,1.99850670813958,40.0298881530762,1.99792218394256,18.9299993216991,0.00458494092731004,0.000779176131205533,0.25,-3.93830208806817E-7,0.000402661606245435,-1.19429274825775E-7,295.9420166,295.9992371,999.777282714844,999.777282714844,62.4130372605835,20.8061248382614,5.154188,0,0,0,80,4886,293.4731,999.777282714844,,,,,,,,,,,,,0,,,,1.6259372,,,,,,295.97062685,,,,
,2377784.945,295.8777771,999.777282714844,0.000402663363392546,2.3104171686823E-7,1,1.99850670813958,40.0298881530762,1.99794420990706,18.9299993216991,0.00458500479011423,0.000782667811845452,0.25,-9.69060359372918E-8,0.000402713566011481,1.77666882630463E-7,295.8777771,295.8777771,999.777282714844,999.777282714844,62.5076143114105,20.8041586843582,5.154188,0,0,0,80,4886,293.3826,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,295.8777771,,,,
,2377865.22,293.9455261,999.777282714844,0.000405508569930138,2.42402626194687E-7,1,1.99850670813958,40.0298881530762,1.99793751136713,18.9299993216991,0.0046185307348295,0.000783529386956494,0.25,-5.14747369246443E-7,0.000405588896719483,-2.35962771393569E-7,293.9455261,293.9455261,999.777282714844,999.777282714844,62.5560752796028,20.8051642250118,5.154188,0,0,0,80,4886,291.3145,999.777282714844,,,,,,,,,,,,,0,,,,1.6097752,,,,,,293.9455261,,,,
