[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,TB003X3 H PARRA AB 0.1T
FILEOPENTIME,39168967.22,03/30/2026,4:35 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB003X3,SAMPLE_COMMENT
INFO,4.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,207.43,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,39169099.99,299.8480072,1000.32513427734,5.30471056402689E-5,2.5794001953718E-7,1,1.99850670813958,40.0298881530762,2.00393743698842,14.6500002592802,0.000604551740948206,0.000109911261165249,0.25,5.59531324173856E-7,5.30454551488743E-5,5.94721819606645E-7,299.8475952,299.8484192,1000.32513427734,1000.32513427734,60.6965810323526,20.6921101965429,6.273368,0,0,0,80,4881,300.13205,1000.32513427734,,,,,,,,,,,,,0,,,,3.9955161,,,,,,299.8480072,,,,
,39169101.985,299.8484497,1000.32513427734,5.28029044382431E-5,2.36162510451417E-7,1,1.99850670813958,40.0298881530762,2.00387020420062,14.6500002592802,0.000600865888096784,0.000114571008095484,0.25,1.0097315580489E-6,5.28009602045865E-5,1.04474891882539E-6,299.8484192,299.8484802,1000.32513427734,1000.32513427734,60.7638010850064,20.6930785904834,6.273368,0,0,0,80,4881,300.1335,1000.32513427734,,,,,,,,,,,,,0,,,,3.9955161,,,,,,299.8484497,,,,
,39169110.43,299.85147095,1000.32513427734,5.28527988514841E-5,2.76205185859485E-7,1,1.99850670813958,40.0298881530762,2.00395263462163,14.6500002592802,0.000603375332219832,0.000103461612467022,0.25,2.77497421666704E-8,5.28514973168277E-5,6.28430103856123E-8,299.8511353,299.8518066,1000.32513427734,1000.32513427734,60.6535914637949,20.6934052535658,5.900308,0,0,0,80,4882,299.99565,1000.32513427734,,,,,,,,,,,,,0,,,,3.9558001,,,,,,299.85147095,,,,
,39169111.095,299.85050965,1000.32513427734,5.33116939045935E-5,2.55278027582738E-7,1,1.99850670813958,40.0298881530762,2.00397231224168,14.6500002592802,0.000608762770034404,0.000103524820718239,0.25,-4.52385014844351E-8,5.33104316310937E-5,-9.83875811844159E-9,299.849884,299.8511353,1000.32513427734,1000.32513427734,60.7731806272372,20.693544323014,6.273368,0,0,0,80,4882,299.99565,1000.32513427734,,,,,,,,,,,,,0,,,,3.9558001,,,,,,299.85050965,,,,
,39169227.87,297.9757538,1000.32513427734,5.36116285309337E-5,2.69180314115237E-7,1,1.99850670813958,40.0298881530762,2.00389111319427,14.6500002592802,0.000611633618441118,0.000107463990279229,0.25,2.47595703829156E-7,5.36139077590156E-5,2.83829144295436E-7,297.9524536,297.999054,1000.32513427734,1000.32513427734,60.7802152839103,20.6958186186727,5.900308,0,0,0,80,4886,295.6533,1000.32513427734,,,,,,,,,,,,,0,,,,4.076148,,,,,,297.9757538,,,,
,39169230.89,297.89971925,1000.32513427734,5.33794845328364E-5,2.38309247263085E-7,1,1.99850670813958,40.0298881530762,2.00393526032175,14.6500002592802,0.000609492783568337,0.000104116689571375,0.25,-6.12075123653008E-9,5.33820770679851E-5,2.99569349537241E-8,297.8469849,297.9524536,1000.32513427734,1000.32513427734,61.036589438218,20.6949355156494,6.273368,0,0,0,80,4886,295.5666,1000.32513427734,,,,,,,,,,,,,0,,,,4.076148,,,,,,297.89971925,,,,
,39169313.845,295.951767,1000.32513427734,5.39440387136025E-5,2.37585165851827E-7,1,1.99850670813958,40.0298881530762,2.00388416115999,14.6500002592802,0.000615790341191134,0.000106268417550233,0.25,8.50349065297564E-8,5.3950545098596E-5,1.218424304324E-7,295.9268494,295.9766846,1000.32513427734,1000.32513427734,60.9560817007372,20.7001239901752,6.273368,0,0,0,80,4886,293.30455,1000.32513427734,,,,,,,,,,,,,0,,,,4.076148,,,,,,295.951767,,,,
,39169315.82,295.90246585,1000.32513427734,5.37658596409758E-5,2.56871772320636E-7,1,1.99850670813958,40.0298881530762,2.00383194724864,14.6500002592802,0.000614287528219737,0.000102725424749459,0.25,-1.94592673820863E-7,5.37726349347061E-5,-1.57934451842709E-7,295.8780823,295.9268494,1000.32513427734,1000.32513427734,60.8622862784295,20.6983233231291,5.900308,0,0,0,80,4886,293.2605,1000.32513427734,,,,,,,,,,,,,0,,,,4.076148,,,,,,295.90246585,,,,
,39169407.95,293.7397156,1000.32513427734,,,2,,,,14.695999987483,,,,,,,293.7397156,293.7397156,1000.32513427734,1000.32513427734,,,6.273368,,,,-99999999,4886,290.9166,1000.32513427734,,,,,,,,,,,,,,,,,,,,,,,293.7397156,,,,
touchdown = 8.55999998748302 mm,39169425.455,293.3011169,1000.32513427734,5.44869123979198E-5,2.43212051955175E-7,1,1.99850670813958,40.0298881530762,1.99241637696286,14.6800000220537,0.000618608933603021,0.000107049385659163,0.25,1.10641394522412E-7,5.44989002826286E-5,1.48278704596355E-7,293.3011169,293.3011169,1000.32513427734,1000.32513427734,60.8286762521026,20.6995084420322,6.273368,0,0,0,80,4886,290.4122,1000.32513427734,,,,,,,,,,,,,0,,,,4.076148,,,,,,293.3011169,,,,
