[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3959135986.62032,06/15/2025,7:59 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,single crystal,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Rotator,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3959135996.68338,50.5287971496582,1000.30609130859,,,6,,,,30.7535683068927,,,100,,,,,,,,,,,,,,,,,,,,,,50.0006217956543,50.9496612548828,1000.30609130859,1000.30609130859,,,6.09316301345825,,1,0,0,0,0,33.7243423461914,1,1,1,51.0568313598633,0,50.2619291941325,90.0000076293945,1,0.00291960030430424,0.000101739025627547,0.00292035569625725,0.00010174246574119,0.975744783878326,0.988222539424896,30.8338146209717,0,30,4,200,-8.59568317537196E-5,-0.123376950621605,0.0124021386727691,2,,,,,,,,,,,,,,,,
,3959136016.37518,52.4455604553223,1000.30609130859,,,6,,,,30.7535683068927,,,100,,,,,,,,,,,,,,,,,,,,,,51.0568313598633,53.7698211669922,1000.30609130859,1000.30609130859,,,6.11076402664185,,1,0,0,0,0.007476806640625,33.7243423461914,2,1,1,53.8342895507812,0,52.3422012329102,90.0000076293945,1,0.00283375978976775,9.87517895136014E-5,0.00283456187724197,9.87566907951111E-5,0.974124670028686,0.985752701759338,30.8351535797119,0.0607887580990791,30,4,200,-9.86704981187358E-5,-0.121414989233017,0.011438274756074,2,,,,,,,,,,,,,,,,
,3959136035.80438,55.3919048309326,1000.30609130859,,,6,,,,30.7535683068927,,,100,,,,,,,,,,,,,,,,,,,,,,53.8342895507812,56.8175048828125,1000.30609130859,1000.30609130859,,,6.12744283676147,,1,0,0,0,0.0142669677734375,33.7243423461914,2,1,1,56.949520111084,0,55.326519648234,90.0000076293945,1,0.00273134330501383,9.51846998451079E-5,0.00273211002114694,9.51880275445815E-5,0.973324954509735,0.985155344009399,30.8372840881348,,30,4,200,-8.87729547685012E-5,-0.118103966116905,0.020427392795682,2,,,,,,,,,,,,,,,,
,3959136055.2207,58.4536514282227,1000.30609130859,,,6,,,,30.7535683068927,,,100,,,,,,,,,,,,,,,,,,,,,,56.949520111084,59.9577827453613,1000.30609130859,1000.30609130859,,,6.13814115524292,,1,0,0,0,0.000152587890625,33.7243423461914,2,1,1,59.9577827453613,0,58.4198282029894,90.0000076293945,1,0.0026287115580482,9.16096982226093E-5,0.00262945675987184,9.16120101266184E-5,0.972694396972656,0.984853088855743,30.839334487915,3.56941309291869E-5,30,4,200,-9.86596714938059E-5,-0.114723764359951,0.0197456870228052,2,,,,,,,,,,,,,,,,
,3959136079.89649,62.3398876190186,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,60.0417594909668,64.3560256958008,1000.30609130859,1000.30609130859,,,6.15378665924072,,1,0,0,0,0.0142669677734375,33.7243423461914,2,1,1,64.6380157470703,0,62.1696483905499,90.0000076293945,1,0.00247526881527528,8.62647671765123E-5,0.00247574074285181,8.62571720998623E-5,0.971644580364227,0.984285354614258,30.8426303863525,0,30,4,200,-0.000704172940459102,-0.990290760993958,0.184359237551689,2,,,,,,,,,,,,,,,,
,3959136105.20703,66.3422584533691,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,64.7397079467773,67.9120330810547,1000.30609130859,1000.30609130859,,,6.16491174697876,,1,0,0,0,0.0002288818359375,32.7468223571777,2,1,1,67.9448089599609,0,66.2938987330386,90.0000076293945,1,0.00237530381778596,8.27835640881237E-5,0.00237578551310886,8.2775678229078E-5,0.970529735088348,0.983484387397766,30.8456649780273,5.55388736724854,30,4,200,-0.000907928799279034,-0.949295341968536,0.166462644934654,2,,,,,,,,,,,,,,,,
,3959136126.30529,69.6729736328125,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,68.0818328857422,71.0893173217773,1000.30609130859,1000.30609130859,,,6.17485809326172,,1,0,0,0,0.0006866455078125,33.7243423461914,2,1,1,71.2641143798828,0,69.6313213772244,90.0000076293945,1,0.0022782154563564,7.94021406180357E-5,0.00227879551349385,7.93967817766933E-5,0.969576418399811,0.983211815357208,30.8492527008057,3.95007538795471,30,4,200,-0.000979898613877594,-0.916535973548889,0.153534591197968,2,,,,,,,,,,,,,,,,
,3959136146.84025,72.9396667480469,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,71.4253845214844,74.3464813232422,1000.30609130859,1000.30609130859,,,6.18384552001953,,1,0,0,0,0.0002288818359375,33.2355842590332,2,1,1,74.4539489746094,0,72.9344270494249,90.0000076293945,1,0.0021867113276921,7.62152883378369E-5,0.00218741863574275,7.62128354300921E-5,0.968591690063477,0.983394205570221,30.8540878295898,5.55464553833008,30,4,200,-0.000911818060558289,-0.885613679885864,0.141298085451126,2,,,,,,,,,,,,,,,,
,3959136167.33664,76.2275466918945,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,74.5893325805664,77.6996078491211,1000.30609130859,1000.30609130859,,,6.19352054595947,,1,0,0,0,0.0002288818359375,33.2355842590332,2,1,1,77.8657608032227,0,76.100405799018,90.0000076293945,1,0.0020995813947303,7.31801974077934E-5,0.0021003455961052,7.31796649248165E-5,0.967857837677002,0.982934474945068,30.8563060760498,0,30,4,200,-0.000977700692601502,-0.856822669506073,0.129921898245811,2,,,,,,,,,,,,,,,,
,3959136188.2621,79.5108222961426,1000.30609130859,,,6,,,,30.7535683068927,,,10,,,,,,,,,,,,,,,,,,,,,,77.963134765625,80.8742904663086,1000.30609130859,1000.30609130859,,,6.20226526260376,,1,0,0,0,0.000457763671875,33.7243423461914,2,1,1,81.0585098266602,0,79.4303660673254,90.0000076293945,1,0.00201605542707866,7.02711396971307E-5,0.0020169024915253,7.02725202323487E-5,0.966883778572083,0.982783973217011,30.8602561950684,0,30,4,200,-0.000950115092564374,-0.828611850738525,0.118925921618938,2,,,,,,,,,,,,,,,,
