[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3959158426.33019,06/15/2025,2:13 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,single crystal,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Rotator,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3959159689.6707,179.990379333496,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.983322143555,179.996505737305,999.832702636719,999.832702636719,,,6.41564226150513,,1,0,0,0,0.00030517578125,35.6793746948242,1,1,1,179.984252929687,0,179.992075602214,-299.995208740234,1,0.00078906983584696,3.88872629365373E-5,0.000789082764537044,3.8887602627373E-5,0.974557638168335,0.974859893321991,30.9312553405762,0,30,4,200,-0.0003618472837843,-0.346626102924347,0.0217897854745388,1,,,,,,,,,,,,,,,,
,3959159713.48191,179.994537353516,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.982940673828,180.005233764648,999.832702636719,999.832702636719,,,6.41585159301758,,1,0,0,0,0.00030517578125,35.6793746948242,1,1,1,179.99040222168,0,179.995240953234,-299.995208740234,1,0.000786909365715541,2.23900278974405E-5,0.000786921759983533,2.23902319142069E-5,0.974673211574554,0.974936544895172,30.9302520751953,0,30,4,200,-0.000337852921802551,-0.344660609960556,0.0228904280811548,3,,,,,,,,,,,,,,,,
,3959159740.08531,179.994583129883,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.983367919922,180.006301879883,999.832702636719,999.832702636719,,,6.41622018814087,,1,0,0,0,0.000152587890625,35.6793746948242,1,1,1,179.982757568359,0,179.998221503364,-297.998413085937,1,0.000786674462773846,3.87684500907117E-5,0.000786680286420366,3.876852479888E-5,0.975346028804779,0.975569009780884,30.9290370941162,0.16554768383503,30,4,200,-0.000367287255357951,-0.344559013843536,0.0224460046738386,1,,,,,,,,,,,,,,,,
,3959159763.9477,179.992965698242,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.984664916992,180.005035400391,999.832702636719,999.832702636719,,,6.41609811782837,,1,0,0,0,0.000152587890625,34.7018585205078,1,1,1,179.990142822266,0,179.994625515408,-297.998413085937,1,0.000786136477011812,2.23676053015883E-5,0.000786141628587512,2.23676340550306E-5,0.97545850276947,0.975673973560333,30.9287986755371,0,30,4,200,-0.000282080756733194,-0.345077097415924,0.0224368367344141,3,,,,,,,,,,,,,,,,
,3959159790.73042,179.991355895996,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.977401733398,180.005615234375,999.832702636719,999.832702636719,,,6.41687870025635,,1,0,0,0,0.00030517578125,35.6793746948242,1,1,1,179.977096557617,0,179.994857788086,-295.996826171875,1,0.00078868297142275,3.88670601623561E-5,0.000788688296752243,3.8867129847043E-5,0.975758373737335,0.975963711738586,30.9284420013428,0,30,4,200,-0.000343133811838925,-0.345983743667603,0.0219770576804876,1,,,,,,,,,,,,,,,,
,3959159814.55518,179.990531921387,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.98258972168,180.002899169922,999.832702636719,999.832702636719,,,6.41687536239624,,1,0,0,0,0.0002288818359375,35.6793746948242,1,1,1,179.988754272461,0,179.994168316876,-295.996826171875,1,0.000787997564423649,2.24204499289814E-5,0.000788002680488322,2.24204984858476E-5,0.9756680727005,0.975846469402313,30.927661895752,9.30163669586182,30,4,200,-0.000276497157756239,-0.346042722463608,0.0219789296388626,3,,,,,,,,,,,,,,,,
,3959159839.78646,179.993049621582,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.981887817383,180.006378173828,999.832702636719,999.832702636719,,,6.41662740707398,,1,0,0,0,0.00030517578125,35.6793746948242,1,1,1,179.981719970703,0,179.997633192274,-293.995208740234,1,0.000790667008507912,3.89646135056344E-5,0.00079067133222749,3.89646808055864E-5,0.975983381271362,0.976139545440674,30.9268760681152,0,30,4,200,-0.000301760883303359,-0.34705913066864,0.0218691155314446,1,,,,,,,,,,,,,,,,
,3959159863.2732,179.99340057373,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.984222412109,180.006210327148,999.832702636719,999.832702636719,,,6.41669607162476,,1,0,0,0,0.0003814697265625,35.6793746948242,1,1,1,179.992050170898,0,179.995863233294,-293.995208740234,1,0.000790061266976944,2.24790339737797E-5,0.000790064829041319,2.24790596747411E-5,0.975902915000916,0.976042866706848,30.9263496398926,7.97258180682547E-5,30,4,200,-0.000204419236979447,-0.34696626663208,0.0222503300756216,3,,,,,,,,,,,,,,,,
,3959159890.83702,179.99536895752,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.980865478516,180.009002685547,999.832702636719,999.832702636719,,,6.41691207885742,,1,0,0,0,0.0002288818359375,36.1681327819824,1,1,1,179.981735229492,0,179.997554016113,-291.998413085937,1,0.000793609356970478,3.91093242397672E-5,0.000793614224307218,3.91094407228357E-5,0.97628515958786,0.976418495178223,30.9260368347168,,30,4,200,-0.000369352666893974,-0.348479300737381,0.0220150332897902,1,,,,,,,,,,,,,,,,
,3959159914.55743,179.996124267578,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.985504150391,180.011596679687,999.832702636719,999.832702636719,,,6.41691780090332,,1,0,0,0,0.00030517578125,35.190616607666,1,1,1,179.994934082031,0,179.998660617405,-291.998413085937,1,0.000793385263706039,2.2573552995585E-5,0.000793392719000623,2.25735886664383E-5,0.976021945476532,0.976350009441376,30.9314880371094,0,30,4,200,-0.000308355869492516,-0.348460674285889,0.0225195456296206,3,,,,,,,,,,,,,,,,
,3959159940.91089,179.996704101562,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.981826782227,180.011566162109,999.832702636719,999.832702636719,,,6.41744232177734,,1,0,0,0,0.0002288818359375,35.190616607666,1,1,1,179.981842041016,0,179.999876234266,-289.996826171875,1,0.00079710477674008,3.92811992825913E-5,0.000797111578015928,3.92811732945149E-5,0.976703286170959,0.977101147174835,30.9327487945557,,30,4,200,-0.000201880422537215,-0.349650293588638,0.0226331073790789,1,,,,,,,,,,,,,,,,
,3959159964.76623,179.996070861816,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.986465454102,180.009552001953,999.832702636719,999.832702636719,,,6.41751432418823,,1,0,0,0,0,35.6793746948242,1,1,1,179.993942260742,0,179.998443038375,-289.996826171875,1,0.000796495627585314,2.26617312952948E-5,0.000796502318776331,2.2661723284108E-5,0.976613402366638,0.976990580558777,30.9323596954346,,30,4,200,-0.000176159155671485,-0.349701046943665,0.0227418709546328,3,,,,,,,,,,,,,,,,
,3959159991.81076,179.997543334961,999.832702636719,,,6,,,,30.9165343095545,,,10,,,,,,,,,,,,,,,,,,,,,,179.980987548828,180.012832641602,999.832702636719,999.832702636719,,,6.41726016998291,,1,0,0,0,0.00030517578125,35.190616607666,1,1,1,179.98225402832,0,179.998046875,-287.995208740234,1,0.000799319627338466,3.939008914098E-5,0.000799324024356103,3.93899448897787E-5,0.976984679698944,0.977386116981506,30.932731628418,4.00008773803711,30,4,200,-0.000217682318179868,-0.350582838058472,0.0228978656232357,1,,,,,,,,,,,,,,,,
