[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3959075230.2838,06/14/2025,3:06 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,single crystal,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Rotator,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3959078044.54393,1.80498760938644,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.76740944385529,1.8432993888855,999.929748535156,999.929748535156,,,2.73277401924133,,1,0,0,0,0.0005340576171875,34.2131004333496,6,1,1,1.80033433437347,0,1.800179819266,-299.995208740234,1,0.00340348899882392,0.000167697516996658,0.00340341629992285,0.000167688839374123,0.984708249568939,0.986844122409821,30.7086143493652,0,30,4,200,-0.00130796653684229,-4.75223302841186,4.73097133636475,1,,,,,,,,,,,,,,,,
,3959078073.35019,1.79698777198791,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.75019145011902,1.83642566204071,999.929748535156,999.929748535156,,,2.73597002029419,,1,0,0,0,0.0003814697265625,35.190616607666,6,1,1,1.78312206268311,0,1.8009030520916,-299.995208740234,1,0.00340151411424559,9.67642318448529E-5,0.00340150448846085,9.67612274040378E-5,0.984502792358398,0.986445069313049,30.7096767425537,2.65568223767332E-6,30,4,200,-0.00122743321117014,-1.34152829647064,0.23644582927227,3,,,,,,,,,,,,,,,,
,3959078099.53073,1.79942721128464,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.75715482234955,1.83430993556976,999.929748535156,999.929748535156,,,2.73672127723694,,1,0,0,0,0.0003814697265625,35.190616607666,6,1,1,1.78928184509277,0,1.80124037265778,-298.996826171875,1,0.00339795610609449,0.000167424150187543,0.00339796723015138,0.000167420243768353,0.984992444515228,0.986884236335754,30.7104988098145,INF,30,4,200,-0.000767595309298486,-1.34421670436859,0.225745156407356,1,,,,,,,,,,,,,,,,
,3959078123.7466,1.79669314622879,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.74996089935303,1.83473527431488,999.929748535156,999.929748535156,,,2.72767615318298,,1,0,0,0,0.0005340576171875,35.190616607666,6,1,1,1.77923107147217,0,1.80102247851236,-298.996826171875,1,0.00339752488132412,9.66502839093922E-5,0.00339751942145896,9.66474209409864E-5,0.984872937202454,0.986854374408722,30.7097816467285,2.35566039918922E-6,30,4,200,-0.00105577532667667,-1.35418343544006,0.222074374556541,3,,,,,,,,,,,,,,,,
,3959078150.95439,1.7991681098938,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.75762701034546,1.8374856710434,999.929748535156,999.929748535156,,,2.73510432243347,,1,0,0,0,0.0128936767578125,36.1681327819824,6,1,1,1.79729020595551,0,1.80310544702742,-297.998413085937,1,0.00339708387119671,0.000167380102727129,0.00339706008417099,0.000167374440959766,0.985413670539856,0.98738557100296,30.7103519439697,0,30,4,200,-0.00109268585219979,-1.35896694660187,0.211035117506981,1,,,,,,,,,,,,,,,,
,3959078174.80809,1.80272483825684,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.75829708576202,1.83148455619812,999.929748535156,999.929748535156,,,2.73432874679565,,1,0,0,0,0.0002288818359375,35.6793746948242,6,1,1,1.78761065006256,0,1.80114142100016,-297.998413085937,1,0.0033971558777461,9.66390761442977E-5,0.00339715837906363,9.6636542554098E-5,0.9853675365448,0.987342536449432,30.7103004455566,0,30,4,200,-0.000885174958966672,-1.36833453178406,0.207013100385666,3,,,,,,,,,,,,,,,,
,3959078200.57811,1.7971550822258,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.77044129371643,1.82493984699249,999.929748535156,999.929748535156,,,2.73238110542297,,1,0,0,0,0.0002288818359375,33.2355842590332,6,1,1,1.78734660148621,0,1.80181453227997,-296.995208740234,1,0.00339876621550647,0.000167462776727239,0.00339870470741479,0.00016745515106176,0.985502362251282,0.987537622451782,30.7100124359131,0,30,4,200,-0.00071942521026358,-1.37288498878479,0.197855025529861,1,,,,,,,,,,,,,,,,
,3959078224.84717,1.79750746488571,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.75507628917694,1.84167575836182,999.929748535156,999.929748535156,,,2.73435592651367,,1,0,0,0,0.0002288818359375,35.6793746948242,6,1,1,1.78510940074921,0,1.80136863674436,-296.995208740234,1,0.0033987631436847,9.66845915659662E-5,0.00339873531311308,9.66811454734592E-5,0.985527336597443,0.987567901611328,30.7099952697754,0,30,4,200,-0.000518024899065495,-1.37967801094055,0.194578558206558,3,,,,,,,,,,,,,,,,
,3959078250.71636,1.80410885810852,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.78112816810608,1.81841778755188,999.929748535156,999.929748535156,,,2.73295712471008,,1,0,0,0,0.000457763671875,35.190616607666,6,1,1,1.79562997817993,0,1.8005346722073,-295.996826171875,1,0.00340217554750974,0.000167630870927215,0.00340212521545951,0.000167623920685389,0.985467910766602,0.987435936927795,30.7104473114014,0,30,4,200,-0.000515899388119578,-1.384192943573,0.188030138611794,1,,,,,,,,,,,,,,,,
,3959078274.39404,1.80755060911179,999.929748535156,,,6,,,,30.738023492992,,,10,,,,,,,,,,,,,,,,,,,,,,1.76228761672974,1.82879030704498,999.929748535156,999.929748535156,,,2.73528528213501,,1,0,0,0,0.000457763671875,35.6793746948242,6,1,1,1.80064260959625,0,1.80215528181621,-295.996826171875,1,0.00340241561784566,9.67884011034419E-5,0.0034023809597958,9.67848989642615E-5,0.985576510429382,0.987507998943329,30.7107963562012,0,30,4,200,-0.000651514157652855,-1.39046800136566,0.185459017753601,3,,,,,,,,,,,,,,,,
