[Header]
TITLE,RuCl3_TB001_HeatCapacity_1.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
#TB THE FOLLOWING 2 LINES WERE BELOW COLUMN HEADERS SO I HAD TO MOVE THEM HERE
3144097.61,Error: Temperature of platform does not match the system temperature : System = 16.006 K;  Platform = 17.025 K
3144936.58,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1960_9.cal|Addenda #3 measured on 05/02/2025 from 2.8972 to 302.75 K

[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (�J/K)
3144936.72,,5905,,15.9974,0.021,9.1E-6,15.449737,0.38809342,3.4097252,0.01169,43.838577,0.04798,586.29112,0.8708,0.17464073,24.516109,0.0030759311,99.818408,203.14146,0.317,1,,,,2.3951773E-5,41.511169,238.69438,0.22069794,0
3145134.19,,5905,,16.006,0.021,9.1E-6,15.407613,0.31855236,3.3993506,0.01111,43.488197,0.04768,584.29026,0.6624,3.4404391,24.928853,0.0037246555,99.782777,202.79551,0.2906,1,,,,2.3482031E-5,49.032219,237.39453,0.22062799,0
3145309.38,,5905,,15.9956,0.021,9.2E-6,15.414538,0.31961599,3.4046658,0.0113,43.531198,0.04772,585.17884,0.7333,5.0720692,25.135865,0.0046743685,99.729399,202.77998,0.2993,1,,,,2.3334762E-5,49.857706,237.60797,0.22087369,0
3145610.7,,5905,,15.8686,0.021,9.2E-6,15.308331,0.31413288,3.3724782,0.01181,42.847567,0.04715,579.3745,0.9432,0.3191659,25.181468,0.0053258074,99.690494,202.02773,0.3255,1,,,,2.3069242E-5,50.271731,234.34501,0.22030345,0
3145811.48,,5905,,15.8686,0.021,9.1E-6,15.32988,0.32089027,3.3742317,0.01211,42.99228,0.04727,579.79817,1.033,0.46093336,25.490993,0.0063509158,99.636145,202.27673,0.3373,1,,,,2.2816435E-5,50.362937,235.00522,0.22010816,0
3145990.89,,5905,,15.8686,0.021,9.1E-6,15.352743,0.32364694,3.3841109,0.01228,43.136802,0.04739,581.51437,1.074,0.40647863,25.540672,0.0067310968,99.615198,202.37916,0.3422,1,,,,2.2843576E-5,50.981986,235.70671,0.22042387,0
3146299.78,,5905,,15.7414,0.021,9E-6,15.254481,0.31683218,3.3419914,0.01185,42.502327,0.04686,574.17911,0.9779,0.31291308,25.183698,0.0058658814,99.65935,201.9332,0.3308,1,,,,2.2866472E-5,51.081345,232.6992,0.2190826,0
3146500.58,,5905,,15.7315,0.021,9.1E-6,15.272758,0.31904023,3.3457114,0.01166,42.623757,0.04696,574.89236,0.916,0.36990326,25.151301,0.0057148088,99.668209,202.09947,0.3231,1,,,,2.2922602E-5,50.367395,233.25712,0.219064,0
3146701.52,,5905,,15.7364,0.021,9.1E-6,15.287276,0.31875495,3.3536568,0.01139,42.715436,0.04704,576.24807,0.8181,1.0382194,25.087281,0.005164568,99.6994,202.13019,0.3104,1,,,,2.302911E-5,50.302601,233.7008,0.2193757,0
3147002.03,,5905,,15.6066,0.021,9.1E-6,15.17381,0.31078607,3.2992862,0.01074,41.984769,0.04643,566.8676,0.624,14.878542,24.485507,0.0030957375,99.815397,201.73623,0.2864,1,,,,2.3187862E-5,50.174563,230.24451,0.21743295,0
3147174.02,,5905,,15.6016,0.021,9.1E-6,15.179393,0.3108787,3.3025732,0.01081,42.024748,0.04646,567.4305,0.6509,2.6871205,24.546729,0.0037791569,99.775133,201.74288,0.2898,1,,,,2.3161013E-5,48.971013,230.41397,0.21756951,0
3147371.23,,5905,,15.6065,0.021,9.1E-6,15.182495,0.31166812,3.3028572,0.01081,42.044535,0.04648,567.49547,0.649,16.622673,24.514135,0.0034497446,99.794557,201.77827,0.2896,1,,,,2.3190588E-5,49.093458,230.50816,0.21754377,0
3147666.86,,5905,,15.4741,0.021,9.2E-6,15.058525,0.30486333,3.2483103,0.01049,41.257175,0.0458,558.03025,0.5779,5.0425603,24.253251,0.0032635574,99.803189,201.25463,0.2808,1,,,,2.3047389E-5,49.02827,226.75917,0.21571238,0
3147836.67,,5905,,15.4742,0.021,9.1E-6,15.060004,0.30663232,3.2530393,0.01058,41.270744,0.04582,558.79616,0.6111,0.3850201,24.188012,0.0023593504,99.857252,201.17598,0.2849,1,,,,2.3130524E-5,48.506501,226.80373,0.2160052,0
3148031.27,,5905,,15.4791,0.021,9.1E-6,15.060283,0.30645384,3.252213,0.01053,41.272737,0.04582,558.6667,0.5913,7.8710288,24.221451,0.0027241725,99.835424,201.19689,0.2824,1,,,,2.3097572E-5,48.376025,226.81214,0.21594634,0
3148324.83,,5905,,15.3438,0.021,9E-6,14.928684,0.30012158,3.1976793,0.01038,40.44491,0.04508,549.16311,0.5916,1.8572598,23.968551,0.0022131791,99.864525,200.57578,0.2828,1,,,,2.2938493E-5,48.442901,222.86561,0.214197,0
3148517.7,,5905,,15.3439,0.021,9E-6,14.92915,0.30253891,3.1970453,0.01037,40.44986,0.04508,549.06721,0.5876,3.5641599,24.018968,0.0028536379,99.825687,200.59542,0.2823,1,,,,2.289399E-5,47.937103,222.87953,0.21414784,0
3148686.78,,5905,,15.339,0.021,9.1E-6,14.92988,0.30263003,3.2005785,0.01043,40.454545,0.04509,549.63398,0.6122,0.2764599,24.030205,0.0028790005,99.824069,200.53077,0.2854,1,,,,2.2907229E-5,48.037936,222.90132,0.21437402,0
3148980.66,,5905,,15.2122,0.021,9.1E-6,14.789411,0.29647733,3.1410622,0.01029,39.579364,0.04424,539.29036,0.6219,0.54854344,23.720683,0.0023174512,99.85619,199.90098,0.2872,1,,,,2.2763143E-5,48.06041,218.72669,0.21238588,0
3149170.77,,5905,,15.2123,0.021,9.1E-6,14.788934,0.29820205,3.1292079,0.01012,39.580465,0.04424,537.40556,0.5644,30.93408,23.602896,0.0024148636,99.849879,200.1486,0.2801,1,,,,2.2798007E-5,47.441365,218.71256,0.21159118,0
3149337.42,,5905,,15.2075,0.021,9E-6,14.785678,0.29773124,3.1365721,0.01028,39.561944,0.04423,538.55861,0.6219,0.25095851,23.821504,0.0031800781,99.803586,199.94658,0.2873,1,,,,2.2646287E-5,47.205792,218.61626,0.21213584,0
3149631.33,,5905,,15.0823,0.021,9.1E-6,14.653356,0.28614883,3.090739,0.01009,38.758972,0.04337,530.46407,0.5974,0.97287341,23.436679,,,199.13941,0.2842,1,,,,2.2633926E-5,47.643009,214.72084,0.21092363,0
