[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB001X19 170826 1000 OE FCC
FILEOPENTIME,51254813.58,08/17/2026,1:51 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB001X19 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,3.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,51254945.045,299.9133606,999.903686523437,1.53650610744975E-5,1.53496379342548E-7,1,4.99626677034896,40.0298881530762,2.00257615230846,13.0599997937679,0.000174968716114434,3.19648905503914E-5,0.25,1.75198027750404E-7,1.53645361072515E-5,1.85392297428992E-7,299.9116516,299.9150696,999.903686523437,999.903686523437,60.8177334528334,20.7196444663174,5.900308,0,0,0,200,6161,300.0789,999.903686523437,,,,,,,,,,,,,0,,,,10.6935282,,,,,,299.9133606,,,,
,51254957.855,299.9136353,999.903686523437,1.53390831647099E-5,1.72092783671424E-7,1,4.99626677034896,40.0298881530762,2.00257723676046,13.0599997937679,0.000174953849205044,3.0267691226654E-5,0.25,3.08845277682219E-8,1.5338654358511E-5,4.10671498120545E-8,299.9136353,299.9136353,999.903686523437,999.903686523437,60.5769918689103,20.7197457729513,7.765609,0,0,0,200,6162,300.0352,999.903686523437,,,,,,,,,,,,,0,,,,8.2848825,,,,,,299.9136353,,,,
,51254960.21,299.91349795,999.903686523437,1.56699192964752E-5,1.63469890585003E-7,1,4.99626677034896,40.0298881530762,2.00250792396336,13.0700003355741,0.000178516577014028,3.21177446652249E-5,0.25,1.36574736434558E-7,1.56694115874012E-5,1.46974299319635E-7,299.9133606,299.9136353,999.903686523437,999.903686523437,60.7098687171795,20.7204029459933,7.765609,0,0,0,200,6162,300.0324,999.903686523437,,,,,,,,,,,,,0,,,,8.2848825,,,,,,299.91349795,,,,
,51254965.035,299.91401675,999.903686523437,1.55836606889466E-5,1.3889422111026E-7,1,4.99626677034896,40.0298881530762,2.00244878509561,13.0700003355741,0.000177450940526189,3.23960845271779E-5,0.25,1.75791150028618E-7,1.55831285601633E-5,1.86136079909758E-7,299.9133606,299.9146729,999.903686523437,999.903686523437,60.7505134001795,20.7208752859879,7.392549,0,0,0,200,6162,299.9423,999.903686523437,,,,,,,,,,,,,0,,,,8.2437062,,,,,,299.91401675,,,,
,51254970.06,299.91165165,999.903686523437,1.53707878674125E-5,1.44843947927485E-7,1,4.99626677034896,40.0298881530762,2.0023835163319,13.0700003355741,0.000175315370552069,3.02335439376589E-5,0.25,2.2706144752887E-8,1.53703638527955E-5,3.29203573105378E-8,299.9086304,299.9146729,999.903686523437,999.903686523437,60.7036156890257,20.723294019056,8.138669,0,0,0,200,6162,299.77945,999.903686523437,,,,,,,,,,,,,0,,,,8.3697324,,,,,,299.91165165,,,,
