[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB001X19 170826 1000 OE FCC
FILEOPENTIME,51255032.41,08/17/2026,1:55 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB001X19 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,3.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,51255179.835,299.88945005,999.903686523437,1.53168695159186E-5,1.56537527250916E-7,1,4.99626677034896,40.0298881530762,2.00156361192005,13.0700003355741,0.000174252045412763,3.23411175141152E-5,0.25,2.17772340082896E-7,1.5316331372315E-5,2.27934148500349E-7,299.8887634,299.8901367,999.903686523437,999.903686523437,60.9357593592372,20.740945549216,5.154188,0,0,0,200,4881,300.0676,999.903686523437,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.88945005,,,,
,51255192.455,299.8951416,999.903686523437,1.53650596213131E-5,1.57072783019016E-7,1,4.99626677034896,40.0298881530762,2.00157036860916,13.0700003355741,0.00017445381654384,3.44729519128651E-5,0.25,3.9646034190025E-7,1.53643983186317E-5,4.06649459991501E-7,299.8951416,299.8951416,999.903686523437,999.903686523437,60.9701510140834,20.7369753378808,5.527248,0,0,0,200,4882,300.0676,999.903686523437,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.8951416,,,,
,51255194.945,299.89445495,999.903686523437,1.53577211573475E-5,1.44809681076839E-7,1,4.99626677034896,40.0298881530762,2.00165085024121,13.0700003355741,0.000174555290438652,3.34157647452074E-5,0.25,3.04897541095082E-7,1.53571208230982E-5,3.15087798509034E-7,299.8937683,299.8951416,999.903686523437,999.903686523437,60.9482654155449,20.7390220690054,5.154188,0,0,0,200,4882,299.97735,999.903686523437,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.89445495,,,,
,51255199.86,299.89212035,999.903686523437,1.5537822661896E-5,1.58778084603323E-7,1,4.99626677034896,40.0298881530762,2.00156709432762,13.0700003355741,0.000176323893526692,3.5394046181848E-5,0.25,4.47694779119273E-7,1.55371237580609E-5,4.5800476054069E-7,299.8904724,299.8937683,999.903686523437,999.903686523437,61.1061543764295,20.7408329973198,5.527248,0,0,0,200,4882,299.88425,999.903686523437,,,,,,,,,,,,,0,,,,6.2322285,,,,,,299.89212035,,,,
,51255204.835,299.8875885,999.903686523437,1.53935749998523E-5,1.4577215733436E-7,1,4.99626677034896,40.0298881530762,2.00164746237599,13.0700003355741,0.00017540360091495,3.09134745537031E-5,0.25,7.93524417832569E-8,1.53931264499877E-5,8.95834229746952E-8,299.8847046,299.8904724,999.903686523437,999.903686523437,61.4211506696796,20.7389201375131,5.527248,0,0,0,200,4882,299.70405,999.903686523437,,,,,,,,,,,,,0,,,,6.2322285,,,,,,299.8875885,,,,
,51255209.86,299.87661745,999.903686523437,1.52480653759538E-5,1.46414279163013E-7,1,4.99626677034896,40.0298881530762,2.00158702490579,13.0700003355741,0.000173313678178915,3.31182393587815E-5,0.25,2.97618005190214E-7,1.52474806138448E-5,3.07757541133811E-7,299.8685303,299.8847046,999.903686523437,999.903686523437,60.9107472466218,20.7426767466571,5.527248,0,0,0,200,4882,299.4354,999.903686523437,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.87661745,,,,
,51255214.86,299.856781,999.903686523437,1.53429762830279E-5,1.58953889969784E-7,1,4.99626677034896,40.0298881530762,2.00152854078559,13.0700003355741,0.000174858601709996,3.05687463219032E-5,0.25,5.79021167007016E-8,1.53425591762111E-5,6.81212298790407E-8,299.8450317,299.8685303,999.903686523437,999.903686523437,60.8552516217564,20.7390652026673,5.154188,0,0,0,200,4886,299.18125,999.903686523437,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.856781,,,,
,51255219.845,299.8276672,999.903686523437,1.5709474495595E-5,1.54648140013507E-7,1,4.99626677034896,40.0298881530762,2.00174156680468,13.0599997937679,0.000178579825738895,3.40749299753853E-5,0.25,3.02390692374527E-7,1.57089016140678E-5,3.12858845589012E-7,299.8103027,299.8450317,999.903686523437,999.903686523437,60.8607230213911,20.7427765551901,5.154188,0,0,0,200,4886,298.9259,999.903686523437,,,,,,,,,,,,,0,,,,6.29479955,,,,,,299.8276672,,,,
,51255224.83,299.78770445,999.903686523437,1.51575596265709E-5,1.71307181456216E-7,1,4.99626677034896,40.0298881530762,2.00166526262736,13.0700003355741,0.000172610140034768,3.10613432418639E-5,0.25,1.32586661789145E-7,1.51571349080973E-5,1.42701214549891E-7,299.7651062,299.8103027,999.903686523437,999.903686523437,60.8771372202949,20.7410076477055,5.154188,0,0,0,200,4886,298.67185,999.903686523437,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.78770445,,,,
,51255229.79,299.73583985,999.903686523437,1.52812128046041E-5,1.51820247304765E-7,1,4.99626677034896,40.0298881530762,2.00156690949407,13.0599997937679,0.000174331405511807,2.94357179027541E-5,0.25,-3.09833343274477E-8,1.528092358293E-5,-2.07723529722452E-8,299.7065735,299.7651062,999.903686523437,999.903686523437,61.0404975808142,20.7419752862895,5.527248,0,0,0,200,4886,298.41795,999.903686523437,,,,,,,,,,,,,0,,,,6.29479955,,,,,,299.73583985,,,,
