[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB001X19 170826 1000 OE FCW
FILEOPENTIME,51260715.95,08/17/2026,3:29 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB001X19 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,3.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,51260771.91,2.9924901,999.903686523437,,,2,,,,14.3759999287725,,,,,,,2.9924901,2.9924901,999.903686523437,999.903686523437,,,5.900308,,,,-99999999,4885,3.0021,999.903686523437,,,,,,,,,,,,,,,,,,,,,,,2.9924901,,,,
,51261085.3,3.00104465,999.903686523437,7.09281241925651E-5,1.18205245667749E-7,1,4.99626677034896,40.0298881530762,1.99709830584771,14.3600003793836,0.000801062175470279,0.000147750797957524,0.25,6.29087857248896E-7,7.05479066935709E-5,9.71005282679904E-7,2.9978292,3.0042601,999.903686523437,999.903686523437,61.2945268495642,20.8326300376795,5.527248,0,0,0,200,4881,3.0032,999.903686523437,,,,,,,,,,,,,0,,,,2.6133063,,,,,,3.00104465,,,,
,51261097.95,3.0083785,999.903686523437,7.09445527129683E-5,1.21669781792711E-7,1,4.99626677034896,40.0298881530762,1.99718795483234,14.3600003793836,0.000801294183894668,0.000147721755192543,0.25,6.23082129842865E-7,7.05642772235873E-5,9.65111462548131E-7,3.0083785,3.0083785,999.903686523437,999.903686523437,61.4610137241604,20.8343884348345,5.154188,0,0,0,200,4882,3.0445,999.903686523437,,,,,,,,,,,,,0,,,,2.6002531,,,,,,3.0083785,,,,
,51261100.445,3.0827304,999.903686523437,7.07160471798887E-5,1.29788485613995E-7,1,4.99626677034896,40.0298881530762,1.99713326161648,14.3600003793836,0.000798614384910598,0.000147687585372937,0.25,6.60456024797773E-7,7.03368061046351E-5,1.00117432795304E-6,3.0083785,3.1570823,999.903686523437,999.903686523437,61.974543661295,20.8340634206822,5.527248,0,0,0,200,4886,3.12005,999.903686523437,,,,,,,,,,,,,0,,,,2.6002531,,,,,,3.0827304,,,,
,51261105.29,3.2716874,999.903686523437,7.00650424817721E-5,1.18825786793107E-7,1,4.99626677034896,40.0298881530762,1.99711849015828,14.3699999898672,0.000791421157903388,0.000145389761927823,0.25,5.71523510320593E-7,6.96896987168256E-5,9.09545791686244E-7,3.1570823,3.3862925,999.903686523437,999.903686523437,61.730675563295,20.8338825454087,5.900308,0,0,0,200,4886,3.30765,999.903686523437,,,,,,,,,,,,,0,,,,2.6133063,,,,,,3.2716874,,,,
,51261110.25,3.4448768,999.903686523437,6.92152996827614E-5,1.1839355108091E-7,1,4.99626677034896,40.0298881530762,1.99714091456499,14.3699999898672,0.000781632181507603,0.000144763725099748,0.25,6.64991327282701E-7,6.88440212289137E-5,9.98380271370352E-7,3.3862925,3.5034611,999.903686523437,999.903686523437,61.5993619720642,20.8321594076394,5.527248,0,0,0,200,4882,3.47615,999.903686523437,,,,,,,,,,,,,0,,,,2.6263595,,,,,,3.4448768,,,,
,51261115.24,3.59029865,999.903686523437,6.89909360987596E-5,1.2514090465982E-7,1,4.99626677034896,40.0298881530762,1.99701553605884,14.3600003793836,0.000779037684137653,0.000144367010839213,0.25,6.70011812917208E-7,6.86208273744707E-5,1.0022819253438E-6,3.5034611,3.6771362,999.903686523437,999.903686523437,61.6806513380642,20.835621398894,5.527248,0,0,0,200,4882,3.612,999.903686523437,,,,,,,,,,,,,0,,,,2.6263595,,,,,,3.59029865,,,,
,51261120.24,3.7534809,999.903686523437,6.85434569537772E-5,1.27762942825218E-7,1,4.99626677034896,40.0298881530762,1.99713493370016,14.3600003793836,0.000774166545300352,0.0001426535326766,0.25,5.96244942091684E-7,6.81760875142658E-5,9.26729077423343E-7,3.6771362,3.8298256,999.903686523437,999.903686523437,61.5704417168527,20.8308140773277,5.527248,0,0,0,200,4882,3.77805,999.903686523437,,,,,,,,,,,,,0,,,,2.63954365,,,,,,3.7534809,,,,
,51261125.26,3.91886695,999.903686523437,6.78341874736902E-5,1.20263452986497E-7,1,4.99626677034896,40.0298881530762,1.99711159379417,14.3600003793836,0.000766023869124338,0.000141879121495796,0.25,6.52250025173095E-7,6.74703171334256E-5,9.78983799743035E-7,3.8298256,4.0079083,999.903686523437,999.903686523437,61.9839232035258,20.8307468376159,5.527248,0,0,0,200,4882,3.947,999.903686523437,,,,,,,,,,,,,0,,,,2.6527278,,,,,,3.91886695,,,,
,51261130.25,4.08517405,999.903686523437,6.71759974186662E-5,1.19133534792087E-7,1,4.99626677034896,40.0298881530762,1.99706267655171,14.3600003793836,0.00075886103982919,0.000138858768399352,0.25,5.00896594543536E-7,6.6816363439065E-5,8.25231234412982E-7,4.0079083,4.1624398,999.903686523437,999.903686523437,61.5907640583527,20.8291163432219,5.527248,0,0,0,200,4882,4.1126,999.903686523437,,,,,,,,,,,,,0,,,,2.66604445,,,,,,4.08517405,,,,
