[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB001X1 170726 1000OE FCC
FILEOPENTIME,48570517.38,07/17/2026,12:12 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB001X1 single crystal,SAMPLE_COMMENT
INFO,0.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48570654.15,299.92774965,9999.6904296875,-5.66333286503507E-6,2.41157776405215E-6,1,0.999253354069792,40.0298881530762,1.99278024310965,22.2500003874302,-1.27778339271808E-5,-0.000312507655937124,0.25,-2.65499246334762E-5,-5.64557748871163E-6,-2.65529605962145E-5,299.9273682,299.9281311,9999.6904296875,9999.6904296875,61.0186119822757,20.8175187656746,5.527248,0,0,0,40,4881,300.0392,9999.6904296875,,,,,,,,,,,,,0,,,,5.4458747,,,,,,299.92774965,,,,
,48570660.405,299.9264374,9999.6904296875,-6.83284534558987E-6,2.75233105193496E-6,1,0.999253354069792,40.0298881530762,1.99314904864254,22.2500003874302,-6.75329222027297E-5,-7.22255773256106E-5,0.25,-5.19078460094384E-6,-6.82921799742157E-6,-5.19517584466744E-6,299.9263306,299.9265442,9999.6904296875,9999.6904296875,60.5465083566602,20.8141899121998,5.154188,0,0,0,40,4882,299.9514,9999.6904296875,,,,,,,,,,,,,0,,,,5.41880845,,,,,,299.9264374,,,,
,48570660.905,299.9263306,9999.6904296875,-2.36517272406522E-6,2.39723340471857E-6,1,0.999253354069792,40.0298881530762,1.99286896899905,22.2500003874302,-1.48501961200839E-5,-7.48600003992826E-5,0.25,-6.18726133797044E-6,-2.36100532423489E-6,-6.18866265666799E-6,299.9263306,299.9263306,9999.6904296875,9999.6904296875,60.9396675018334,20.8083137776793,5.527248,0,0,0,40,4882,299.9514,9999.6904296875,,,,,,,,,,,,,0,,,,5.4458747,,,,,,299.9263306,,,,
,48570661.875,299.92604065,9999.6904296875,-4.34713112788786E-6,2.20538595574706E-6,1,0.999253354069792,40.0298881530762,1.99319408280777,22.2500003874302,-3.7285468517869E-5,-7.91853997940605E-5,0.25,-6.22825918096661E-6,-4.34288299869327E-6,-6.23097391361488E-6,299.9257507,299.9263306,9999.6904296875,9999.6904296875,60.5621409270449,20.8105744007648,5.154188,0,0,0,40,4882,299.9514,9999.6904296875,,,,,,,,,,,,,0,,,,5.4732127,,,,,,299.92604065,,,,
,48570663,299.9251556,9999.6904296875,-8.75290073886714E-6,2.4796840382807E-6,1,0.999253354069792,40.0298881530762,1.9930561577672,22.2500003874302,-8.84893975144953E-5,-8.09141098057364E-5,0.25,-5.6278417641689E-6,-8.74893203333444E-6,-5.63349486176272E-6,299.9245605,299.9257507,9999.6904296875,9999.6904296875,61.4727381519488,20.8064502247395,5.527248,0,0,0,40,4882,299.9514,9999.6904296875,,,,,,,,,,,,,0,,,,5.4732127,,,,,,299.9251556,,,,
,48570664.19,299.92506405,9999.6904296875,-7.76902008708675E-6,2.08485523223123E-6,1,0.999253354069792,40.0298881530762,1.99299476124783,22.2500003874302,-7.4810468123008E-5,-9.36377296369617E-5,0.25,-6.9164930517275E-6,-7.76422332008613E-6,-6.92145886963036E-6,299.9245605,299.9255676,9999.6904296875,9999.6904296875,60.9568633292564,20.80517236414,5.154188,0,0,0,40,4882,299.9514,9999.6904296875,,,,,,,,,,,,,0,,,,5.4732127,,,,,,299.92506405,,,,
,48570665.355,299.92514035,9999.6904296875,-6.3473141535984E-6,1.83042918183392E-6,1,0.999253354069792,40.0298881530762,1.99296869900051,22.2500003874302,-6.36159524286111E-5,-6.18970207988548E-5,0.25,-4.364922335299E-6,-6.34424794782047E-6,-4.3690141385476E-6,299.9247131,299.9255676,9999.6904296875,9999.6904296875,61.2554454236026,20.8100215604785,5.527248,0,0,0,40,4882,299.95,9999.6904296875,,,,,,,,,,,,,0,,,,5.4732127,,,,,,299.92514035,,,,
,48570666.495,299.92428585,9999.6904296875,-5.3487632917864E-6,2.71925103566025E-6,1,0.999253354069792,40.0298881530762,1.99306824588497,22.2500003874302,-5.38470132871217E-5,-5.07784446315142E-5,0.25,-3.55643047414382E-6,-5.34626041493133E-6,-3.55988196340431E-6,299.9238586,299.9247131,9999.6904296875,9999.6904296875,60.7450420005449,20.8104901959785,5.527248,0,0,0,40,4882,299.95,9999.6904296875,,,,,,,,,,,,,0,,,,5.4458747,,,,,,299.92428585,,,,
,48570668.43,299.9236145,9999.6904296875,-7.54711174573244E-6,2.91461147953952E-6,1,0.999253354069792,40.0298881530762,1.99301853306012,22.2600009292364,-7.42783528541956E-5,-8.15809006530371E-5,0.25,-5.89278296193285E-6,-7.54300026773545E-6,-5.89762961208804E-6,299.9236145,299.9236145,9999.6904296875,9999.6904296875,61.0272098959872,20.8167803445368,5.527248,0,0,0,40,4882,299.9486,9999.6904296875,,,,,,,,,,,,,0,,,,5.4732127,,,,,,299.9236145,,,,
,48570668.98,299.9235077,9999.6904296875,-6.21523512554395E-6,3.04693649991401E-6,1,0.999253354069792,40.0298881530762,1.99315967599991,22.2500003874302,-5.72970646418113E-5,-8.98710600288719E-5,0.25,-6.84981612051173E-6,-6.21052479913291E-6,-6.85375371753725E-6,299.9234009,299.9236145,9999.6904296875,9999.6904296875,61.1155339186603,20.8084446358545,5.154188,0,0,0,40,4882,299.9472,9999.6904296875,,,,,,,,,,,,,0,,,,5.4458747,,,,,,299.9235077,,,,
