[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB002 POLYCRYSTALLINE POWDER 150726 1000OE FCC
FILEOPENTIME,48408207.06,07/15/2026,3:06 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,Polycrystalline TB002,SAMPLE_COMMENT
INFO,11.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48408338.955,299.9624176,1000.00909423828,8.87280680003389E-5,3.00440121129299E-7,1,0.999253354069792,40.0298881530762,1.99049143282983,18.2799994945526,0.00100637556229944,0.000172984194282471,0.25,8.25293707665906E-8,8.87254879114442E-5,1.4143054330901E-7,299.9624023,299.9624329,1000.00909423828,1000.00909423828,60.2862260597564,20.5975763321562,4.035007,0,0,0,40,4881,300.0435,1000.00909423828,,,,,,,,,,,,,0,,,,4.3496659,,,,,,299.9624176,,,,
,48408345.19,299.9634094,1000.00909423828,8.90473210501635E-5,3.82370399301949E-7,1,0.999253354069792,40.0298881530762,1.9904023260875,18.2900000363588,0.00101077125860368,0.000168814893287763,0.25,-3.3893790076075E-7,8.90450082745112E-5,-2.79812103500512E-7,299.9634094,299.9634094,1000.00909423828,1000.00909423828,60.2643404612179,20.5984083690558,4.408067,0,0,0,40,4882,300.0406,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.9634094,,,,
,48408345.77,299.963089,1000.00909423828,8.89420519652063E-5,3.55824369361184E-7,1,0.999253354069792,40.0298881530762,1.99044806611714,18.2799994945526,0.00100744326650326,0.000181227716562826,0.25,7.72967257360926E-7,8.89390051365445E-5,8.31991152794466E-7,299.9627686,299.9634094,1000.00909423828,1000.00909423828,60.3847112531795,20.6009360256218,4.035007,0,0,0,40,4882,300.04205,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.963089,,,,
,48408346.745,299.96296695,1000.00909423828,8.85216148233201E-5,4.21377720345331E-7,1,0.999253354069792,40.0298881530762,1.99044439712345,18.2799994945526,0.00100347340278348,0.000175724578628784,0.25,3.59737691152956E-7,8.85188547106313E-5,4.18494244736711E-7,299.9627686,299.9631653,1000.00909423828,1000.00909423828,60.5261860151602,20.5983142965112,4.035007,0,0,0,40,4882,300.04205,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.96296695,,,,
,48408347.695,299.9642334,1000.00909423828,8.90176701455639E-5,3.67737513499173E-7,1,0.999253354069792,40.0298881530762,1.99045455470465,18.2799994945526,0.00101100813369608,0.000165555752944254,0.25,-6.21546042219488E-7,8.90155430572795E-5,-5.62431857739933E-7,299.9631653,299.9653015,1000.00909423828,1000.00909423828,60.4409885065641,20.598594815657,4.408067,0,0,0,40,4882,300.0406,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.9642334,,,,
,48408348.75,299.96495055,1000.00909423828,8.85134782087803E-5,4.12864463972378E-7,1,0.999253354069792,40.0298881530762,1.9904535241755,18.2799994945526,0.00100466372415897,0.000168231025919677,0.25,-2.99521672571211E-7,8.8511149321647E-5,-2.40751388617965E-7,299.9645996,299.9653015,1000.00909423828,1000.00909423828,60.5113350732949,20.5978526370113,4.408067,0,0,0,40,4882,300.0406,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.96495055,,,,
,48408349.945,299.9643402,1000.00909423828,8.85050250981965E-5,3.4850708166866E-7,1,0.999253354069792,40.0298881530762,1.9903771865641,18.2799994945526,0.00100368626581138,0.000173151168355003,0.25,1.36198306041437E-7,8.85024082436324E-5,1.94961312773297E-7,299.9640808,299.9645996,1000.00909423828,1000.00909423828,60.2995137445833,20.5976923798909,4.035007,0,0,0,40,4882,299.9942,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.9643402,,,,
,48408351.095,299.96383665,1000.00909423828,8.89410429409313E-5,2.98294837902869E-7,1,0.999253354069792,40.0298881530762,1.99045880626307,18.2900000363588,0.00100876994545511,0.000173428238112908,0.25,8.54863992464276E-8,8.89384480181913E-5,1.44551200905819E-7,299.9635925,299.9640808,1000.00909423828,1000.00909423828,60.3620440261218,20.5984425097775,4.781127,0,0,0,40,4882,299.9478,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.96383665,,,,
,48408352.2,299.9641571,1000.00909423828,8.96823011133537E-5,3.48099128581083E-7,1,0.999253354069792,40.0298881530762,1.9903869271533,18.2900000363588,0.00101744870596747,0.000173074905670616,0.25,-7.18397409030586E-8,8.9679788433223E-5,-1.22781674006629E-8,299.9635925,299.9647217,1000.00909423828,1000.00909423828,60.1119228999679,20.5991212011673,4.035007,0,0,0,40,4882,299.9478,1000.00909423828,,,,,,,,,,,,,0,,,,4.3496659,,,,,,299.9641571,,,,
,48408354.265,299.9639587,1000.00909423828,8.95267239334013E-5,2.82832072808892E-7,1,0.999253354069792,40.0298881530762,1.99046157265232,18.2900000363588,0.00101606082229496,0.000170786756250929,0.25,-2.47520827215154E-7,8.95243311900208E-5,-1.88036419037576E-7,299.9639587,299.9639587,1000.00909423828,1000.00909423828,60.4378619924872,20.5996589642613,4.408067,0,0,0,40,4882,299.8579,1000.00909423828,,,,,,,,,,,,,0,,,,4.3713918,,,,,,299.9639587,,,,
