[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB_TB002_POLYCRYSTALLINE_POWDER_1000 OE_FCW
FILEOPENTIME,48414266.63,07/15/2026,4:47 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,Polycrystalline TB002,SAMPLE_COMMENT
INFO,11.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48414299.27,2.9978118,1000.00909423828,,,2,,,,19.4260000074506,,,,,,,2.9978118,2.9978118,1000.00909423828,1000.00909423828,,,4.035007,,,,-99999999,4885,3.012,1000.00909423828,,,,,,,,,,,,,,,,,,,,,,,2.9978118,,,,
,48414413.855,2.9950923,1000.00909423828,0.000747843166808808,1.99119268425217E-7,1,0.999253354069792,40.0298881530762,1.99762619327962,19.4099992513657,0.00845043926253734,0.00154583620552072,0.25,5.53759949814038E-6,0.000743839610897306,9.14849459541356E-6,2.9947808,2.9954038,1000.00909423828,1000.00909423828,61.2695147369488,20.6908292962118,4.408067,0,0,0,40,4881,3.0092,1000.00909423828,,,,,,,,,,,,,0,,,,0.0211842,,,,,,2.9950923,,,,
,48414420.455,3.0180485,1000.00909423828,0.000747695459065225,2.59926571338144E-7,1,0.999253354069792,40.0298881530762,1.99734110659451,19.4099992513657,0.00844770536847875,0.00154484278758868,0.25,5.49425477455377E-6,0.000743692903934963,9.10466139781083E-6,3.0180485,3.0180485,1000.00909423828,1000.00909423828,60.4198845365449,20.6773504510347,4.408067,0,0,0,40,4882,3.0348,1000.00909423828,,,,,,,,,,,,,0,,,,0.0215038,,,,,,3.0180485,,,,
,48414421.12,3.0260701,1000.00909423828,0.000747788738346091,2.73090756975912E-7,1,0.999253354069792,40.0298881530762,1.99790768347851,19.4099992513657,0.00845120658767342,0.00154451638180306,0.25,5.41216735225146E-6,0.000743786088294364,9.0234645505713E-6,3.0180485,3.0340917,1000.00909423828,1000.00909423828,60.6645342630641,20.6940221200479,4.408067,0,0,0,40,4886,3.05245,1000.00909423828,,,,,,,,,,,,,0,,,,0.0213969,,,,,,3.0260701,,,,
,48414422.315,3.043885,1000.00909423828,0.000747145712549492,2.93760312273133E-7,1,0.999253354069792,40.0298881530762,1.99770665073258,19.4099992513657,0.00844287030220116,0.00154452192239776,0.25,5.5384554249977E-6,0.000743145870271285,9.14595102499292E-6,3.0340917,3.0536783,1000.00909423828,1000.00909423828,61.2585719376796,20.684658502445,4.035007,0,0,0,40,4886,3.0852,1000.00909423828,,,,,,,,,,,,,0,,,,0.02129,,,,,,3.043885,,,,
,48414424.335,3.087193,1000.00909423828,0.000746389975032721,2.35064582610603E-7,1,0.999253354069792,40.0298881530762,1.99779120163731,19.4099992513657,0.00843566033886204,0.001537374906859,0.25,5.03379912565492E-6,0.000742396615578688,8.64029951222508E-6,3.087193,3.087193,1000.00909423828,1000.00909423828,60.8771372202949,20.6892027596895,4.408067,0,0,0,40,4886,3.1437,1000.00909423828,,,,,,,,,,,,,0,,,,0.0217197,,,,,,3.087193,,,,
,48414425,3.1216291,1000.00909423828,0.000746550627789606,2.2230612705109E-7,1,0.999253354069792,40.0298881530762,1.99775399973775,19.4099992513657,0.00843690379871181,0.0015400895484431,0.25,5.24796056692422E-6,0.000742555377436086,8.85410426395955E-6,3.087193,3.1560652,1000.00909423828,1000.00909423828,61.6376617695065,20.692125585616,4.035007,0,0,0,40,4886,3.17615,1000.00909423828,,,,,,,,,,,,,0,,,,0.02182875,,,,,,3.1216291,,,,
,48414425.995,3.1560652,1000.00909423828,0.000746634674358257,2.678345206897E-7,1,0.999253354069792,40.0298881530762,1.99773376761888,19.4199997931719,0.00843872738738393,0.00153479928558348,0.25,4.76699676660284E-6,0.000742641323931947,8.37610712203559E-6,3.1560652,3.1560652,1000.00909423828,1000.00909423828,61.1655581438911,20.6870473187377,4.408067,0,0,0,40,4886,3.2086,1000.00909423828,,,,,,,,,,,,,0,,,,0.0219378,,,,,,3.1560652,,,,
,48414427.025,3.2030997,1000.00909423828,0.000745304031330992,2.56072388254263E-7,1,0.999253354069792,40.0298881530762,1.99770276812942,19.4099992513657,0.00842205780322726,0.00154063152107408,0.25,5.51769544780215E-6,0.000741314109462158,9.116336850438E-6,3.1560652,3.2501342,1000.00909423828,1000.00909423828,60.6872014901218,20.6904511737818,4.035007,0,0,0,40,4886,3.25605,1000.00909423828,,,,,,,,,,,,,0,,,,0.0220479,,,,,,3.2030997,,,,
,48414428.225,3.28060875,1000.00909423828,0.000744850636301428,2.29966704230057E-7,1,0.999253354069792,40.0298881530762,1.99771346015639,19.4099992513657,0.00841748010642853,0.00153683430434021,0.25,5.26087945939071E-6,0.000740864386395669,8.85867955039511E-6,3.2501342,3.3110833,1000.00909423828,1000.00909423828,61.0928666916026,20.6918630375646,4.408067,0,0,0,40,4886,3.346,1000.00909423828,,,,,,,,,,,,,0,,,,0.0223816,,,,,,3.28060875,,,,
