[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB003 POLYCRYSTALLINE POWDER 230726 2000OE FCC
FILEOPENTIME,49103285.63,07/23/2026,4:11 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB003 polycrystalline,SAMPLE_COMMENT
INFO,6.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,49103417.36,299.9128876,1999.65991210938,2.51903616044003E-5,3.55281434422662E-7,1,0.999253354069792,40.0298881530762,1.99103544145293,18.9699996262789,0.000286319706481207,4.60264559689874E-5,0.25,-2.49550005601079E-7,2.51898577064413E-5,-2.32822817429229E-7,299.9127808,299.9129944,1999.65991210938,1999.65991210938,60.0720598454871,20.5830300542153,5.900308,0,0,0,40,4881,300.0513,1999.65991210938,,,,,,,,,,,,,0,,,,6.2322285,,,,,,299.9128876,,,,
,49103423.635,299.9103088,1999.65991210938,2.58124490317044E-5,3.63876464598469E-7,1,0.999253354069792,40.0298881530762,1.99098395181857,18.9599990844727,0.000292525611237757,5.21796509113024E-5,0.25,1.86496940167832E-7,2.58116410983546E-5,2.03631468800492E-7,299.9103088,299.9103088,1999.65991210938,1999.65991210938,60.3010770016218,20.5835535267984,5.900308,0,0,0,40,4882,299.9628,1999.65991210938,,,,,,,,,,,,,0,,,,6.2010994,,,,,,299.9103088,,,,
,49103424.19,299.9101257,1999.65991210938,2.57871288193839E-5,3.01010661626602E-7,1,0.999253354069792,40.0298881530762,1.99097448800521,18.9599990844727,0.000292776953044828,4.89713363343952E-5,0.25,-9.19074586906424E-8,2.57865065962113E-5,-7.47823647362279E-8,299.9099426,299.9103088,1999.65991210938,1999.65991210938,60.2807546601218,20.5849457225133,5.900308,0,0,0,40,4882,299.9628,1999.65991210938,,,,,,,,,,,,,0,,,,6.2322285,,,,,,299.9101257,,,,
,49103425.195,299.91015625,1999.65991210938,2.60093793646174E-5,3.20418859774548E-7,1,0.999253354069792,40.0298881530762,1.9909203263787,18.9599990844727,0.000295137353549736,5.03006064053884E-5,0.25,-1.26315967030527E-8,2.60086985835106E-5,4.63897117864131E-9,299.9099426,299.9103699,1999.65991210938,1999.65991210938,60.3315605138718,20.5842301800751,5.900308,0,0,0,40,4882,299.9628,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.91015625,,,,
,49103426.1,299.91007995,1999.65991210938,2.61850685738333E-5,3.31872922201423E-7,1,0.999253354069792,40.0298881530762,1.99099295722994,18.9599990844727,0.000296760933328589,5.28673566951907E-5,0.25,1.83392779531348E-7,2.6184253052828E-5,2.00774811620408E-7,299.90979,299.9103699,1999.65991210938,1999.65991210938,60.474598532891,20.5835020084736,6.273368,0,0,0,40,4882,299.9628,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.91007995,,,,
,49103427.045,299.9092865,1999.65991210938,2.54950853972997E-5,3.37279090312503E-7,1,0.999253354069792,40.0298881530762,1.99096892769268,18.9599990844727,0.000289504447171812,4.81591745757888E-5,0.25,-1.13554064161213E-7,2.54944860861361E-5,-9.66222195703347E-8,299.908783,299.90979,1999.65991210938,1999.65991210938,60.2635588326987,20.5864808131092,6.273368,0,0,0,40,4882,299.96135,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.9092865,,,,
,49103428.21,299.9085236,1999.65991210938,2.55499965818206E-5,4.24731551313341E-7,1,0.999253354069792,40.0298881530762,1.99096308875854,18.9599990844727,0.000290268565660872,4.74356012574036E-5,0.25,-1.86698397435766E-7,2.55494451068442E-5,-1.69727969555351E-7,299.9082642,299.908783,1999.65991210938,1999.65991210938,60.5973142104103,20.5815546425677,5.900308,0,0,0,40,4882,299.9585,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.9085236,,,,
,49103429.405,299.90808105,1999.65991210938,2.52170513619604E-5,3.13457383693804E-7,1,0.999253354069792,40.0298881530762,1.99095526373405,18.9599990844727,0.000285894210622814,5.02734209075436E-5,0.25,1.20331021015077E-7,2.52163052309194E-5,1.37072347642254E-7,299.9078979,299.9082642,1999.65991210938,1999.65991210938,60.4558394484295,20.5842630118493,6.273368,0,0,0,40,4882,299.9571,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.90808105,,,,
,49103430.5,299.90762325,1999.65991210938,2.52151384126232E-5,3.17069230026247E-7,1,0.999253354069792,40.0298881530762,1.99096991113688,18.9599990844727,0.000286052811468931,4.92269721077091E-5,0.25,2.84016811258159E-8,2.52144538111156E-5,4.51441670616915E-8,299.9073486,299.9078979,1999.65991210938,1999.65991210938,60.7505134001795,20.5845169661065,5.900308,0,0,0,40,4882,299.9571,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.90762325,,,,
,49103431.55,299.90696715,1999.65991210938,2.54312587881739E-5,3.39602819126459E-7,1,0.999253354069792,40.0298881530762,1.99093199707164,18.9599990844727,0.000288502172290729,4.96315284253254E-5,0.25,2.71934795685913E-8,2.54305699137702E-5,4.40795057174806E-8,299.9065857,299.9073486,1999.65991210938,1999.65991210938,60.0876924158717,20.5850073714435,6.273368,0,0,0,40,4882,299.9571,1999.65991210938,,,,,,,,,,,,,0,,,,6.2633576,,,,,,299.90696715,,,,
