[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB_TB003_POLYCRYSTALLINE_POWDER_2000 OE_FCW
FILEOPENTIME,49109316.33,07/23/2026,5:52 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB003 polycrystalline,SAMPLE_COMMENT
INFO,6.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,49109348.78,2.9846663,1999.65991210938,,,2,,,,20.0360000250339,,,,,,,2.9846663,2.9846663,1999.65991210938,1999.65991210938,,,6.273368,,,,-99999999,4885,3.0023,1999.65991210938,,,,,,,,,,,,,,,,,,,,,,,2.9846663,,,,
,49109591.595,2.99859295,1999.65991210938,0.000298139254495602,2.15630506484403E-7,1,0.999253354069792,40.0298881530762,1.9996467347701,20.0200006365776,0.00337047656267323,0.000627400095602297,0.25,3.11740764613244E-6,0.000296553904888399,4.56984284261294E-6,2.9978318,2.9993541,1999.65991210938,1999.65991210938,61.6032701146604,20.653309860143,6.273368,0,0,0,40,4881,3.00605,1999.65991210938,,,,,,,,,,,,,0,,,,0.6262944,,,,,,2.99859295,,,,
,49109597.875,3.01262665,1999.65991210938,0.000296863910199491,2.09680205849169E-7,1,0.999253354069792,40.0298881530762,1.99978417939059,20.0200006365776,0.00335634924965103,0.000624353543123432,0.25,3.06843596958036E-6,0.000295285518841591,4.51484578949835E-6,3.0104296,3.0148237,1999.65991210938,1999.65991210938,62.3254948664297,20.6569976676514,5.900308,0,0,0,40,4882,3.0385,1999.65991210938,,,,,,,,,,,,,0,,,,0.6231661,,,,,,3.01262665,,,,
,49109598.625,3.02551065,1999.65991210938,0.00029544244759747,2.59029621952928E-7,1,0.999253354069792,40.0298881530762,1.99981392589805,20.0200006365776,0.00334074425254273,0.000618984669680527,0.25,2.84290468442533E-6,0.000293872653693585,4.28349899611901E-6,3.0104296,3.0405917,1999.65991210938,1999.65991210938,61.3625285307373,20.6483452985876,5.900308,0,0,0,40,4882,3.0538,1999.65991210938,,,,,,,,,,,,,0,,,,0.6231661,,,,,,3.02551065,,,,
,49109600.64,3.0554383,1999.65991210938,0.000294675146464028,2.81035787599187E-7,1,0.999253354069792,40.0298881530762,1.99973283453672,20.0200006365776,0.00333181625863142,0.000618054663749249,0.25,2.89744947962071E-6,0.00029310912656898,4.33397630773665E-6,3.0554383,3.0554383,1999.65991210938,1999.65991210938,61.6275005987565,20.6549350964506,5.900308,0,0,0,40,4886,3.09135,1999.65991210938,,,,,,,,,,,,,0,,,,0.6294227,,,,,,3.0554383,,,,
,49109601.265,3.07110775,1999.65991210938,0.000292879640321629,2.61641403021856E-7,1,0.999253354069792,40.0298881530762,1.99973381830706,20.0200006365776,0.00331193712837708,0.000611890199645338,0.25,2.66800048439286E-6,0.000291324207003008,4.09688962254782E-6,3.0554383,3.0867772,1999.65991210938,1999.65991210938,62.1035123669681,20.6505552732775,5.900308,0,0,0,40,4886,3.1171,1999.65991210938,,,,,,,,,,,,,0,,,,0.6294227,,,,,,3.07110775,,,,
,49109602.33,3.10149655,1999.65991210938,0.000290553989527569,2.3269462116612E-7,1,0.999253354069792,40.0298881530762,1.99982607176251,20.0200006365776,0.0032855842628298,0.000608189392213629,0.25,2.7466943495352E-6,0.000289010417312833,4.16371126772159E-6,3.0867772,3.1162159,1999.65991210938,1999.65991210938,61.8479198411796,20.6535393839914,6.273368,0,0,0,40,4886,3.15305,1999.65991210938,,,,,,,,,,,,,0,,,,0.6294227,,,,,,3.10149655,,,,
,49109603.305,3.13305565,1999.65991210938,0.000288639968712441,2.96564326038834E-7,1,0.999253354069792,40.0298881530762,1.99962259466677,20.0200006365776,0.0032639321308017,0.000602368404018024,0.25,2.57355472857202E-6,0.00028710733066952,3.98205355559421E-6,3.1162159,3.1498954,1999.65991210938,1999.65991210938,61.6743983099104,20.6525594430677,6.273368,0,0,0,40,4886,3.18535,1999.65991210938,,,,,,,,,,,,,0,,,,0.6294227,,,,,,3.13305565,,,,
,49109604.325,3.19746455,1999.65991210938,0.00028585005522435,2.99252615948251E-7,1,0.999253354069792,40.0298881530762,1.99985755075914,20.0200006365776,0.00323272084122561,0.000596754488927768,0.25,2.56118397524223E-6,0.000284332173509469,3.95600285127974E-6,3.1498954,3.2450337,1999.65991210938,1999.65991210938,61.9471866631219,20.6535790221421,6.273368,0,0,0,40,4886,3.22315,1999.65991210938,,,,,,,,,,,,,0,,,,0.6294227,,,,,,3.19746455,,,,
,49109605.32,3.27664695,1999.65991210938,0.000282833151255024,3.28931592787275E-7,1,0.999253354069792,40.0298881530762,1.99983166814151,20.0200006365776,0.003198484210728,0.000590897422264053,0.25,2.57374377777955E-6,0.000281331098718679,3.95363310567351E-6,3.2450337,3.3082602,1999.65991210938,1999.65991210938,61.6009252291027,20.6499750222744,5.900308,0,0,0,40,4886,3.2877,1999.65991210938,,,,,,,,,,,,,0,,,,0.6357738,,,,,,3.27664695,,,,
