[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB008X1 300726 10000OE FCC
FILEOPENTIME,49712975.09,07/30/2026,5:33 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB001X8 single crystal,SAMPLE_COMMENT
INFO,0.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,49713113.72,299.7553253,9999.6904296875,-1.04636228066978E-5,3.97427838891023E-7,1,0.999253354069792,40.0298881530762,1.99030332013428,14.6000003442168,-0.000121432198479169,-4.24555000335416E-6,0.25,1.41425660970513E-6,-1.04643451661966E-5,1.4072958151552E-6,299.7546692,299.7559814,9999.6904296875,9999.6904296875,60.8505618506411,20.7526728833437,6.273368,0,0,0,40,4881,300.2374,9999.6904296875,,,,,,,,,,,,,0,,,,6.0784326,,,,,,299.7553253,,,,
,49713120.155,299.7573853,9999.6904296875,-1.08438973767833E-5,4.53494460077217E-7,1,0.999253354069792,40.0298881530762,1.99029799109446,14.6000003442168,-0.000126603990413178,4.0415579567427E-8,0.25,1.85710402751806E-6,-1.08449044796202E-5,1.84988192031208E-6,299.7573853,299.7573853,9999.6904296875,9999.6904296875,60.8958963047565,20.7540209703942,6.273368,0,0,0,40,4882,300.2315,9999.6904296875,,,,,,,,,,,,,0,,,,6.1394596,,,,,,299.7573853,,,,
,49713120.695,299.7574463,9999.6904296875,-1.10442284698389E-5,3.24940418895494E-7,1,0.999253354069792,40.0298881530762,1.99025685375181,14.6000003442168,-0.000127895642354058,-6.07072366823743E-6,0.25,1.35258295232714E-6,-1.10448972302598E-5,1.34523719095782E-6,299.7573853,299.7575073,9999.6904296875,9999.6904296875,60.752076657218,20.7542660618759,6.646428,0,0,0,40,4882,300.18625,9999.6904296875,,,,,,,,,,,,,0,,,,6.1089461,,,,,,299.7574463,,,,
,49713121.71,299.7580719,9999.6904296875,-1.15292259327862E-5,4.43448864048412E-7,1,0.999253354069792,40.0298881530762,1.99025905515906,14.6000003442168,-0.000134606866712899,6.68437996554591E-8,0.25,1.97658105101038E-6,-1.15302981146562E-5,1.96889826344819E-6,299.7575073,299.7586365,9999.6904296875,9999.6904296875,60.8990228188334,20.7534842020089,6.273368,0,0,0,40,4882,300.09575,9999.6904296875,,,,,,,,,,,,,0,,,,6.0784326,,,,,,299.7580719,,,,
,49713122.78,299.7576294,9999.6904296875,-1.12718160124229E-5,5.02962422250916E-7,1,0.999253354069792,40.0298881530762,1.99024576307215,14.6000003442168,-0.000129699450310175,-1.10576349543866E-5,0.25,9.51831559581915E-7,-1.12722144467634E-5,9.44339129775885E-7,299.7566223,299.7586365,9999.6904296875,9999.6904296875,61.1186604327372,20.7529392522392,6.273368,0,0,0,40,4882,300.0476,9999.6904296875,,,,,,,,,,,,,0,,,,6.0784326,,,,,,299.7576294,,,,
,49713123.745,299.757782,9999.6904296875,-1.0684863898392E-5,4.90778552741251E-7,1,0.999253354069792,40.0298881530762,1.99027792857521,14.6000003442168,-0.00012482345119305,4.92596915609529E-7,0.25,1.86979165508895E-6,-1.06858830698793E-5,1.86266803394383E-6,299.7566223,299.7589417,9999.6904296875,9999.6904296875,60.934977730718,20.7552472302395,6.646428,0,0,0,40,4882,299.9995,9999.6904296875,,,,,,,,,,,,,0,,,,6.0784326,,,,,,299.757782,,,,
,49713124.695,299.75817875,9999.6904296875,-1.09530666410559E-5,5.7373311019828E-7,1,0.999253354069792,40.0298881530762,1.9902273167147,14.6099999547005,-0.000128107491338748,1.40546002146432E-6,0.25,1.99611948572162E-6,-1.09541641144542E-5,1.98881274965746E-6,299.7574158,299.7589417,9999.6904296875,9999.6904296875,60.8771372202949,20.7542690036905,6.646428,0,0,0,40,4882,299.9091,9999.6904296875,,,,,,,,,,,,,0,,,,6.1089461,,,,,,299.75817875,,,,
,49713125.71,299.75787355,9999.6904296875,-1.13142771797352E-5,5.33610850206989E-7,1,0.999253354069792,40.0298881530762,1.99027086782578,14.6099999547005,-0.000129922909304968,-1.26596210248218E-5,0.25,8.17874638350404E-7,-1.13145857280438E-5,8.10351339865756E-7,299.7574158,299.7583313,9999.6904296875,9999.6904296875,60.7778703983526,20.7545462318322,6.646428,0,0,0,40,4882,299.8639,9999.6904296875,,,,,,,,,,,,,0,,,,6.1089461,,,,,,299.75787355,,,,
,49713126.695,299.75709535,9999.6904296875,-1.12764307834164E-5,5.33626195422529E-7,1,0.999253354069792,40.0298881530762,1.9902544967902,14.6000003442168,-0.000131025029826243,-3.62096683075225E-6,0.25,1.6082559744316E-6,-1.12772648240739E-5,1.60074139415924E-6,299.7558594,299.7583313,9999.6904296875,9999.6904296875,61.0201752393141,20.7552588138293,6.646428,0,0,0,40,4882,299.861,9999.6904296875,,,,,,,,,,,,,0,,,,6.0784326,,,,,,299.75709535,,,,
,49713127.74,299.7552185,9999.6904296875,-1.15148014336835E-5,4.17422019316892E-7,1,0.999253354069792,40.0298881530762,1.99028374488931,14.6000003442168,-0.000133903148627781,-3.07440065093335E-6,0.25,1.6971920250461E-6,-1.15156904549061E-5,1.6895161114571E-6,299.7545776,299.7558594,9999.6904296875,9999.6904296875,60.9287247025641,20.7547690739838,6.646428,0,0,0,40,4882,299.81295,9999.6904296875,,,,,,,,,,,,,0,,,,6.1089461,,,,,,299.7552185,,,,
