[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB008X1 300726 10000OE FCW
FILEOPENTIME,49718356.89,07/30/2026,7:03 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB001X8 single crystal,SAMPLE_COMMENT
INFO,0.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,49718371.61,2.9932606,9999.6904296875,,,2,,,,15.8559998614192,,,,,,,2.9932606,2.9932606,9999.6904296875,9999.6904296875,,,6.646428,,,,-99999999,4885,3.0062,9999.6904296875,,,,,,,,,,,,,,,,,,,,,,,2.9932606,,,,
,49718507.2,2.99611135,9999.6904296875,3.29396218141745E-5,4.67862161820517E-7,1,0.999253354069792,40.0298881530762,2.00106193754932,15.8399995416403,0.000372841279139205,6.94148358038989E-5,0.25,3.26693634201374E-7,3.27827957895267E-5,5.06196494114159E-7,2.9936914,2.9985313,9999.6904296875,9999.6904296875,61.8416668130258,20.784325751967,6.646428,0,0,0,40,4881,3.0014,9999.6904296875,,,,,,,,,,,,,0,,,,2.510939,,,,,,2.99611135,,,,
,49718513.28,3.0218005,9999.6904296875,3.2272641079235E-5,4.86925575914795E-7,1,0.999253354069792,40.0298881530762,2.00112067970992,15.8399995416403,0.000364196387732222,7.42953086199803E-5,0.25,8.74281323734409E-7,3.21159447995082E-5,1.04754115380208E-6,3.0218005,3.0218005,9999.6904296875,9999.6904296875,61.5266705197757,20.7830339047175,6.273368,0,0,0,40,4882,3.056,9999.6904296875,,,,,,,,,,,,,0,,,,2.5234809,,,,,,3.0218005,,,,
,49718513.785,3.0266831,9999.6904296875,3.19878760302573E-5,4.53783091542481E-7,1,0.999253354069792,40.0298881530762,2.00103661139235,15.8399995416403,0.000361818288644216,6.88059643859687E-5,0.25,4.40513832197248E-7,3.18349040781503E-5,6.14250083033144E-7,3.0218005,3.0315657,9999.6904296875,9999.6904296875,61.5469928612758,20.7841081157326,6.646428,0,0,0,40,4886,3.05685,9999.6904296875,,,,,,,,,,,,,0,,,,2.4985218,,,,,,3.0266831,,,,
,49718514.77,3.0395818,9999.6904296875,3.18176364610581E-5,3.82757992576262E-7,1,0.999253354069792,40.0298881530762,2.00107133156391,15.8399995416403,0.00035780049103071,8.03665991713863E-5,0.25,1.4899319297623E-6,3.16596981039291E-5,1.65779344434893E-6,3.0315657,3.0475979,9999.6904296875,9999.6904296875,60.9748407851988,20.7836011934891,6.273368,0,0,0,40,4886,3.07145,9999.6904296875,,,,,,,,,,,,,0,,,,2.4859799,,,,,,3.0395818,,,,
,49718515.67,3.0616093,9999.6904296875,3.18089790055519E-5,3.87626793488505E-7,1,0.999253354069792,40.0298881530762,2.00109805633058,15.8399995416403,0.000359314971361334,7.12100886367844E-5,0.25,6.83834871235037E-7,3.16555119787704E-5,8.55442698429111E-7,3.0475979,3.0756207,9999.6904296875,9999.6904296875,61.781481417045,20.7862423817111,6.646428,0,0,0,40,4886,3.09935,9999.6904296875,,,,,,,,,,,,,0,,,,2.510939,,,,,,3.0616093,,,,
,49718516.515,3.0901723,9999.6904296875,3.1750952584964E-5,3.58762016939662E-7,1,0.999253354069792,40.0298881530762,2.00124153449084,15.8399995416403,0.00035808028007512,7.4516515838335E-5,0.25,9.85195071147672E-7,3.15961025574382E-5,1.15506563719081E-6,3.0756207,3.1047239,9999.6904296875,9999.6904296875,61.2304333109873,20.7875141422294,6.273368,0,0,0,40,4886,3.12295,9999.6904296875,,,,,,,,,,,,,0,,,,2.510939,,,,,,3.0901723,,,,
,49718517.615,3.117408,9999.6904296875,3.18784522056523E-5,4.17353597774007E-7,1,0.999253354069792,40.0298881530762,2.00109244427044,15.8399995416403,0.000361389930431293,6.40266705675776E-5,0.25,3.81078455805572E-8,3.17282076159846E-5,2.13136615857194E-7,3.1047239,3.1300921,9999.6904296875,9999.6904296875,62.0167516013335,20.7842223989173,6.273368,0,0,0,40,4886,3.1432,9999.6904296875,,,,,,,,,,,,,0,,,,2.510939,,,,,,3.117408,,,,
,49718518.59,3.1300921,9999.6904296875,3.18715113762877E-5,4.11663952888179E-7,1,0.999253354069792,40.0298881530762,2.00108176877582,15.8399995416403,0.000359959820653424,7.1683358150589E-5,0.25,7.14620670480276E-7,3.1717581340765E-5,8.86427304749412E-7,3.1300921,3.1300921,9999.6904296875,9999.6904296875,61.7721018748142,20.7818394381451,6.646428,0,0,0,40,4886,3.15665,9999.6904296875,,,,,,,,,,,,,0,,,,2.5234809,,,,,,3.1300921,,,,
,49718519.5,3.1426384,9999.6904296875,3.15848342222671E-5,4.112139047229E-7,1,0.999253354069792,40.0298881530762,2.00109330440138,15.8399995416403,0.000355734997300709,7.66604999093715E-5,0.25,1.20396708579221E-6,3.14295639999474E-5,1.37189501350174E-6,3.1300921,3.1551847,9999.6904296875,9999.6904296875,61.303906391795,20.7814110803081,6.273368,0,0,0,40,4886,3.17415,9999.6904296875,,,,,,,,,,,,,0,,,,2.5234809,,,,,,3.1426384,,,,
