[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB010X20 070826 1000 OE FCC
FILEOPENTIME,50398090.56,08/07/2026,3:52 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB010X20 single crystal,SAMPLE_COMMENT
INFO,2.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,many crystals mosaic,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50398139.45,299.9850464,999.756103515625,,,2,,,,14.0959995803833,,,,,,,299.9850464,299.9850464,999.756103515625,999.756103515625,,,5.900308,,,,-99999999,4885,299.845,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,299.9850464,,,,
,50398240.33,299.87438965,999.756103515625,1.11723456333188E-5,1.59434217202205E-7,1,4.99626677034896,40.0298881530762,1.99830519144291,14.0800001099706,0.000126838578265886,2.39417716904036E-5,0.25,1.92947427910273E-7,1.11719371492669E-5,2.0035586732938E-7,299.8742065,299.8745728,999.756103515625,999.756103515625,61.0803606352949,20.791564722076,5.527248,0,0,0,200,4881,300.1691,999.756103515625,,,,,,,,,,,,,0,,,,5.58366585,,,,,,299.87438965,,,,
,50398252.615,299.87443545,999.756103515625,1.11329276637691E-5,1.63949154473603E-7,1,4.99626677034896,40.0298881530762,1.99828880740494,14.0800001099706,0.000126063584327108,2.57672147277011E-5,0.25,3.60016472326775E-7,1.11324089735111E-5,3.67397163361586E-7,299.8742676,299.8746033,999.756103515625,999.756103515625,60.9459205299872,20.7917814811782,5.900308,0,0,0,200,4882,300.0797,999.756103515625,,,,,,,,,,,,,0,,,,5.6115556,,,,,,299.87443545,,,,
,50398255.325,299.87498475,999.756103515625,1.1408697021556E-5,1.55453850878995E-7,1,4.99626677034896,40.0298881530762,1.99830575901482,14.0800001099706,0.000129428090145788,2.49969578187061E-5,0.25,2.45211682345275E-7,1.14082470613625E-5,2.52781056553928E-7,299.8746033,299.8753662,999.756103515625,999.756103515625,60.8857351340065,20.7922623404016,5.527248,0,0,0,200,4882,299.98745,999.756103515625,,,,,,,,,,,,,0,,,,5.6115556,,,,,,299.87498475,,,,
,50398260.34,299.8735199,999.756103515625,1.11926207192656E-5,1.65845654634252E-7,1,4.99626677034896,40.0298881530762,1.9981627624798,14.0800001099706,0.000126903964603729,2.48971731621544E-5,0.25,2.73527342279509E-7,1.1192157544721E-5,2.80956635333478E-7,299.8716736,299.8753662,999.756103515625,999.756103515625,60.8278946235834,20.7948869505589,5.900308,0,0,0,200,4882,299.84785,999.756103515625,,,,,,,,,,,,,0,,,,5.58366585,,,,,,299.8735199,,,,
,50398265.335,299.8678589,999.756103515625,1.12767374245769E-5,1.58018901954464E-7,1,4.99626677034896,40.0298881530762,1.99832200980385,14.0800001099706,0.000127953340371373,2.45835475653693E-5,0.25,2.3143397727659E-7,1.1276301910247E-5,2.38925711057751E-7,299.8640442,299.8716736,999.756103515625,999.756103515625,60.5785551259487,20.7956556070259,6.273368,0,0,0,200,4882,299.66385,999.756103515625,,,,,,,,,,,,,0,,,,5.58366585,,,,,,299.8678589,,,,
,50398270.335,299.8554535,999.756103515625,1.13670900057051E-5,1.65170367871371E-7,1,4.99626677034896,40.0298881530762,1.99842200293641,14.0800001099706,0.000128843076422584,2.56104928741145E-5,0.25,3.06065115500228E-7,1.1366607307264E-5,3.13620649634434E-7,299.8468628,299.8640442,999.756103515625,999.756103515625,60.7981927398526,20.7948099642611,5.900308,0,0,0,200,4882,299.4815,999.756103515625,,,,,,,,,,,,,0,,,,5.6115556,,,,,,299.8554535,,,,
,50398275.31,299.83522035,999.756103515625,1.1368109602173E-5,1.3953593795711E-7,1,4.99626677034896,40.0298881530762,1.99839700979392,14.0800001099706,0.000129186990257669,2.36596946950757E-5,0.25,1.3459426224416E-7,1.13677492421065E-5,1.42158916077418E-7,299.8235779,299.8468628,999.756103515625,999.756103515625,60.7192482594103,20.7934332446614,5.900308,0,0,0,200,4882,299.3438,999.756103515625,,,,,,,,,,,,,0,,,,5.6115556,,,,,,299.83522035,,,,
,50398280.31,299.80529785,999.756103515625,1.12230652524621E-5,1.51950417131539E-7,1,4.99626677034896,40.0298881530762,1.99829664237204,14.0800001099706,0.000127112707104895,2.58140641750568E-5,0.25,3.48684055991185E-7,1.12225780245317E-5,3.56151559646044E-7,299.7870178,299.8235779,999.756103515625,999.756103515625,61.0131405826411,20.7931915357335,5.900308,0,0,0,200,4882,299.2049,999.756103515625,,,,,,,,,,,,,0,,,,5.58366585,,,,,,299.80529785,,,,
,50398285.32,299.7684631,999.756103515625,1.12319447183481E-5,1.62879536629513E-7,1,4.99626677034896,40.0298881530762,1.99841920276756,14.0800001099706,0.000127507538430342,2.41590160134889E-5,0.25,2.01683525351545E-7,1.12315704103316E-5,2.09164603088322E-7,299.7499084,299.7870178,999.756103515625,999.756103515625,60.9232533029295,20.7909688473803,5.527248,0,0,0,200,4882,299.06895,999.756103515625,,,,,,,,,,,,,0,,,,5.58366585,,,,,,299.7684631,,,,
