[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB010X20 070826 1000OE FCW
FILEOPENTIME,50416867.22,08/07/2026,9:05 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB010X20 single crystal,SAMPLE_COMMENT
INFO,2.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,many crystals mosaic,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50416914.56,2.983501,999.756103515625,,,2,,,,15.1560002011657,,,,,,,2.983501,2.983501,999.756103515625,999.756103515625,,,5.900308,,,,-99999999,4885,2.9987,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,2.983501,,,,
,50417380.575,2.99373865,999.756103515625,8.04258761051811E-5,1.07267721995493E-7,1,4.99626677034896,40.0298881530762,1.99914740959066,15.1399997994304,0.00090883736604768,0.000169868367663667,0.25,9.04890635973179E-7,7.99938117345867E-5,1.29157381309891E-6,2.9847891,3.0026882,999.756103515625,999.756103515625,61.6876859947373,20.8162189208899,5.900308,0,0,0,200,4881,3.00935,999.756103515625,,,,,,,,,,,,,0,,,,0.9480784,,,,,,2.99373865,,,,
,50417392.855,3.00742305,999.756103515625,8.05180770678037E-5,1.15679919742563E-7,1,4.99626677034896,40.0298881530762,1.99886489655421,15.1399997994304,0.000910041326419558,0.000168416952888572,0.25,7.62544483791036E-7,8.00862156149666E-5,1.15043339505265E-6,3.0064576,3.0083885,999.756103515625,999.756103515625,61.9854864605642,20.8202262753124,5.900308,0,0,0,200,4886,3.02375,999.756103515625,,,,,,,,,,,,,0,,,,0.9433193,,,,,,3.00742305,,,,
,50417395.565,3.0708358,999.756103515625,8.01641461818186E-5,1.12295630319815E-7,1,4.99626677034896,40.0298881530762,1.99908085518733,15.1399997994304,0.000905945053969052,0.000168773785525112,0.25,8.54569045854355E-7,7.97337200255108E-5,1.24024578690229E-6,3.0083885,3.1332831,999.756103515625,999.756103515625,61.4274036978334,20.8160376329018,5.900308,0,0,0,200,4886,3.08995,999.756103515625,,,,,,,,,,,,,0,,,,0.9433193,,,,,,3.0708358,,,,
,50417400.565,3.18990765,999.756103515625,7.93988676885639E-5,1.03665531724112E-7,1,4.99626677034896,40.0298881530762,1.99900401867224,15.1399997994304,0.000897307283486238,0.000166907950633968,0.25,8.24458946277284E-7,7.89726594908686E-5,1.2065706253997E-6,3.1332831,3.2465322,999.756103515625,999.756103515625,61.9432785205258,20.8184942751326,6.273368,0,0,0,200,4882,3.19775,999.756103515625,,,,,,,,,,,,,0,,,,0.95288525,,,,,,3.18990765,,,,
,50417408.05,3.30348885,999.756103515625,7.85242825953185E-5,1.05439951371537E-7,1,4.99626677034896,40.0298881530762,1.99892107021156,15.1399997994304,0.000887717709637104,0.00016318374207775,0.25,6.49392753384516E-7,7.8103578774165E-5,1.02817806870533E-6,3.2465322,3.3604455,999.756103515625,999.756103515625,61.6243740846796,20.820144064976,5.900308,0,0,0,200,4882,3.31915,999.756103515625,,,,,,,,,,,,,0,,,,0.9868779,,,,,,3.30348885,,,,
,50417415.55,3.4112444,999.756103515625,7.83063809938702E-5,1.05530919813356E-7,1,4.99626677034896,40.0298881530762,1.99883597003934,15.1399997994304,0.000884997383144782,0.00016398545878943,0.25,7.58989488437933E-7,7.78863036807214E-5,1.13613136126067E-6,3.3604455,3.4620433,999.756103515625,999.756103515625,61.9190480364296,20.8212471551256,6.273368,0,0,0,200,4882,3.42395,999.756103515625,,,,,,,,,,,,,0,,,,1.01674965,,,,,,3.4112444,,,,
,50417420.55,3.4993613,999.756103515625,7.78406928208959E-5,1.14681748409079E-7,1,4.99626677034896,40.0298881530762,1.99898246722438,15.1500003412366,0.000879669247140159,0.000163743192978956,0.25,8.18209175024355E-7,7.74228043714632E-5,1.19276930541653E-6,3.4620433,3.5366793,999.756103515625,999.756103515625,61.371908072968,20.8186578701978,5.900308,0,0,0,200,4882,3.51175,999.756103515625,,,,,,,,,,,,,0,,,,1.0320615,,,,,,3.4993613,,,,
,50417425.565,3.5751816,999.756103515625,7.73630905890894E-5,1.05366502195829E-7,1,4.99626677034896,40.0298881530762,1.99870497491126,15.1399997994304,0.000874116673752732,0.000162943168593158,0.25,8.33167480923515E-7,7.69476695414689E-5,1.20532322364323E-6,3.5366793,3.6136839,999.756103515625,999.756103515625,61.9667273761027,20.8204577974122,5.900308,0,0,0,200,4882,3.59685,999.756103515625,,,,,,,,,,,,,0,,,,1.0476824,,,,,,3.5751816,,,,
,50417430.57,3.65431115,999.756103515625,7.70242809570683E-5,1.04251993942248E-7,1,4.99626677034896,40.0298881530762,1.99882706538675,15.1399997994304,0.000870613208266412,0.000160675515029741,0.25,6.91412392610397E-7,7.6611352042198E-5,1.06267265348876E-6,3.6136839,3.6949384,999.756103515625,999.756103515625,61.5845110301988,20.819364593785,6.273368,0,0,0,200,4882,3.67305,999.756103515625,,,,,,,,,,,,,0,,,,1.06346015,,,,,,3.65431115,,,,
