[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB010X20 070826 1000OE ZFCW
FILEOPENTIME,50457100.97,08/08/2026,8:16 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB010X20 single crystal,SAMPLE_COMMENT
INFO,2.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,many crystals mosaic,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50457149.81,2.9967127,999.756103515625,,,2,,,,15.2760001835823,,,,,,,2.9967127,2.9967127,999.756103515625,999.756103515625,,,5.900308,,,,-99999999,4885,3.0135,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,2.9967127,,,,
,50457249.94,3.00416505,999.756103515625,7.74612405343241E-5,1.05245939505161E-7,1,4.99626677034896,40.0298881530762,1.99873127748348,15.259999781847,0.000875562452627575,0.000161292625764613,0.25,6.69981481453712E-7,7.7046084119405E-5,1.04348260430933E-6,3.001647,3.0066831,999.756103515625,999.756103515625,60.6746954338141,20.7778661599229,5.900308,0,0,0,200,4881,2.9935,999.756103515625,,,,,,,,,,,,,0,,,,1.2603072,,,,,,3.00416505,,,,
,50457262.24,3.031641,999.756103515625,7.74755214725095E-5,9.45047290213464E-8,1,4.99626677034896,40.0298881530762,1.99876698066422,15.259999781847,0.000875658643679276,0.000161782281351146,0.25,7.10489224580605E-7,7.70600924717136E-5,1.08384447403103E-6,3.031641,3.031641,999.756103515625,999.756103515625,60.7481685146218,20.7811894332769,6.273368,0,0,0,200,4882,3.04095,999.756103515625,,,,,,,,,,,,,0,,,,1.2666023,,,,,,3.031641,,,,
,50457264.915,3.0815307,999.756103515625,7.69444380041673E-5,1.00351196546959E-7,1,4.99626677034896,40.0298881530762,1.99882660925116,15.259999781847,0.000869359761653356,0.000162509662181072,0.25,8.67426321078555E-7,7.6531069990713E-5,1.23736189017666E-6,3.031641,3.1314204,999.756103515625,999.756103515625,60.505082045141,20.7802904410372,5.900308,0,0,0,200,4882,3.10265,999.756103515625,,,,,,,,,,,,,0,,,,1.2666023,,,,,,3.0815307,,,,
,50457269.9,3.1780529,999.756103515625,7.65292060554E-5,9.78756480115001E-8,1,4.99626677034896,40.0298881530762,1.9989691076838,15.259999781847,0.000865194661441542,0.000158975595273435,0.25,6.27085816935916E-7,7.61192175549618E-5,9.96278143029028E-7,3.1314204,3.2246854,999.756103515625,999.756103515625,60.9271614455257,20.7774742453667,5.900308,0,0,0,200,4882,3.201,999.756103515625,,,,,,,,,,,,,0,,,,1.2666023,,,,,,3.1780529,,,,
,50457274.89,3.26646865,999.756103515625,7.60752664937602E-5,1.06088697010806E-7,1,4.99626677034896,40.0298881530762,1.9988390613049,15.259999781847,0.000859744897682984,0.000159531800471645,0.25,7.56656201342056E-7,7.56670623634007E-5,1.1229498954041E-6,3.2246854,3.3082519,999.756103515625,999.756103515625,61.036589438218,20.7801330667599,5.900308,0,0,0,200,4882,3.28155,999.756103515625,,,,,,,,,,,,,0,,,,1.2793827,,,,,,3.26646865,,,,
,50457279.885,3.3428414,999.756103515625,7.57889686115841E-5,1.07465482924568E-7,1,4.99626677034896,40.0298881530762,1.99883386080048,15.259999781847,0.000856703866331131,0.000157809441247853,0.25,6.54736267006808E-7,7.53827839582581E-5,1.02017828828224E-6,3.3082519,3.3774309,999.756103515625,999.756103515625,60.6059121241218,20.777072087669,5.900308,0,0,0,200,4882,3.3498,999.756103515625,,,,,,,,,,,,,0,,,,1.2921631,,,,,,3.3428414,,,,
,50457284.9,3.42214965,999.756103515625,7.53116971921237E-5,1.0305222842283E-7,1,4.99626677034896,40.0298881530762,1.99874813986522,15.259999781847,0.000851106927325478,0.000157763047890278,0.25,7.34867094997402E-7,7.49076612110753E-5,1.0975597958274E-6,3.3774309,3.4668684,999.756103515625,999.756103515625,60.7755255127949,20.7815095237849,6.273368,0,0,0,200,4882,3.42965,999.756103515625,,,,,,,,,,,,,0,,,,1.2986497,,,,,,3.42214965,,,,
,50457289.9,3.5047356,999.756103515625,7.50230173783648E-5,9.35768985694394E-8,1,4.99626677034896,40.0298881530762,1.99878360138779,15.259999781847,0.000847877781551966,0.000157053024079387,0.25,7.22514194608765E-7,7.46205773425651E-5,1.08386736399801E-6,3.4668684,3.5426028,999.756103515625,999.756103515625,60.9459205299872,20.7799889022317,5.900308,0,0,0,200,4882,3.51555,999.756103515625,,,,,,,,,,,,,0,,,,1.31168805,,,,,,3.5047356,,,,
,50457294.88,3.58724895,999.756103515625,7.47847126361712E-5,1.02772850210547E-7,1,4.99626677034896,40.0298881530762,1.99866175050758,15.259999781847,0.000845017587435965,0.000157217697404812,0.25,7.79638664315824E-7,7.43832623387529E-5,1.13952808009173E-6,3.5426028,3.6318951,999.756103515625,999.756103515625,60.8521251076795,20.7811864880897,6.273368,0,0,0,200,4882,3.59975,999.756103515625,,,,,,,,,,,,,0,,,,1.3315413,,,,,,3.58724895,,,,
