[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB010X20 070826 1000 OE FCC
FILEOPENTIME,50385878.41,08/07/2026,12:28 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB010X20 single crystal,SAMPLE_COMMENT
INFO,2.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,many crystals mosaic,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50386009.77,299.84381105,999.840454101562,1.16910359934188E-5,1.63271314888601E-7,1,4.99626677034896,40.0298881530762,1.9885953833416,13.849999755621,0.000132152795556472,2.47028515866289E-5,0.25,1.81218742661585E-7,1.16906357777894E-5,1.88971982302426E-7,299.8433838,299.8442383,999.840454101562,999.840454101562,61.0623831793526,20.7833146931832,5.900308,0,0,0,200,4881,300.1653,999.840454101562,,,,,,,,,,,,,0,,,,4.4152803,,,,,,299.84381105,,,,
,50386021.945,299.84358215,999.840454101562,1.14883261973514E-5,1.54514384114156E-7,1,4.99626677034896,40.0298881530762,1.98884931902272,13.849999755621,0.000129593359433501,2.59381621296069E-5,0.25,3.24582786185175E-7,1.14878357864213E-5,3.32198255743665E-7,299.8432007,299.8439636,999.840454101562,999.840454101562,60.9787489277949,20.7790708204431,5.900308,0,0,0,200,4882,300.1597,999.840454101562,,,,,,,,,,,,,0,,,,4.4152803,,,,,,299.84358215,,,,
,50386024.735,299.8430481,999.840454101562,1.1645965665168E-5,1.6299596839543E-7,1,4.99626677034896,40.0298881530762,1.98848025714154,13.849999755621,0.000131752585895287,2.392458071251E-5,0.25,1.20368064678723E-7,1.1645606946438E-5,1.28095799298424E-7,299.8428955,299.8432007,999.840454101562,999.840454101562,61.0701994645449,20.7857548786024,5.527248,0,0,0,200,4882,300.0689,999.840454101562,,,,,,,,,,,,,0,,,,4.4374449,,,,,,299.8430481,,,,
,50386029.725,299.8404541,999.840454101562,1.15085838525554E-5,1.76077685579781E-7,1,4.99626677034896,40.0298881530762,1.98870242384945,13.849999755621,0.000130015275416744,2.47971676949248E-5,0.25,2.20606328521988E-7,1.15081624184961E-5,2.28245920374439E-7,299.8380127,299.8428955,999.840454101562,999.840454101562,61.1936967705834,20.7830387613371,5.900308,0,0,0,200,4882,299.88885,999.840454101562,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.8404541,,,,
,50386034.74,299.83226015,999.840454101562,1.15678308707959E-5,1.68877471935117E-7,1,4.99626677034896,40.0298881530762,1.98863427259898,13.849999755621,0.000130577031739837,2.55285635665241E-5,0.25,2.75075659253015E-7,1.15673747997485E-5,2.82758849045075E-7,299.8265076,299.8380127,999.840454101562,999.840454101562,61.1671214009295,20.7853085620923,5.900308,0,0,0,200,4882,299.70905,999.840454101562,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.83226015,,,,
,50386039.725,299.81562805,999.840454101562,1.16563803144733E-5,1.68267985056322E-7,1,4.99626677034896,40.0298881530762,1.9885359622647,13.849999755621,0.000131562108649374,2.57715678428651E-5,0.25,2.8148035944065E-7,1.16559245948566E-5,2.8922794144057E-7,299.8047485,299.8265076,999.840454101562,999.840454101562,61.077234121218,20.7866537795817,5.900308,0,0,0,200,4882,299.52945,999.840454101562,,,,,,,,,,,,,0,,,,4.4374449,,,,,,299.81562805,,,,
,50386044.7,299.7925415,999.840454101562,1.16431865063402E-5,1.63464985051941E-7,1,4.99626677034896,40.0298881530762,1.9884893599129,13.849999755621,0.000131224792542445,2.68275048414515E-5,0.25,3.7695202962242E-7,1.16426772349008E-5,3.84693120732844E-7,299.7803345,299.8047485,999.840454101562,999.840454101562,61.1108441475449,20.7870459308751,5.900308,0,0,0,200,4886,299.39385,999.840454101562,,,,,,,,,,,,,0,,,,4.4152803,,,,,,299.7925415,,,,
,50386049.71,299.7618103,999.840454101562,1.15493287082825E-5,1.57443993299298E-7,1,4.99626677034896,40.0298881530762,1.98853081017108,13.849999755621,0.000131023340632573,2.16177847445344E-5,0.25,-6.67337577298042E-8,1.15491299004192E-5,-5.90412307022701E-8,299.7432861,299.7803345,999.840454101562,999.840454101562,61.1030278623526,20.7845204804412,5.527248,0,0,0,200,4886,299.25845,999.840454101562,,,,,,,,,,,,,0,,,,4.4374449,,,,,,299.7618103,,,,
,50386054.71,299.72457885,999.840454101562,1.18545140490019E-5,1.44715184895439E-7,1,4.99626677034896,40.0298881530762,1.98852855432873,13.849999755621,0.000133878303509408,2.57418934121665E-5,0.25,2.4498107903507E-7,1.18541172989375E-5,2.52876226471511E-7,299.7058716,299.7432861,999.840454101562,999.840454101562,61.0600382937949,20.7853074842136,5.527248,0,0,0,200,4886,299.07945,999.840454101562,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.72457885,,,,
,50386059.7,299.6812439,999.840454101562,1.1552157753689E-5,1.56718017303622E-7,1,4.99626677034896,40.0298881530762,1.98854167382454,13.849999755621,0.00013051725574784,2.47779992361894E-5,0.25,2.11594077657672E-7,1.1551807686384E-5,2.19292914534341E-7,299.6566162,299.7058716,999.840454101562,999.840454101562,61.0608199223142,20.7852870770268,5.527248,0,0,0,200,4886,298.9429,999.840454101562,,,,,,,,,,,,,0,,,,4.4374449,,,,,,299.6812439,,,,
