[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X1 060826 1000 OE FCC
FILEOPENTIME,50319094.64,08/06/2026,5:55 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB013X1 single crystal,SAMPLE_COMMENT
INFO,1.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50319146,291.2296753,999.756103515625,,,2,,,,14.5260004443526,,,,,,,291.2296753,291.2296753,999.756103515625,999.756103515625,,,5.900308,,,,-99999999,4886,306.5293,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,291.2296753,,,,
,50319496.34,300.03697205,999.756103515625,-6.22092254407307E-8,1.49670469820743E-7,1,4.99626677034896,40.0298881530762,1.99940538744957,14.5100001245737,-1.03237689882477E-6,1.77241851636375E-6,0.25,1.6621201230298E-7,-6.23172513651638E-8,1.66165692634027E-7,300.0317383,300.0422058,999.756103515625,999.756103515625,61.239812853218,20.7859446755481,5.527248,0,0,0,200,4881,300.9256,999.756103515625,,,,,,,,,,,,,0,,,,5.7248006,,,,,,300.03697205,,,,
,50319508.675,300.0600891,999.756103515625,-1.98271687374041E-7,1.35772647126963E-7,1,4.99626677034896,40.0298881530762,1.99934298746585,14.5100001245737,-2.63493288697716E-6,1.81487323427596E-6,0.25,1.93200527128845E-7,-1.98393250134099E-7,1.93063084053133E-7,300.0596924,300.0604858,999.756103515625,999.756103515625,61.1311664890449,20.7864608486058,5.527248,0,0,0,200,4882,300.7427,999.756103515625,,,,,,,,,,,,,0,,,,5.75353885,,,,,,300.0600891,,,,
,50319511.4,300.06465145,999.756103515625,-8.88030223249483E-8,1.38652908894625E-7,1,4.99626677034896,40.0298881530762,1.99930645692325,14.5100001245737,-1.05452519029062E-6,7.80184231993895E-8,0.25,2.20276555983735E-8,-8.88147560377253E-8,2.19681128978062E-8,300.0604858,300.0688171,999.756103515625,999.756103515625,61.0092324400449,20.7872839483956,5.527248,0,0,0,200,4882,300.5587,999.756103515625,,,,,,,,,,,,,0,,,,5.75353885,,,,,,300.06465145,,,,
,50319516.39,300.06874085,999.756103515625,-5.89281403113354E-8,1.44168226578674E-7,1,4.99626677034896,40.0298881530762,1.99932589771621,14.5100001245737,-4.22958824419453E-7,-1.56767156197113E-6,0.25,-1.27539315804471E-7,-5.88416100328027E-8,-1.27574274636926E-7,300.0686646,300.0688171,999.756103515625,999.756103515625,61.0928666916026,20.788356882094,5.527248,0,0,0,200,4882,300.19405,999.756103515625,,,,,,,,,,,,,0,,,,5.7822771,,,,,,300.06874085,,,,
,50319521.345,300.0600586,999.756103515625,-1.46697580698138E-7,1.41071885816193E-7,1,4.99626677034896,40.0298881530762,1.99935165398973,14.5100001245737,-1.55082538619099E-6,-9.89862983171001E-7,0.25,-6.18149749933846E-8,-1.46651794440061E-7,-6.19104362021058E-8,300.0514526,300.0686646,999.756103515625,999.756103515625,61.0717627215834,20.7892423327423,5.900308,0,0,0,200,4882,299.87715,999.756103515625,,,,,,,,,,,,,0,,,,5.7822771,,,,,,300.0600586,,,,
,50319526.34,300.0367279,999.756103515625,-5.06499011895441E-8,1.3417398336744E-7,1,4.99626677034896,40.0298881530762,1.9993536716821,14.5100001245737,-6.48025774452888E-7,3.16829716997164E-7,0.25,3.6468959657576E-8,-5.06725643810303E-8,3.64341326308826E-8,300.0220032,300.0514526,999.756103515625,999.756103515625,61.189006999468,20.7886631303822,5.900308,0,0,0,200,4882,299.60635,999.756103515625,,,,,,,,,,,,,0,,,,5.7822771,,,,,,300.0367279,,,,
,50319531.355,299.9976044,999.756103515625,-2.30998716835651E-7,1.42690138893643E-7,1,4.99626677034896,40.0298881530762,1.99936287817442,14.5100001245737,-2.48493444511644E-6,-1.30775788479735E-6,0.25,-7.53089333477703E-8,-2.30941672183209E-7,-7.54604330164947E-8,299.9732056,300.0220032,999.756103515625,999.756103515625,61.1374195171988,20.7889923248138,5.527248,0,0,0,200,4886,299.3799,999.756103515625,,,,,,,,,,,,,0,,,,5.7822771,,,,,,299.9976044,,,,
,50319536.36,299.9460144,999.756103515625,2.05657897405035E-7,1.36881777955407E-7,1,4.99626677034896,40.0298881530762,1.99933516502363,14.5100001245737,2.10749679785501E-6,1.77745867005207E-6,0.25,1.20872215474622E-7,2.05571618251261E-7,1.21005813171658E-7,299.9188232,299.9732056,999.756103515625,999.756103515625,61.1288216034872,20.7878340104493,5.527248,0,0,0,200,4886,299.19765,999.756103515625,,,,,,,,,,,,,0,,,,5.7822771,,,,,,299.9460144,,,,
,50319541.31,299.8858795,999.756103515625,2.40256361458174E-8,1.4273020883608E-7,1,4.99626677034896,40.0298881530762,1.99934493877277,14.5100001245737,1.45799625243712E-7,7.95051945315073E-7,0.25,6.56826830364167E-8,2.39812335598761E-8,6.56970025519011E-8,299.8529358,299.9188232,999.756103515625,999.756103515625,61.2140191120834,20.7893610690416,5.900308,0,0,0,200,4886,299.01565,999.756103515625,,,,,,,,,,,,,0,,,,5.75353885,,,,,,299.8858795,,,,
