[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X1 060826 1000OE FCW
FILEOPENTIME,50324993.53,08/06/2026,7:34 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB013X1 single crystal,SAMPLE_COMMENT
INFO,1.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50325040.64,2.9909289,999.756103515625,,,2,,,,15.7560000312924,,,,,,,2.9909289,2.9909289,999.756103515625,999.756103515625,,,5.527248,,,,-99999999,4885,3,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,2.9909289,,,,
,50325416.805,3.0148324,999.756103515625,1.24586978628735E-5,9.8146868975764E-8,1,4.99626677034896,40.0298881530762,1.99884064015935,15.7399997115135,0.000142711167888567,1.52165718574487E-5,0.25,-8.3975064784809E-7,1.23965372979819E-5,-7.74639222294603E-7,3.0055094,3.0241554,999.756103515625,999.756103515625,61.771320246295,20.8222143968921,5.527248,0,0,0,200,4881,2.8599,999.756103515625,,,,,,,,,,,,,0,,,,0.342209,,,,,,3.0148324,,,,
,50325429.04,3.16930805,999.756103515625,1.23208913860176E-5,9.16731849092157E-8,1,4.99626677034896,40.0298881530762,1.99884143948753,15.7399997115135,0.000140795337507579,1.69728284428925E-5,0.25,-6.60462694054236E-7,1.22585913042235E-5,-5.9697545202381E-7,3.1567788,3.1818373,999.756103515625,999.756103515625,61.5970170865065,20.8199482160012,5.527248,0,0,0,200,4882,3.0472,999.756103515625,,,,,,,,,,,,,0,,,,0.3456447,,,,,,3.16930805,,,,
,50325431.785,3.20179785,999.756103515625,1.23142502309088E-5,1.00851058470283E-7,1,4.99626677034896,40.0298881530762,1.99877295868614,15.7500002533197,0.0001406646947431,1.7249287238844E-5,0.25,-6.34828848999082E-7,1.22518607652001E-5,-5.7151024375236E-7,3.1818373,3.2217584,999.756103515625,999.756103515625,61.9049787230835,20.8208043650376,5.527248,0,0,0,200,4886,3.08015,999.756103515625,,,,,,,,,,,,,0,,,,0.34737985,,,,,,3.20179785,,,,
,50325436.77,3.27226045,999.756103515625,1.21891735209649E-5,1.07652631115159E-7,1,4.99626677034896,40.0298881530762,1.9988490445097,15.7399997115135,0.000138961020869525,1.86719847944052E-5,0.25,-4.87291197197165E-7,1.21267311213969E-5,-4.25365957926903E-7,3.2217584,3.3227625,999.756103515625,999.756103515625,61.811964929295,20.8226748097403,5.527248,0,0,0,200,4886,3.1464,999.756103515625,,,,,,,,,,,,,0,,,,0.35263765,,,,,,3.27226045,,,,
,50325441.77,3.33933805,999.756103515625,1.22386231092762E-5,9.37051622503763E-8,1,4.99626677034896,40.0298881530762,1.99884052049885,15.7399997115135,0.000139287613564934,2.00973581030683E-5,0.25,-3.70047008019886E-7,1.217534719116E-5,-3.08504494444996E-7,3.3227625,3.3559136,999.756103515625,999.756103515625,62.0011190309489,20.8226379522205,5.900308,0,0,0,200,4886,3.21315,999.756103515625,,,,,,,,,,,,,0,,,,0.3615781,,,,,,3.33933805,,,,
,50325446.775,3.3980964,999.756103515625,1.21848618226975E-5,1.02008962733091E-7,1,4.99626677034896,40.0298881530762,1.99887090394235,15.7399997115135,0.00013872228191993,1.97554071688593E-5,0.25,-3.9085365873499E-7,1.21219731662018E-5,-3.29462209368808E-7,3.3559136,3.4402792,999.756103515625,999.756103515625,61.6540759684104,20.8211405363604,5.900308,0,0,0,200,4886,3.2825,999.756103515625,,,,,,,,,,,,,0,,,,0.3725785,,,,,,3.3980964,,,,
,50325451.765,3.48359405,999.756103515625,1.19057766125958E-5,1.05005356421233E-7,1,4.99626677034896,40.0298881530762,1.99889385186694,15.7399997115135,0.000135672926371879,1.85815128484901E-5,0.25,-4.45641861049967E-7,1.18446387859954E-5,-3.85317611272133E-7,3.4402792,3.5269089,999.756103515625,999.756103515625,61.8236893570835,20.8224952623743,5.900308,0,0,0,200,4886,3.3719,999.756103515625,,,,,,,,,,,,,0,,,,0.38197685,,,,,,3.48359405,,,,
,50325456.75,3.57071305,999.756103515625,1.1639738803252E-5,1.06156547362144E-7,1,4.99626677034896,40.0298881530762,1.99884992512115,15.7399997115135,0.000132614067976486,1.83053220805228E-5,0.25,-4.23370665731801E-7,1.15799072937203E-5,-3.64459854819962E-7,3.5269089,3.6145172,999.756103515625,999.756103515625,61.598580343545,20.8246539999321,5.527248,0,0,0,200,4886,3.4613,999.756103515625,,,,,,,,,,,,,0,,,,0.38968535,,,,,,3.57071305,,,,
,50325461.75,3.65219975,999.756103515625,1.188660742372E-5,9.95358970463658E-8,1,4.99626677034896,40.0298881530762,1.99884018747501,15.7399997115135,0.000135163099327146,2.01936903003547E-5,0.25,-2.99833681395483E-7,1.18248619674655E-5,-2.40378059243197E-7,3.6145172,3.6898823,999.756103515625,999.756103515625,61.6509494543335,20.8223052441956,5.900308,0,0,0,200,4886,3.5426,999.756103515625,,,,,,,,,,,,,0,,,,0.3995651,,,,,,3.65219975,,,,
