[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X1 060826 1000OE ZFCW
FILEOPENTIME,50365554.56,08/07/2026,6:50 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB013X1 single crystal,SAMPLE_COMMENT
INFO,1.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50365602.34,2.9927177,999.819396972656,,,2,,,,15.7960003358722,,,,,,,2.9927177,2.9927177,999.819396972656,999.819396972656,,,5.900308,,,,-99999999,4885,2.9861,999.819396972656,,,,,,,,,,,,,,,,,,,,,,,2.9927177,,,,
,50366100.5,3.0201702,999.819396972656,2.74824029883658E-5,9.94164695422421E-8,1,4.99626677034896,40.0298881530762,1.99747915392438,15.7800000160933,0.000312864243222347,4.34440394468246E-5,0.25,-9.77351115161582E-7,2.73410248218983E-5,-8.38375936397932E-7,3.0158789,3.0244615,999.819396972656,999.819396972656,61.2859289358526,20.7927779171707,5.527248,0,0,0,200,4881,2.81225,999.819396972656,,,,,,,,,,,,,0,,,,4.39333605,,,,,,3.0201702,,,,
,50366112.665,3.209141,999.819396972656,2.73022499891467E-5,1.06167337159432E-7,1,4.99626677034896,40.0298881530762,1.99746090622364,15.7800000160933,0.0003110869336953,4.15827621276195E-5,0.25,-1.11025693926603E-6,2.71624778885091E-5,-9.71452029316553E-7,3.1984968,3.2197852,999.819396972656,999.819396972656,61.3531489885065,20.7936149348148,5.900308,0,0,0,200,4882,3.034,999.819396972656,,,,,,,,,,,,,0,,,,4.3713918,,,,,,3.209141,,,,
,50366115.515,3.2337655,999.819396972656,2.71225220502572E-5,9.97678718405601E-8,1,4.99626677034896,40.0298881530762,1.99749718901061,15.7800000160933,0.000308539037863354,4.41929565567234E-5,0.25,-8.48106331264512E-7,2.69824296723951E-5,-7.11570255956722E-7,3.2197852,3.2477458,999.819396972656,999.819396972656,61.1718111720449,20.7940920732051,5.900308,0,0,0,200,4886,3.0513,999.819396972656,,,,,,,,,,,,,0,,,,4.3713918,,,,,,3.2337655,,,,
,50366120.5,3.2776349,999.819396972656,2.68551461282186E-5,1.04330691701587E-7,1,4.99626677034896,40.0298881530762,1.99772357609725,15.7800000160933,0.000305838365220914,4.20052382570182E-5,0.25,-9.95007828468179E-7,2.6717190792853E-5,-8.58992155244872E-7,3.2477458,3.307524,999.819396972656,999.819396972656,61.4492892963719,20.7946253287042,5.527248,0,0,0,200,4886,3.10425,999.819396972656,,,,,,,,,,,,,0,,,,4.3713918,,,,,,3.2776349,,,,
,50366125.49,3.35166575,999.819396972656,2.65411236344556E-5,9.21618300160918E-8,1,4.99626677034896,40.0298881530762,1.99785015962811,15.7800000160933,0.000301510690781927,4.59076161572177E-5,0.25,-5.95321966124437E-7,2.64028928263758E-5,-4.62960168585584E-7,3.307524,3.3958075,999.819396972656,999.819396972656,61.3992650711411,20.7888822068379,5.900308,0,0,0,200,4886,3.18865,999.819396972656,,,,,,,,,,,,,0,,,,4.3496659,,,,,,3.35166575,,,,
,50366130.465,3.4267788,999.819396972656,2.64996416686887E-5,1.01474246423292E-7,1,4.99626677034896,40.0298881530762,1.99768496414625,15.7800000160933,0.000301303078216223,4.41930189311612E-5,0.25,-7.39267589686066E-7,2.63623324282579E-5,-6.06342313273391E-7,3.3958075,3.4577501,999.819396972656,999.819396972656,61.4883707223334,20.790370096381,5.900308,0,0,0,200,4886,3.256,999.819396972656,,,,,,,,,,,,,0,,,,4.37161015,,,,,,3.4267788,,,,
,50366135.46,3.4993546,999.819396972656,2.61207154937278E-5,1.11019011269792E-7,1,4.99626677034896,40.0298881530762,1.99771686412382,15.7800000160933,0.000297197123581067,4.24324881211913E-5,0.25,-8.28499722216443E-7,2.59858557435038E-5,-6.96944501975092E-7,3.4577501,3.5409591,999.819396972656,999.819396972656,61.4750830375065,20.79098821375,5.900308,0,0,0,200,4886,3.3365,999.819396972656,,,,,,,,,,,,,0,,,,4.4152803,,,,,,3.4993546,,,,
,50366140.495,3.58555125,999.819396972656,2.58815024107689E-5,1.06573729809251E-7,1,4.99626677034896,40.0298881530762,1.99759593017912,15.7800000160933,0.000293971736982052,4.48179396692626E-5,0.25,-5.75516787919161E-7,2.5746683413905E-5,-4.46471203733819E-7,3.5409591,3.6301434,999.819396972656,999.819396972656,61.3765978440834,20.7934115872008,5.900308,0,0,0,200,4886,3.4304,999.819396972656,,,,,,,,,,,,,0,,,,4.4152803,,,,,,3.58555125,,,,
,50366145.5,3.6660973,999.819396972656,2.57003553092442E-5,1.15364675530919E-7,1,4.99626677034896,40.0298881530762,1.99770432356662,15.7800000160933,0.000291697723925769,4.58276343027634E-5,0.25,-4.54732561961955E-7,2.55659117568656E-5,-3.27211013216735E-7,3.6301434,3.7020512,999.819396972656,999.819396972656,61.7423999910835,20.791543522901,5.900308,0,0,0,200,4886,3.5177,999.819396972656,,,,,,,,,,,,,0,,,,4.39333605,,,,,,3.6660973,,,,
