[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X1 060826 10000 OE FCC
FILEOPENTIME,50300837.61,08/06/2026,12:51 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB013X1 single crystal,SAMPLE_COMMENT
INFO,1.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50300970.515,299.880127,9999.626953125,-5.36986429975069E-6,7.77304936703782E-7,1,0.999253354069792,40.0298881530762,1.99019199164647,14.2400003969669,-5.85170678318855E-5,-2.43956432374685E-5,0.25,-1.2329546491693E-6,-5.36891138937242E-6,-1.23648297261149E-6,299.880127,299.880127,9999.626953125,9999.626953125,60.9138737606988,20.7369931115913,5.527248,0,0,0,40,4881,300.0857,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.880127,,,,
,50300976.535,299.880127,9999.626953125,-5.05406768147935E-6,8.15492293662709E-7,1,0.999253354069792,40.0298881530762,1.99028664117449,14.2400003969669,-5.44672322826009E-5,-2.6536530141738E-5,0.25,-1.47557635377914E-6,-5.05296147507318E-6,-1.47889036309206E-6,299.880127,299.880127,9999.626953125,9999.626953125,61.2413761102565,20.7381613682755,5.527248,0,0,0,40,4882,299.9969,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.880127,,,,
,50300977.16,299.8796387,9999.626953125,-4.5455738815885E-6,6.63366524940489E-7,1,0.999253354069792,40.0298881530762,1.99021829526563,14.2400003969669,-4.99287363745921E-5,-1.83484344904643E-5,0.25,-8.40681200404934E-7,-4.54490160731297E-6,-8.43674096978308E-7,299.8791504,299.880127,9999.626953125,9999.626953125,61.056911779718,20.7374036400515,5.900308,0,0,0,40,4882,299.9969,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.8796387,,,,
,50300978.295,299.87934875,9999.626953125,-5.22376935283935E-6,7.25234139701377E-7,1,0.999253354069792,40.0298881530762,1.99022661017897,14.2400003969669,-5.67976793992385E-5,-2.44828457324741E-5,0.25,-1.26557778754255E-6,-5.22279825193371E-6,-1.26900969001718E-6,299.8791504,299.8795471,9999.626953125,9999.626953125,61.0764524926988,20.7391019526114,5.900308,0,0,0,40,4882,299.99545,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.87934875,,,,
,50300979.405,299.87931825,9999.626953125,-5.08843338751316E-6,6.46742429154237E-7,1,0.999253354069792,40.0298881530762,1.99022537393744,14.2400003969669,-5.59890313214201E-5,-1.99704402921729E-5,0.25,-8.90885346823578E-7,-5.08771415643732E-6,-8.9423700874054E-7,299.8790894,299.8795471,9999.626953125,9999.626953125,61.1241318323719,20.7361100138985,5.527248,0,0,0,40,4882,299.99255,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.87931825,,,,
,50300980.515,299.8795624,9999.626953125,-4.94758302473578E-6,6.29224352924977E-7,1,0.999253354069792,40.0298881530762,1.99020723547264,14.2400003969669,-5.42042115247344E-5,-2.07896323244476E-5,0.25,-9.87199158896532E-7,-4.94680343299908E-6,-9.90454999862888E-7,299.8790894,299.8800354,9999.626953125,9999.626953125,60.9670245000065,20.736872829732,5.527248,0,0,0,40,4882,299.9911,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.8795624,,,,
,50300981.745,299.88017275,9999.626953125,-5.53034538187955E-6,6.63598589592932E-7,1,0.999253354069792,40.0298881530762,1.99026217023225,14.2400003969669,-6.26965334542599E-5,-1.09172141935517E-5,0.25,-1.71732261621066E-8,-5.53019411337016E-6,-2.08406451548131E-8,299.8800354,299.8803101,9999.626953125,9999.626953125,61.1632132583334,20.7393730186391,5.900308,0,0,0,40,4882,299.9467,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.88017275,,,,
,50300983.01,299.87980655,9999.626953125,-5.56355921954773E-6,7.85136567357236E-7,1,0.999253354069792,40.0298881530762,1.99020953018169,14.2400003969669,-6.06955699790618E-5,-2.48823825455256E-5,0.25,-1.24273791223659E-6,-5.5625939597396E-6,-1.24639764535459E-6,299.879303,299.8803101,9999.626953125,9999.626953125,60.9795305563142,20.7357194127177,5.900308,0,0,0,40,4882,299.85795,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.87980655,,,,
,50300984.19,299.87887575,9999.626953125,-5.87583380069777E-6,6.53741874454601E-7,1,0.999253354069792,40.0298881530762,1.99020090828212,14.2400003969669,-6.53361035525917E-5,-1.90593264667585E-5,0.25,-6.75985562804137E-7,-5.87523672204869E-6,-6.79867514660747E-7,299.8784485,299.879303,9999.626953125,9999.626953125,60.9990712692949,20.7370023428087,5.900308,0,0,0,40,4882,299.8136,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.87887575,,,,
,50300985.355,299.8777771,9999.626953125,-4.92777435681722E-6,7.59598758313064E-7,1,0.999253354069792,40.0298881530762,1.99016703493072,14.2400003969669,-5.34783897576103E-5,-2.36765658111852E-5,0.25,-1.2451455883419E-6,-4.92682376684243E-6,-1.24838410083915E-6,299.8771057,299.8784485,9999.626953125,9999.626953125,61.2585719376796,20.7382357792267,5.900308,0,0,0,40,4882,299.8136,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.8777771,,,,
,50300986.58,299.8771362,9999.626953125,-5.80619351796632E-6,6.69737921401321E-7,1,0.999253354069792,40.0298881530762,1.99017593165405,14.2400003969669,-6.56659801543373E-5,-1.23685558500573E-5,0.25,-9.80175774139232E-8,-5.80598210233144E-6,-1.0186795500723E-7,299.8771057,299.8771667,9999.626953125,9999.626953125,61.1905702565065,20.7371773369336,5.527248,0,0,0,40,4882,299.81215,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.8771362,,,,
,50300987.78,299.87577815,9999.626953125,-4.95056913213608E-6,6.77598205871413E-7,1,0.999253354069792,40.0298881530762,1.99032366327,14.2400003969669,-5.54220134658703E-5,-1.38878855884524E-5,0.25,-3.78134854796491E-7,-4.95019365577025E-6,-3.81410455461742E-7,299.8743896,299.8771667,9999.626953125,9999.626953125,61.2171456261603,20.7368863509495,5.527248,0,0,0,40,4882,299.8093,9999.626953125,,,,,,,,,,,,,0,,,,5.0780606,,,,,,299.87577815,,,,
,50300988.905,299.8744812,9999.626953125,-4.99088063413898E-6,7.81061395988269E-7,1,0.999253354069792,40.0298881530762,1.9901762064985,14.2400003969669,-5.41261812079896E-5,-2.41981589365653E-5,0.25,-1.28033553292409E-6,-4.98990569678881E-6,-1.28361526580071E-6,299.8743896,299.8745728,9999.626953125,9999.626953125,61.0936483201219,20.7372660835538,5.900308,0,0,0,40,4882,299.8079,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.8744812,,,,
,50300990.11,299.87246705,9999.626953125,-5.81639322724E-6,6.58439572057679E-7,1,0.999253354069792,40.0298881530762,1.99026322287425,14.2400003969669,-6.37080899531311E-5,-2.45361146204955E-5,0.25,-1.16893510851834E-6,-5.81547173082258E-6,-1.17276619116089E-6,299.8703613,299.8745728,9999.626953125,9999.626953125,60.9615531003718,20.7379799506641,5.900308,0,0,0,40,4882,299.76355,9999.626953125,,,,,,,,,,,,,0,,,,5.1290436,,,,,,299.87246705,,,,
,50300992.235,299.8685608,9999.626953125,-5.49648184409798E-6,8.35789489420068E-7,1,0.999253354069792,40.0298881530762,1.9902330736108,14.2400003969669,-5.96282326698358E-5,-2.6549841287285E-5,0.25,-1.40118276345863E-6,-5.49541458711188E-6,-1.40479715919008E-6,299.8685608,299.8685608,9999.626953125,9999.626953125,61.036589438218,20.7383140846038,5.527248,0,0,0,40,4882,299.6749,9999.626953125,,,,,,,,,,,,,0,,,,5.1035521,,,,,,299.8685608,,,,
,50300992.83,299.86701965,9999.626953125,-4.66995195053392E-6,6.88460303468893E-7,1,0.999253354069792,40.0298881530762,1.99022390778478,14.2400003969669,-5.15381787120441E-5,-1.74282250856241E-5,0.25,-7.38284082729449E-7,-4.66934568331048E-6,-7.41366277124484E-7,299.8654785,299.8685608,9999.626953125,9999.626953125,61.2218353972757,20.7376268599062,5.900308,0,0,0,40,4882,299.6749,9999.626953125,,,,,,,,,,,,,0,,,,5.1290436,,,,,,299.86701965,,,,
