[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X7 130826 1000 OE FCC
FILEOPENTIME,50987697.47,08/14/2026,11:39 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB013X7 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50987833.875,299.78485105,999.756103515625,5.92525221180796E-6,1.6335383367256E-7,1,4.99626677034896,40.0298881530762,1.99133290900377,13.0200004205108,6.64326218718523E-5,1.62402533806646E-5,0.25,4.18217521925996E-7,5.92484608426491E-6,4.22139755001165E-7,299.7828674,299.7868347,999.756103515625,999.756103515625,60.7864683120641,20.74553222065,5.154188,0,0,0,200,4881,300.1906,999.756103515625,,,,,,,,,,,,,0,,,,3.9756581,,,,,,299.78485105,,,,
,50987846.615,299.791748,999.756103515625,5.62819642246354E-6,1.62277403630965E-7,1,4.99626677034896,40.0298881530762,1.9912286668893,13.0300000309944,6.29937121100387E-5,1.60408692546131E-5,0.25,4.51495316083887E-7,5.62777318321908E-6,4.55219697969665E-7,299.791748,299.791748,999.756103515625,999.756103515625,60.9232533029295,20.748933353531,5.154188,0,0,0,200,4882,300.185,999.756103515625,,,,,,,,,,,,,0,,,,3.9955161,,,,,,299.791748,,,,
,50987849.02,299.79136655,999.756103515625,5.76771868164435E-6,1.56083151827626E-7,1,4.99626677034896,40.0298881530762,1.99121117251871,13.0300000309944,6.48834371774691E-5,1.45155941126387E-5,0.25,2.93247149937436E-7,5.76739707741379E-6,2.97070267415977E-7,299.7909851,299.791748,999.756103515625,999.756103515625,60.8153885672757,20.747033270282,5.154188,0,0,0,200,4882,300.0069,999.756103515625,,,,,,,,,,,,,0,,,,3.9756581,,,,,,299.79136655,,,,
,50987853.86,299.7896576,999.756103515625,5.53009795756985E-6,1.43410217722138E-7,1,4.99626677034896,40.0298881530762,1.99115454630263,13.0200004205108,6.22500435893124E-5,1.36750657840225E-5,0.25,2.5982445847627E-7,5.52980359241544E-6,2.63494458202975E-7,299.7883301,299.7909851,999.756103515625,999.756103515625,61.0115773256026,20.747573479105,5.527248,0,0,0,200,4882,299.73715,999.756103515625,,,,,,,,,,,,,0,,,,3.9558001,,,,,,299.7896576,,,,
,50987858.855,299.78327945,999.756103515625,5.69274946634417E-6,1.55003029048769E-7,1,4.99626677034896,40.0298881530762,1.99126034065949,13.0200004205108,6.37076362323279E-5,1.62810013448365E-5,0.25,4.61590432129561E-7,5.69231831651323E-6,4.65366939945933E-7,299.7782288,299.7883301,999.756103515625,999.756103515625,60.9599898433334,20.7489475482816,5.154188,0,0,0,200,4882,299.55395,999.756103515625,,,,,,,,,,,,,0,,,,3.9558001,,,,,,299.78327945,,,,
,50987863.845,299.7689972,999.756103515625,5.66326790822418E-6,1.44472590867209E-7,1,4.99626677034896,40.0298881530762,1.99126704780838,13.0200004205108,6.38857777502262E-5,1.32257537679981E-5,0.25,1.97396343197912E-7,5.66301568791191E-6,2.01163108710155E-7,299.7597656,299.7782288,999.756103515625,999.756103515625,60.9068391040257,20.7482563842015,5.154188,0,0,0,200,4882,299.2853,999.756103515625,,,,,,,,,,,,,0,,,,3.9756581,,,,,,299.7689972,,,,
,50987868.86,299.7416992,999.756103515625,5.5951098073575E-6,1.50178751758827E-7,1,4.99626677034896,40.0298881530762,1.99126019959082,13.0200004205108,6.28306008764421E-5,1.47406304891864E-5,0.25,3.42534741352178E-7,5.59476757521119E-6,3.46257307975891E-7,299.7236328,299.7597656,999.756103515625,999.756103515625,60.9826570703911,20.7476781353326,5.527248,0,0,0,200,4886,299.01845,999.756103515625,,,,,,,,,,,,,0,,,,3.9756581,,,,,,299.7416992,,,,
,50987873.86,299.69795225,999.756103515625,5.73956052194519E-6,1.51475754950378E-7,1,4.99626677034896,40.0298881530762,1.99128808958671,13.0200004205108,6.43188851222083E-5,1.59100016144855E-5,0.25,4.20863166391232E-7,5.73917217902598E-6,4.24683877472409E-7,299.6722717,299.7236328,999.756103515625,999.756103515625,60.8857351340065,20.749283288893,5.527248,0,0,0,200,4886,298.83625,999.756103515625,,,,,,,,,,,,,0,,,,3.9756581,,,,,,299.69795225,,,,
,50987878.835,299.64678955,999.756103515625,5.5603343347463E-6,1.44449519661652E-7,1,4.99626677034896,40.0298881530762,1.99133820673219,13.0200004205108,6.24886104694743E-5,1.4380629096315E-5,0.25,3.16698042636392E-7,5.5600290413591E-6,3.2040549865473E-7,299.6213074,299.6722717,999.756103515625,999.756103515625,60.9115288751411,20.7460411532991,5.527248,0,0,0,200,4886,298.58225,999.756103515625,,,,,,,,,,,,,0,,,,3.9955161,,,,,,299.64678955,,,,
,50987883.825,299.585022,999.756103515625,5.6769505877019E-6,1.60823779692905E-7,1,4.99626677034896,40.0298881530762,1.99126385976492,13.0300000309944,6.3689211647829E-5,1.5312610800569E-5,0.25,3.78927247667586E-7,5.67661443574179E-6,3.82716200142878E-7,299.5487366,299.6213074,999.756103515625,999.756103515625,61.0451873519295,20.7475978920624,5.527248,0,0,0,200,4886,298.32985,999.756103515625,,,,,,,,,,,,,0,,,,3.9955161,,,,,,299.585022,,,,
