[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X7 MOSAIC, QUICK SCAN
FILEOPENTIME,50915164.36,08/13/2026,3:30 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB013X7 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,50915295.785,299.9358978,999.988037109375,3.23021526205063E-7,1.33993103750916E-7,1,4.99626677034896,40.0298881530762,2.00278341716799,1.01000000722706,3.12438100655984E-6,3.9152910374563E-6,0.25,2.87907419295872E-7,3.22821544567825E-7,2.88113938196965E-7,299.9332275,299.9385681,999.988037109375,999.988037109375,51.7016000330439,14.8281059722989,5.154188,0,0,0,200,4881,300.0676,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.9358978,,,,
,50915307.985,299.9490814,999.988037109375,7.61046694210667E-8,1.51539205828522E-7,1,4.99626677034896,40.0298881530762,2.00274023237043,1.01000000722706,5.88699516150458E-7,1.78475199558071E-6,0.25,1.434037753319E-7,7.60073503777813E-8,1.43450285529205E-7,299.9482727,299.9498901,999.988037109375,999.988037109375,51.31938368714,14.8307949949103,4.781127,0,0,0,200,4882,300.0676,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.9490814,,,,
,50915310.76,299.9511108,999.988037109375,3.05888443218858E-7,1.31010562018911E-7,1,4.99626677034896,40.0298881530762,2.00271654824802,1.01000000722706,3.20692974427749E-6,2.254506787007E-6,0.25,1.45297346460466E-7,3.05783419742987E-7,1.45496325872294E-7,299.9498901,299.9523315,999.988037109375,999.988037109375,51.8383850239093,14.831207256869,5.154188,0,0,0,200,4882,300.06475,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.9511108,,,,
,50915315.78,299.9535217,999.988037109375,3.20805605862085E-7,1.3397947026769E-7,1,4.99626677034896,40.0298881530762,2.00277841678997,1.01000000722706,3.77712827495961E-6,-5.58067129630729E-8,0.25,-5.97263431803761E-8,3.2083623914654E-7,-5.95116324235469E-8,299.9523315,299.9547119,999.988037109375,999.988037109375,51.4960317324862,14.8297243221281,5.154188,0,0,0,200,4882,299.9745,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.9535217,,,,
,50915320.79,299.9530792,999.988037109375,2.16420866823388E-7,1.35901645697896E-7,1,4.99626677034896,40.0298881530762,2.00271250861151,1.01000000722706,2.25442087075794E-6,1.68008186508461E-6,0.25,1.10248172772683E-7,2.16341524510058E-7,1.10388858369536E-7,299.9514465,299.9547119,999.988037109375,999.988037109375,51.8344768813132,14.8300912595469,5.154188,0,0,0,200,4882,299.84055,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.9530792,,,,
,50915325.785,299.94650265,999.988037109375,1.34746395974867E-8,1.41954084004493E-7,1,4.99626677034896,40.0298881530762,2.00272555637257,1.01000000722706,-8.73996031555866E-8,1.43708833524521E-6,0.25,1.23641449179956E-7,1.33920862482566E-8,1.23646951760429E-7,299.9415588,299.9514465,999.988037109375,999.988037109375,51.901696933967,14.829329168008,4.781127,0,0,0,200,4882,299.74895,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.94650265,,,,
,50915330.785,299.93388365,999.988037109375,3.64583903189681E-7,1.39061287220912E-7,1,4.99626677034896,40.0298881530762,2.00275148287439,1.01000000722706,3.52859221640373E-6,4.40575786436923E-6,0.25,3.23791381232674E-7,3.64358605441921E-7,3.24024888999788E-7,299.9262085,299.9415588,999.988037109375,999.988037109375,51.820407567967,14.8305316102015,5.527248,0,0,0,200,4886,299.6589,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.93388365,,,,
,50915335.745,299.9170227,999.988037109375,1.522378449743E-7,1.32180934218426E-7,1,4.99626677034896,40.0298881530762,2.00267667993876,1.01000000722706,1.53684708480495E-6,1.46826203491117E-6,0.25,1.02657241711605E-7,1.52165477933147E-7,1.02755739653692E-7,299.9078369,299.9262085,999.988037109375,999.988037109375,51.5476192147555,14.8296976262745,5.154188,0,0,0,200,4886,299.5703,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.9170227,,,,
,50915340.735,299.89489745,999.988037109375,1.23675803333487E-7,1.35886720626215E-7,1,4.99626677034896,40.0298881530762,2.00271284700201,1.01000000722706,1.44445751987786E-6,4.66134985953211E-8,0.25,-1.70550149598874E-8,1.23683929462764E-7,-1.69722977356583E-8,299.881958,299.9078369,999.988037109375,999.988037109375,51.474927762467,14.8312070716692,4.781127,0,0,0,200,4886,299.5239,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.89489745,,,,
,50915345.765,299.86949155,999.988037109375,3.48485854872331E-7,1.53374092633141E-7,1,4.99626677034896,40.0298881530762,2.00270635243448,1.01000000722706,4.12043319836182E-6,-1.6316254675126E-7,0.25,-7.38670170286583E-8,3.48526267035708E-7,-7.3633256390626E-8,299.8570251,299.881958,999.988037109375,999.988037109375,51.5913904118324,14.831051646518,5.527248,0,0,0,200,4886,299.434,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.86949155,,,,
,50915350.755,299.84202575,999.988037109375,2.95140994001733E-7,1.45105533672305E-7,1,4.99626677034896,40.0298881530762,2.00269558902832,1.01000000722706,3.29271089336278E-6,1.01412875859684E-6,0.25,3.8428705519394E-8,2.95108306241992E-7,3.86242582581511E-8,299.8270264,299.8570251,999.988037109375,999.988037109375,51.5335499014093,14.8325267636045,4.781127,0,0,0,200,4886,299.3441,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.84202575,,,,
,50915355.715,299.8126831,999.988037109375,1.33518697620116E-7,1.36283964193146E-7,1,4.99626677034896,40.0298881530762,2.0027094385091,1.01000000722706,8.99506171468831E-7,3.91097846189249E-6,0.25,3.19931710575462E-7,1.33302621569908E-7,3.20013256855319E-7,299.7983398,299.8270264,999.988037109375,999.988037109375,51.8008668549862,14.8349020581372,5.527248,0,0,0,200,4886,299.31185,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.8126831,,,,
,50915360.715,299.7805023,999.988037109375,3.09041491864255E-7,1.38473103900733E-7,1,4.99626677034896,40.0298881530762,2.00272856049341,1.01000000722706,3.41992260819978E-6,1.22530641156966E-6,0.25,5.45581923950953E-8,3.08998427928289E-7,5.47628223911711E-8,299.7626648,299.7983398,999.988037109375,999.988037109375,51.6421962655824,14.8323051904913,5.154188,0,0,0,200,4886,299.23885,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.7805023,,,,
,50915365.74,299.74742125,999.988037109375,1.673959131258E-7,1.3423864519489E-7,1,4.99626677034896,40.0298881530762,2.00269410282415,1.01000000722706,2.02446880933261E-6,-3.42877847434115E-7,0.25,-5.8663166958614E-8,1.67431556974259E-7,-5.85504388916182E-8,299.7321777,299.7626648,999.988037109375,999.988037109375,51.6547023218901,14.8351770299669,5.154188,0,0,0,200,4886,299.15035,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.74742125,,,,
,50915370.735,299.7126007,999.988037109375,2.08126917516702E-7,1.25921060196959E-7,1,4.99626677034896,40.0298881530762,2.00259250252883,1.01000000722706,2.36105672868529E-6,4.85707372242414E-7,0.25,6.99325868150428E-9,2.08118247784202E-7,7.13185637136366E-9,299.6930237,299.7321777,999.988037109375,999.988037109375,51.34986719939,14.8318347775043,5.154188,0,0,0,200,4886,299.01705,999.988037109375,,,,,,,,,,,,,0,,,,6.3262415,,,,,,299.7126007,,,,
,50915375.72,299.6725769,999.988037109375,2.20383583873415E-7,1.32324400586115E-7,1,4.99626677034896,40.0298881530762,2.00266211173042,1.01000000722706,2.46461322180066E-6,7.22440457799129E-7,0.25,2.564405787643E-8,2.20362563237847E-7,2.57905830972788E-8,299.6521301,299.6930237,999.988037109375,999.988037109375,51.7953954553516,14.8341457893037,5.154188,0,0,0,200,4886,298.88245,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.6725769,,,,
,50915380.72,299.63446045,999.988037109375,1.41274262218467E-7,1.27761543636165E-7,1,4.99626677034896,40.0298881530762,2.0026762724368,1.01000000722706,1.35395210047709E-6,1.78509520545033E-6,0.25,1.32296908832199E-7,1.41183686130875E-7,1.32388999492362E-7,299.6167908,299.6521301,999.988037109375,999.988037109375,51.5476192147555,14.834782924586,5.527248,0,0,0,200,4886,298.7914,999.988037109375,,,,,,,,,,,,,0,,,,6.3897567,,,,,,299.63446045,,,,
,50915385.725,299.59352115,999.988037109375,-3.29895326531765E-8,1.35730249240964E-7,1,4.99626677034896,40.0298881530762,2.00263980732417,1.01000000722706,-1.13310303395942E-7,-1.60355843475241E-6,0.25,-1.34898837383756E-7,-3.28989991072058E-8,-1.34918856080637E-7,299.5702515,299.6167908,999.988037109375,999.988037109375,51.464766591717,14.836585197985,5.527248,0,0,0,200,4886,298.67185,999.988037109375,,,,,,,,,,,,,0,,,,6.4218328,,,,,,299.59352115,,,,
,50915390.73,299.54841615,999.988037109375,2.75485564542805E-7,1.23666788848862E-7,1,4.99626677034896,40.0298881530762,2.00258430201801,1.01000000722706,3.13578857959347E-6,5.80964621046161E-7,0.25,3.82760738184966E-9,2.75479379445888E-7,4.01156219859173E-9,299.5265808,299.5702515,999.988037109375,999.988037109375,51.4999398750824,14.8356915680923,5.154188,0,0,0,200,4886,298.5075,999.988037109375,,,,,,,,,,,,,0,,,,6.3900752,,,,,,299.54841615,,,,
,50915395.71,299.4978485,999.988037109375,6.44098757877919E-8,1.32031244307106E-7,1,4.99626677034896,40.0298881530762,2.00255327919652,1.01000000722706,7.99062102506155E-7,-2.49746414309834E-7,0.25,-3.28988528940065E-8,6.44311376775186E-8,-3.2855429010304E-8,299.4691162,299.5265808,999.988037109375,999.988037109375,51.5272968732554,14.8376820441245,4.781127,0,0,0,200,4886,298.32845,999.988037109375,,,,,,,,,,,,,0,,,,6.3579991,,,,,,299.4978485,,,,
,50915400.695,299.4426422,999.988037109375,2.99193875375377E-7,1.37124758574492E-7,1,4.99626677034896,40.0298881530762,2.00259669291078,1.01000000722706,2.95594792194871E-6,3.26201194442736E-6,0.25,2.34748163727291E-7,2.99034065911215E-7,2.34946138428603E-7,299.4161682,299.4691162,999.988037109375,999.988037109375,51.2123005800054,14.8361374935814,4.781127,0,0,0,200,4886,298.12065,999.988037109375,,,,,,,,,,,,,0,,,,6.4218328,,,,,,299.4426422,,,,
,50915405.7,299.3835907,999.988037109375,-1.25629212384389E-7,1.33515746998911E-7,1,4.99626677034896,40.0298881530762,2.0026057894151,1.01000000722706,-1.56037725858689E-6,4.97597125980256E-7,0.25,6.50850601498937E-8,-1.25671898616885E-7,6.50004878119967E-8,299.3510132,299.4161682,999.988037109375,999.988037109375,51.4757093909862,14.8371199837479,5.154188,0,0,0,200,4886,297.91155,999.988037109375,,,,,,,,,,,,,0,,,,6.4539089,,,,,,299.3835907,,,,
,50915410.7,299.31518555,999.988037109375,3.55251700454627E-7,1.35225910763523E-7,1,4.99626677034896,40.0298881530762,2.00257006681868,1.01000000722706,3.73606401919967E-6,2.54920885339774E-6,0.25,1.62695354117079E-7,3.55141065957766E-7,1.62932663865863E-7,299.2793579,299.3510132,999.988037109375,999.988037109375,51.4389728505824,14.8376571245952,4.781127,0,0,0,200,4886,297.70085,999.988037109375,,,,,,,,,,,,,0,,,,6.4539089,,,,,,299.31518555,,,,
,50915415.695,299.2445221,999.988037109375,4.42798392685535E-7,1.31894933896193E-7,1,4.99626677034896,40.0298881530762,2.00263620462126,1.01000000722706,4.89623514141676E-6,1.77752487193974E-6,0.25,8.0091879037115E-8,4.42743827338378E-7,8.03886882646474E-8,299.2096863,299.2793579,999.988037109375,999.988037109375,51.332671371967,14.8386200741495,5.154188,0,0,0,200,4886,297.4903,999.988037109375,,,,,,,,,,,,,0,,,,6.4218328,,,,,,299.2445221,,,,
,50915420.69,299.17085265,999.988037109375,2.23869765498554E-7,1.33687912380661E-7,1,4.99626677034896,40.0298881530762,2.00251706284031,1.01000000722706,2.48980863309083E-6,8.13767234167536E-7,0.25,3.30547281363871E-8,2.23847756372147E-7,3.32050368506957E-8,299.132019,299.2096863,999.988037109375,999.988037109375,51.4311565653901,14.8388051509547,5.527248,0,0,0,200,4886,297.25175,999.988037109375,,,,,,,,,,,,,0,,,,6.3897567,,,,,,299.17085265,,,,
,50915425.705,299.08013915,999.988037109375,4.20705798259424E-7,1.42333930067611E-7,1,4.99626677034896,40.0298881530762,2.00252471151603,1.01000000722706,4.1673507343741E-6,4.52237381774729E-6,0.25,3.24445856723358E-7,4.20489465604079E-7,3.24729989972394E-7,299.0282593,299.132019,999.988037109375,999.988037109375,51.5101010458324,14.8366477472692,5.154188,0,0,0,200,4886,296.92725,999.988037109375,,,,,,,,,,,,,0,,,,6.4218328,,,,,,299.08013915,,,,
