[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,YCOB TB013X7 130826 1000 OE ZFC
FILEOPENTIME,51033125.59,08/15/2026,12:16 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,TB013X7 H para ab 0.1T FCC,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,mosaic of crystals,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,51033174.31,2.9863477,999.756103515625,,,2,,,,14.4660001484156,,,,,,,2.9863477,2.9863477,999.756103515625,999.756103515625,,,5.527248,,,,-99999999,4885,3.0077,999.756103515625,,,,,,,,,,,,,,,,,,,,,,,2.9863477,,,,
,51033258.875,2.99773835,999.756103515625,3.79068236119339E-5,1.09573841435327E-7,1,4.99626677034896,40.0298881530762,1.99681099034478,14.4499996677041,0.000427846957516375,8.01739276483062E-5,0.25,4.4415140877163E-7,3.77030944578752E-5,6.26311459625507E-7,2.9936111,3.0018656,999.756103515625,999.756103515625,61.2523189095257,20.8092205803911,5.900308,0,0,0,200,4881,3.0082,999.756103515625,,,,,,,,,,,,,0,,,,1.42081945,,,,,,2.99773835,,,,
,51033271.18,3.0121207,999.756103515625,3.78159222722681E-5,9.99784651089213E-8,1,4.99626677034896,40.0298881530762,1.99674217496982,14.4499996677041,0.000426760814537101,8.02422965160661E-5,0.25,4.66363173321708E-7,3.76125684969949E-5,6.47962629863466E-7,3.0121207,3.0121207,999.756103515625,999.756103515625,60.7255012875641,20.8133450344995,5.527248,0,0,0,200,4882,3.0335,999.756103515625,,,,,,,,,,,,,0,,,,1.4137226,,,,,,3.0121207,,,,
,51033273.88,3.05886065,999.756103515625,3.7521536262975E-5,1.09662095144856E-7,1,4.99626677034896,40.0298881530762,1.99685395571904,14.4499996677041,0.000423456607759465,7.96480430634262E-5,0.25,4.65045821773889E-7,3.73197547100567E-5,6.45219286553829E-7,3.0121207,3.1056006,999.756103515625,999.756103515625,60.4871045891987,20.8131668919559,5.900308,0,0,0,200,4886,3.0922,999.756103515625,,,,,,,,,,,,,0,,,,1.4137226,,,,,,3.05886065,,,,
,51033278.86,3.1594293,999.756103515625,3.72359305744852E-5,1.03790113531361E-7,1,4.99626677034896,40.0298881530762,1.99684927426278,14.4499996677041,0.000420258508152999,7.88927749568086E-5,0.25,4.48347127791714E-7,3.70357498397723E-5,6.27219137337508E-7,3.1056006,3.213258,999.756103515625,999.756103515625,60.8810453628911,20.8128520258244,5.527248,0,0,0,200,4882,3.1914,999.756103515625,,,,,,,,,,,,,0,,,,1.42081945,,,,,,3.1594293,,,,
,51033283.86,3.25377345,999.756103515625,3.69588124086136E-5,9.91862160129873E-8,1,4.99626677034896,40.0298881530762,1.99676149597622,14.4499996677041,0.000417396923427097,7.66848169656261E-5,0.25,3.01988725996542E-7,3.67608183569026E-5,4.80290042315788E-7,3.213258,3.2942889,999.756103515625,999.756103515625,60.8278946235834,20.8163820699402,5.527248,0,0,0,200,4882,3.2769,999.756103515625,,,,,,,,,,,,,0,,,,1.4279163,,,,,,3.25377345,,,,
,51033288.885,3.32939245,999.756103515625,3.68436906259132E-5,1.05355365314213E-7,1,4.99626677034896,40.0298881530762,1.99674945509707,14.4499996677041,0.000415857512326405,7.77969546879678E-5,0.25,4.20541821828992E-7,3.6645732122194E-5,5.97652367641934E-7,3.2942889,3.364496,999.756103515625,999.756103515625,61.2241802828334,20.8114011430686,5.900308,0,0,0,200,4882,3.34905,999.756103515625,,,,,,,,,,,,,0,,,,1.4350844,,,,,,3.32939245,,,,
,51033293.875,3.4027387,999.756103515625,3.65346852112888E-5,1.06179223514396E-7,1,4.99626677034896,40.0298881530762,1.99666121136434,14.4600002095103,0.000412520189077718,7.6183934932258E-5,0.25,3.32367515495531E-7,3.63387994331243E-5,5.08442754049275E-7,3.364496,3.4409814,999.756103515625,999.756103515625,60.6004407244872,20.8167735040087,5.527248,0,0,0,200,4882,3.4262,999.756103515625,,,,,,,,,,,,,0,,,,1.4350844,,,,,,3.4027387,,,,
,51033298.89,3.48827945,999.756103515625,3.63335242024689E-5,1.07903616871713E-7,1,4.99626677034896,40.0298881530762,1.996690544845,14.4499996677041,0.000410100207056162,7.66462559272273E-5,0.25,4.08413564984796E-7,3.61383383113448E-5,5.831052403089E-7,3.4409814,3.5355775,999.756103515625,999.756103515625,61.1491439449872,20.8154836748446,5.900308,0,0,0,200,4882,3.51075,999.756103515625,,,,,,,,,,,,,0,,,,1.4350844,,,,,,3.48827945,,,,
,51033303.88,3.57275625,999.756103515625,3.6071369585613E-5,1.03942885340659E-7,1,4.99626677034896,40.0298881530762,1.99675149401287,14.4499996677041,0.000407325020426497,7.51145739576035E-5,0.25,3.18738190379054E-7,3.58780145186074E-5,4.92630595934327E-7,3.5355775,3.609935,999.756103515625,999.756103515625,60.9295063310834,20.8171864982021,5.900308,0,0,0,200,4882,3.5947,999.756103515625,,,,,,,,,,,,,0,,,,1.44949255,,,,,,3.57275625,,,,
,51033308.85,3.6591756,999.756103515625,3.58746626606211E-5,1.07552858571787E-7,1,4.99626677034896,40.0298881530762,1.99657523409866,14.4499996677041,0.000404702873515695,7.67913911043597E-5,0.25,5.02052905514023E-7,3.56814614878377E-5,6.7401304595416E-7,3.609935,3.7084162,999.756103515625,999.756103515625,60.9787489277949,20.8164544046729,5.527248,0,0,0,200,4882,3.67865,999.756103515625,,,,,,,,,,,,,0,,,,1.46404535,,,,,,3.6591756,,,,
