dataT        dataTErr        dataB        dataSpinRot  Alpha        AlphaPosErr        AlphaNegErr        Asy_tot_     Asy_tot_PosErr     Asy_tot_NegErr     sigma_       sigma_PosErr       sigma_NegErr       CHISQ        NDF          CHISQred     RUN          
0.0333       0.0002          0            6.45         0.709        0             0             0.2244       0.0022        0.0022        31.18        0.9           0.9           218.7        208          1.05144      2460         
0.10002      8.00000000e-05  0            6.4499998    0.709        0             0             0.2223       0.0027        0.0027        29           1.2           1.2           218.7        208          1.0514423    2461         
0.15         4.00000000e-05  0            6.4499998    0.709        0             0             0.2311       0.0027        0.0027        32.3         1.1           1.1           218.7        208          1.0514423    2462         
0.2          5.00000000e-05  0            6.4499998    0.709        0             0             0.2255       0.0027        0.0027        31.2         1.1           1.1           218.7        208          1.0514423    2463         
0.25         7.00000000e-05  0            6.4499998    0.709        0             0             0.2244       0.0027        0.0027        28.3         1.2           1.2           218.7        208          1.0514423    2464         
0.3          0.0001          0            6.45         0.709        0             0             0.2289       0.0027        0.0027        26.2         1.2           1.2           218.7        208          1.05144      2465         
0.35         0.0001          0            6.45         0.709        0             0             0.2258       0.0027        0.0027        23.1         1.4           1.4           218.7        208          1.05144      2466         
0.4001       0.0002          0            6.45         0.709        0             0             0.232        0.0037        0.0037        16.7         2.4           2.4           218.7        208          1.05144      2467         
0.49999      9.00000000e-05  0            6.4499998    0.709        0             0             0.2331       0.003         0.003         0            54.8          54.8          218.7        208          1.0514423    2468         
0.6          0.0001          0            6.45         0.709        0             0             0.2378       0.0052        0.0052        14.4         3.7           3.7           218.7        208          1.05144      2469         
0.6999       0.0002          0            6.45         0.709        0             0             0.2321       0.0033        0.0033        0            98.9          98.9          218.7        208          1.05144      2470         
0.8          0.0003          0            6.45         0.709        0             0             0.233        0.0033        0.0033        0            95.8          95.8          218.7        208          1.05144      2471         
1.99999      8.00000000e-05  0            6.4499998    0.709        0             0             0.2274       0.0033        0.0033        0            96.6          96.6          218.7        208          1.0514423    2472         


