Ag_Beta,Ag_Beta_err,Ag_Lambda,Ag_Lambda_err,Ag_frac,Ag_frac_err,Alpha,Alpha_err,Asy_tot,Asy_tot_err,CHISQ,CHISQ_err,CHISQred,CHISQred_err,Frequency_,Frequency__err,NDF,NDF_err,Order_Vfrac_,Order_Vfrac__err,Phase,Phase_err,RUN,Tail,Tail_Beta_,Tail_Beta__err,Tail_Lambda_,Tail_Lambda__err,Tail_err,YBO_Beta,YBO_Beta_err,YBO_paraBet2_,YBO_paraBet2__err,YBO_paraLam2_,YBO_paraLam2__err,YBO_sigma_,YBO_sigma__err,dataB,dataB_err,dataSpinRot,dataSpinRot_err,dataT,dataT_err,sigma,sigma_err
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,534.6,17.8,8241.0,0.0,0.829,0.013,16.9,1.7,2460,0.333333,1.0,0.0,16.9,2.6,0.0,1.0,0.0,1.0,0.0,1.18,0.14,29.2,1.2,0.0,0.0,6.45,0.0,0.0333,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,519.3,18.9,8241.0,0.0,0.807,0.017,16.9,1.7,2461,0.333333,1.0,0.0,19.5,4.1,0.0,1.0,0.0,1.0,0.0,1.61,0.18,26.9,1.4,0.0,0.0,6.45,0.0,0.10002,8e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,530.4,19.1,8241.0,0.0,0.826,0.018,16.9,1.7,2462,0.333333,1.0,0.0,17.0,3.4,0.0,1.0,0.0,1.0,0.0,1.32,0.19,27.7,1.3,0.0,0.0,6.45,0.0,0.15,4e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,522.3,21.7,8241.0,0.0,0.808,0.015,16.9,1.7,2463,0.333333,1.0,0.0,21.3,4.5,0.0,1.0,0.0,1.0,0.0,1.57,0.17,29.6,1.7,0.0,0.0,6.45,0.0,0.2,5e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,463.5,20.0,8241.0,0.0,0.805,0.015,16.9,1.7,2464,0.333333,1.0,0.0,21.0,4.5,0.0,1.0,0.0,1.0,0.0,1.69,0.17,27.0,1.5,0.0,0.0,6.45,0.0,0.25,7e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,440.9,15.7,8241.0,0.0,0.803,0.021,16.9,1.7,2465,0.333333,1.0,0.0,14.9,2.9,0.0,1.0,0.0,1.0,0.0,1.74,0.21,23.41,1.0,0.0,0.0,6.45,0.0,0.3,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,341.6,20.7,8241.0,0.0,0.761,0.023,16.9,1.7,2466,0.333333,1.0,0.0,21.3,6.3,0.0,1.0,0.0,1.0,0.0,2.75,0.25,22.6,1.4,0.0,0.0,6.45,0.0,0.35,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,173.4,24.7,8241.0,0.0,0.758,0.035,16.9,1.7,2467,0.333333,1.0,0.0,16.5,6.0,0.0,1.0,0.0,1.0,0.0,2.92,0.34,19.0,1.3,0.0,0.0,6.45,0.0,0.4001,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,77.5,122.2,8241.0,0.0,0.159,0.033,16.9,1.7,2468,0.333333,1.0,0.0,0.0,0.27,0.0,1.0,0.0,1.0,0.0,2.268,0.043,19.0,8.7,0.0,0.0,6.45,0.0,0.49999,9e-05,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,32.6,108.2,8241.0,0.0,0.163,0.028,16.9,1.7,2469,0.333333,1.0,0.0,0.0,0.18,0.0,1.0,0.0,1.0,0.0,1.842,0.04,19.0,10.0,0.0,0.0,6.45,0.0,0.6,0.0001,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,411.6,196.9,8241.0,0.0,0.137,0.06,16.9,1.7,2470,0.333333,1.0,0.0,6.4,10.2,0.0,1.0,0.0,1.0,0.0,1.569,0.093,25.9,11.3,0.0,0.0,6.45,0.0,0.6999,0.0002,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,113.8,960.1,8241.0,0.0,0.08,0.037,16.9,1.7,2471,0.333333,1.0,0.0,7.7,10.9,0.0,1.0,0.0,1.0,0.0,1.635,0.074,29.6,9.9,0.0,0.0,6.45,0.0,0.8,0.0003,0.8,0.0
1.0,0.0,0.03,0.0,0.5,0.0,0.709,0.0,0.2392,0.0,8130.8,0.0,0.986628,0.0,0.0,1176.2,8241.0,0.0,0.111,0.018,16.9,1.7,2472,0.333333,1.0,0.0,40.0,36.0,0.0,1.0,0.0,1.0,0.0,1.557,0.054,19.0,11.1,0.0,0.0,6.45,0.0,1.99999,8e-05,0.8,0.0
