Ag_Beta,Ag_Beta_err,Ag_Lambda,Ag_Lambda_err,CHISQ,CHISQ_err,CHISQred,CHISQred_err,Frequency_,Frequency__err,NDF,NDF_err,Order_Vfrac_,Order_Vfrac__err,RUN,Tail,Tail_Beta_,Tail_Beta__err,Tail_Lambda_,Tail_Lambda__err,Tail_err,YBO_Beta,YBO_Beta_err,YBO_paraLam2_,YBO_paraLam2__err,YBO_sigma_,YBO_sigma__err,dataB,dataB_err,dataSpinRot,dataSpinRot_err,dataT,dataT_err
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,521.0,3.6,8228.0,0.0,0.86728,0.00092,2460,0.333333,1.0,0.0,13.38,0.21,0.0,1.0,0.0,0.995,0.013,29.46,0.28,0.0,0.0,6.45,0.0,0.0333,0.0002
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2461,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.10002,8e-05
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2462,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.15,4e-05
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2463,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.2,5e-05
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2464,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.25,7e-05
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2465,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.3,0.0001
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2466,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.35,0.0001
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2467,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.4001,0.0002
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2468,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.49999,9e-05
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2469,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.6,0.0001
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2470,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.6999,0.0002
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2471,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,0.8,0.0003
1.0,0.0,0.03,0.0,8113.7,0.0,0.986108,0.0,,,8228.0,0.0,,,2472,0.333333,,,,,0.0,1.0,0.0,,,,,0.0,0.0,6.45,0.0,1.99999,8e-05
