NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
"15 Nov 2024 ","14:41:20",
CHAN,MEAS,FORMAT
1,S22,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,500000000,
POINTS, POWER, IF_BW
201,0E0,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-.664,
52250000,-.627,
54500000,-.620,
56750000,-.616,
59000000,-.594,
61250000,-.560,
63500000,-.556,
65750000,-.548,
68000000,-.522,
70250000,-.512,
72500000,-.479,
74750000,-.495,
77000000,-.460,
79250000,-.494,
81500000,-.508,
83750000,-.510,
86000000,-.511,
88250000,-.524,
90500000,-.565,
92750000,-.617,
95000000,-.586,
97250000,-.632,
99500000,-.682,
101750000,-.719,
104000000,-.753,
106250000,-.776,
108500000,-.809,
110750000,-.852,
113000000,-.891,
115250000,-.899,
117500000,-.907,
119750000,-.904,
122000000,-.915,
124250000,-.899,
126500000,-.897,
128750000,-.898,
131000000,-.876,
133250000,-.856,
135500000,-.845,
137750000,-.810,
140000000,-.844,
142250000,-1.183,
144500000,-22.502,
146750000,-1.366,
149000000,-.914,
151250000,-.787,
153500000,-.736,
155750000,-.711,
158000000,-.699,
160250000,-.688,
162500000,-.669,
164750000,-.658,
167000000,-.657,
169250000,-.654,
171500000,-.648,
173750000,-.688,
176000000,-.699,
178250000,-.726,
180500000,-.739,
182750000,-.751,
185000000,-.785,
187250000,-.808,
189500000,-.829,
191750000,-.849,
194000000,-.875,
196250000,-.901,
198500000,-.912,
200750000,-.925,
203000000,-.932,
205250000,-.949,
207500000,-.933,
209750000,-.954,
212000000,-.956,
214250000,-.965,
216500000,-.951,
218750000,-.963,
221000000,-.959,
223250000,-.911,
225500000,-.954,
227750000,-1.060,
230000000,-.951,
232250000,-.966,
234500000,-.968,
236750000,-.959,
239000000,-.977,
241250000,-.985,
243500000,-.997,
245750000,-.983,
248000000,-.990,
250250000,-.991,
252500000,-.979,
254750000,-.968,
257000000,-.981,
259250000,-.980,
261500000,-.979,
263750000,-.975,
266000000,-.970,
268250000,-.979,
270500000,-.972,
272750000,-.965,
275000000,-.974,
277250000,-.990,
279500000,-.995,
281750000,-1.004,
284000000,-1.027,
286250000,-1.036,
288500000,-1.050,
290750000,-1.074,
293000000,-1.096,
295250000,-1.101,
297500000,-1.119,
299750000,-1.136,
302000000,-1.163,
304250000,-1.184,
306500000,-1.203,
308750000,-1.230,
311000000,-1.251,
313250000,-1.275,
315500000,-1.287,
317750000,-1.293,
320000000,-1.299,
322250000,-1.301,
324500000,-1.306,
326750000,-1.305,
329000000,-1.300,
331250000,-1.282,
333500000,-1.269,
335750000,-1.251,
338000000,-1.225,
340250000,-1.203,
342500000,-1.187,
344750000,-1.164,
347000000,-1.131,
349250000,-1.107,
351500000,-1.081,
353750000,-1.072,
356000000,-1.038,
358250000,-1.023,
360500000,-1.012,
362750000,-1.009,
365000000,-.996,
367250000,-1.003,
369500000,-.996,
371750000,-1.007,
374000000,-1.022,
376250000,-1.036,
378500000,-1.038,
380750000,-1.081,
383000000,-1.098,
385250000,-1.126,
387500000,-1.175,
389750000,-1.211,
392000000,-1.232,
394250000,-1.272,
396500000,-1.316,
398750000,-1.341,
401000000,-1.378,
403250000,-1.427,
405500000,-1.443,
407750000,-1.486,
410000000,-1.496,
412250000,-1.507,
414500000,-1.507,
416750000,-1.503,
419000000,-1.507,
421250000,-1.516,
423500000,-1.511,
425750000,-1.492,
428000000,-1.474,
430250000,-1.467,
432500000,-1.454,
434750000,-1.427,
437000000,-1.400,
439250000,-1.381,
441500000,-1.371,
443750000,-1.326,
446000000,-1.300,
448250000,-1.295,
450500000,-1.283,
452750000,-1.26,
455000000,-1.209,
457250000,-1.205,
459500000,-1.230,
461750000,-1.224,
464000000,-1.189,
466250000,-1.172,
468500000,-1.234,
470750000,-1.186,
473000000,-1.227,
475250000,-1.249,
477500000,-1.260,
479750000,-1.273,
482000000,-1.302,
484250000,-1.321,
486500000,-1.346,
488750000,-1.356,
491000000,-1.391,
493250000,-1.422,
495500000,-1.443,
497750000,-1.447,
500000000,-1.476,

