NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
"15 Nov 2024 ","15:10:37",
CHAN,MEAS,FORMAT
1,S22,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,500000000,
POINTS, POWER, IF_BW
201,0E0,1000
FREQUENCY,UNITS,
Hz,dB,
50000000,-.649,
52250000,-.616,
54500000,-.615,
56750000,-.601,
59000000,-.576,
61250000,-.554,
63500000,-.537,
65750000,-.534,
68000000,-.506,
70250000,-.492,
72500000,-.472,
74750000,-.476,
77000000,-.480,
79250000,-.472,
81500000,-.508,
83750000,-.488,
86000000,-.500,
88250000,-.502,
90500000,-.552,
92750000,-.584,
95000000,-.589,
97250000,-.620,
99500000,-.653,
101750000,-.695,
104000000,-.738,
106250000,-.769,
108500000,-.798,
110750000,-.841,
113000000,-.855,
115250000,-.874,
117500000,-.877,
119750000,-.884,
122000000,-.897,
124250000,-.893,
126500000,-.887,
128750000,-.881,
131000000,-.863,
133250000,-.847,
135500000,-.831,
137750000,-.811,
140000000,-.795,
142250000,-.769,
144500000,-.748,
146750000,-.719,
149000000,-.697,
151250000,-.673,
153500000,-.659,
155750000,-.654,
158000000,-.654,
160250000,-.643,
162500000,-.641,
164750000,-.633,
167000000,-.632,
169250000,-.633,
171500000,-.644,
173750000,-.664,
176000000,-.684,
178250000,-.708,
180500000,-.725,
182750000,-.743,
185000000,-.761,
187250000,-.791,
189500000,-.815,
191750000,-.829,
194000000,-.845,
196250000,-.880,
198500000,-.893,
200750000,-.904,
203000000,-.906,
205250000,-.918,
207500000,-.910,
209750000,-.939,
212000000,-.931,
214250000,-.942,
216500000,-.933,
218750000,-.942,
221000000,-.945,
223250000,-.901,
225500000,-.942,
227750000,-1.046,
230000000,-.937,
232250000,-.952,
234500000,-.962,
236750000,-.961,
239000000,-.969,
241250000,-.981,
243500000,-.988,
245750000,-.990,
248000000,-1.012,
250250000,-1.009,
252500000,-1.021,
254750000,-1.033,
257000000,-1.070,
259250000,-1.123,
261500000,-1.255,
263750000,-1.611,
266000000,-3.285,
268250000,-23.794,
270500000,-2.991,
272750000,-1.556,
275000000,-1.240,
277250000,-1.119,
279500000,-1.073,
281750000,-1.051,
284000000,-1.036,
286250000,-1.036,
288500000,-1.041,
290750000,-1.051,
293000000,-1.059,
295250000,-1.073,
297500000,-1.087,
299750000,-1.105,
302000000,-1.129,
304250000,-1.150,
306500000,-1.175,
308750000,-1.193,
311000000,-1.213,
313250000,-1.235,
315500000,-1.256,
317750000,-1.272,
320000000,-1.285,
322250000,-1.287,
324500000,-1.287,
326750000,-1.296,
329000000,-1.286,
331250000,-1.279,
333500000,-1.266,
335750000,-1.246,
338000000,-1.218,
340250000,-1.197,
342500000,-1.185,
344750000,-1.167,
347000000,-1.131,
349250000,-1.102,
351500000,-1.082,
353750000,-1.072,
356000000,-1.033,
358250000,-1.024,
360500000,-1.004,
362750000,-1.006,
365000000,-.990,
367250000,-.988,
369500000,-.985,
371750000,-.994,
374000000,-1.003,
376250000,-1.009,
378500000,-1.018,
380750000,-1.052,
383000000,-1.067,
385250000,-1.090,
387500000,-1.133,
389750000,-1.163,
392000000,-1.189,
394250000,-1.223,
396500000,-1.271,
398750000,-1.286,
401000000,-1.335,
403250000,-1.385,
405500000,-1.397,
407750000,-1.444,
410000000,-1.454,
412250000,-1.472,
414500000,-1.479,
416750000,-1.466,
419000000,-1.482,
421250000,-1.485,
423500000,-1.488,
425750000,-1.462,
428000000,-1.458,
430250000,-1.437,
432500000,-1.431,
434750000,-1.405,
437000000,-1.382,
439250000,-1.369,
441500000,-1.355,
443750000,-1.313,
446000000,-1.291,
448250000,-1.286,
450500000,-1.279,
452750000,-1.258,
455000000,-1.219,
457250000,-1.201,
459500000,-1.221,
461750000,-1.227,
464000000,-1.196,
466250000,-1.174,
468500000,-1.232,
470750000,-1.171,
473000000,-1.206,
475250000,-1.228,
477500000,-1.240,
479750000,-1.250,
482000000,-1.268,
484250000,-1.288,
486500000,-1.304,
488750000,-1.326,
491000000,-1.350,
493250000,-1.377,
495500000,-1.403,
497750000,-1.419,
500000000,-1.441,

