NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
"15 Nov 2024 ","11:59:13",
CHAN,MEAS,FORMAT
1,S22,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,500000000,
POINTS, POWER, IF_BW
201,0E0,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-2.468,
52250000,-2.471,
54500000,-2.499,
56750000,-2.518,
59000000,-2.537,
61250000,-2.546,
63500000,-2.542,
65750000,-2.568,
68000000,-2.551,
70250000,-2.587,
72500000,-2.597,
74750000,-2.62,
77000000,-2.640,
79250000,-2.677,
81500000,-2.608,
83750000,-2.616,
86000000,-2.882,
88250000,-3.016,
90500000,-3.121,
92750000,-3.170,
95000000,-3.211,
97250000,-3.282,
99500000,-3.323,
101750000,-3.380,
104000000,-3.417,
106250000,-3.452,
108500000,-3.462,
110750000,-3.591,
113000000,-3.602,
115250000,-3.603,
117500000,-3.583,
119750000,-3.565,
122000000,-3.55,
124250000,-3.506,
126500000,-3.479,
128750000,-3.416,
131000000,-3.382,
133250000,-3.313,
135500000,-3.276,
137750000,-3.224,
140000000,-3.168,
142250000,-3.138,
144500000,-3.092,
146750000,-3.073,
149000000,-3.032,
151250000,-3.015,
153500000,-3.005,
155750000,-3.006,
158000000,-3.009,
160250000,-3.045,
162500000,-3.108,
164750000,-3.308,
167000000,-4.363,
169250000,-33.059,
171500000,-4.766,
173750000,-3.652,
176000000,-3.382,
178250000,-3.310,
180500000,-3.284,
182750000,-3.274,
185000000,-3.277,
187250000,-3.270,
189500000,-3.282,
191750000,-3.278,
194000000,-3.286,
196250000,-3.294,
198500000,-3.292,
200750000,-3.291,
203000000,-3.288,
205250000,-3.292,
207500000,-3.266,
209750000,-3.277,
212000000,-3.258,
214250000,-3.264,
216500000,-3.237,
218750000,-3.222,
221000000,-3.224,
223250000,-3.168,
225500000,-3.200,
227750000,-3.299,
230000000,-3.096,
232250000,-3.115,
234500000,-3.089,
236750000,-3.080,
239000000,-3.071,
241250000,-3.079,
243500000,-3.059,
245750000,-3.042,
248000000,-3.043,
250250000,-3.006,
252500000,-2.985,
254750000,-2.975,
257000000,-2.949,
259250000,-2.942,
261500000,-2.920,
263750000,-2.899,
266000000,-2.884,
268250000,-2.882,
270500000,-2.86,
272750000,-2.847,
275000000,-2.842,
277250000,-2.835,
279500000,-2.845,
281750000,-2.850,
284000000,-2.860,
286250000,-2.872,
288500000,-2.891,
290750000,-2.914,
293000000,-2.936,
295250000,-2.951,
297500000,-2.978,
299750000,-3.000,
302000000,-3.027,
304250000,-3.044,
306500000,-3.08,
308750000,-3.083,
311000000,-3.094,
313250000,-3.095,
315500000,-3.100,
317750000,-3.090,
320000000,-3.085,
322250000,-3.059,
324500000,-3.029,
326750000,-2.998,
329000000,-2.956,
331250000,-2.922,
333500000,-2.865,
335750000,-2.816,
338000000,-2.756,
340250000,-2.707,
342500000,-2.666,
344750000,-2.616,
347000000,-2.554,
349250000,-2.502,
351500000,-2.477,
353750000,-2.437,
356000000,-2.396,
358250000,-2.371,
360500000,-2.347,
362750000,-2.346,
365000000,-2.334,
367250000,-2.343,
369500000,-2.341,
371750000,-2.351,
374000000,-2.378,
376250000,-2.402,
378500000,-2.429,
380750000,-2.466,
383000000,-2.513,
385250000,-2.553,
387500000,-2.599,
389750000,-2.642,
392000000,-2.676,
394250000,-2.718,
396500000,-2.770,
398750000,-2.787,
401000000,-2.836,
403250000,-2.871,
405500000,-2.883,
407750000,-2.910,
410000000,-2.909,
412250000,-2.906,
414500000,-2.906,
416750000,-2.855,
419000000,-2.847,
421250000,-2.841,
423500000,-2.816,
425750000,-2.763,
428000000,-2.738,
430250000,-2.707,
432500000,-2.675,
434750000,-2.635,
437000000,-2.593,
439250000,-2.566,
441500000,-2.540,
443750000,-2.492,
446000000,-2.459,
448250000,-2.439,
450500000,-2.418,
452750000,-2.396,
455000000,-2.346,
457250000,-2.323,
459500000,-2.344,
461750000,-2.341,
464000000,-2.302,
466250000,-2.285,
468500000,-2.351,
470750000,-2.284,
473000000,-2.325,
475250000,-2.347,
477500000,-2.356,
479750000,-2.367,
482000000,-2.389,
484250000,-2.364,
486500000,-2.344,
488750000,-2.364,
491000000,-2.379,
493250000,-2.400,
495500000,-2.422,
497750000,-2.446,
500000000,-2.472,

